instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/size40/p0.1/0,node_count,none,zero_shot,40,qwen3-4b-think,qwen3-4b,True,integer,40,40,,True,1.0,1.0,False,False,0.0,False,generator,1809,unaffected,True,0.064,4745,correct,False
connected_nodes/size40/p0.1/0,connected_nodes,rwse,zero_shot,"15, 39",qwen3-4b-think,qwen3-4b,True,integer,"15, 39",16,,True,1.0,1.0,False,False,,False,generator,406,unaffected,True,0.082,1483,correct,False
edge_count/size40/p0.1/1,edge_count,components,zero_shot,88,qwen3-4b-think,qwen3-4b,True,integer,88,0,,True,1.0,1.0,False,False,0.0,False,generator,4770,unaffected,True,0.018,10173,correct,False
edge_existence/size40/p0.1/1,edge_existence,filler,zero_shot,No,qwen3-4b-think,qwen3-4b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,652,revised,True,0.498,2062,correct,False
node_degree/size40/p0.1/2,node_degree,degree,zero_shot,3,qwen3-4b-think,qwen3-4b,True,integer,3,3,,True,1.0,1.0,False,False,0.0,False,generator,745,unaffected,True,1.0,2879,correct,False
cycle_check/size40/p0.1/2,cycle_check,all,zero_shot,"Yes, there is a cycle",qwen3-4b-think,qwen3-4b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1642,unaffected,True,0.946,4339,correct,False
connected_nodes/size40/p0.1/3,connected_nodes,clustering,zero_shot,"32, 35, 38",qwen3-4b-think,qwen3-4b,True,integer,"32, 35, 38",6,,True,1.0,1.0,False,False,,False,generator,555,unaffected,True,0.082,1887,correct,False
edge_count/size40/p0.1/4,edge_count,none,zero_shot,80,qwen3-4b-think,qwen3-4b,True,integer,80,80,,True,1.0,1.0,False,False,0.0,False,generator,6363,unaffected,True,0.018,14323,correct,False
edge_existence/size40/p0.1/4,edge_existence,rwse,zero_shot,No,qwen3-4b-think,qwen3-4b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,585,revised,True,0.642,1957,correct,False
node_degree/size40/p0.1/5,node_degree,components,zero_shot,5,qwen3-4b-think,qwen3-4b,True,integer,5,5,,True,1.0,1.0,False,False,0.0,False,generator,1305,unaffected,True,0.082,4419,correct,False
cycle_check/size40/p0.1/5,cycle_check,filler,zero_shot,"Yes, there is a cycle",qwen3-4b-think,qwen3-4b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1808,revised,True,0.832,5482,correct,False
connected_nodes/size40/p0.1/6,connected_nodes,degree,zero_shot,"16, 18",qwen3-4b-think,qwen3-4b,True,integer,"16, 18",31,,True,1.0,1.0,False,False,,False,generator,3745,unaffected,True,0.208,9759,correct,True
node_count/size40/p0.1/7,node_count,all,zero_shot,40,qwen3-4b-think,qwen3-4b,True,integer,40,40,,True,1.0,1.0,False,False,0.0,False,generator,489,unaffected,True,1.0,1369,correct,False
edge_existence/size40/p0.1/7,edge_existence,clustering,zero_shot,Yes,qwen3-4b-think,qwen3-4b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,439,revised,True,0.72,1473,correct,False
node_degree/size40/p0.1/8,node_degree,none,zero_shot,6,qwen3-4b-think,qwen3-4b,True,integer,6,6,,True,1.0,1.0,False,False,0.0,False,generator,1075,unaffected,True,0.082,3539,correct,False
cycle_check/size40/p0.1/8,cycle_check,rwse,zero_shot,"Yes, there is a cycle",qwen3-4b-think,qwen3-4b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,2549,unaffected,True,0.832,9124,correct,False
