arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/excluded,2400,2400,0.0,230.0,1.0,False,False,0.45499999999999996,-0.005,0.6725,0.13875,0.11958333333333333,0.1575,9.999000099990002e-05,True,,,,,,True,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/excluded,2400,2400,0.0,290.0,2.0,False,False,0.45499999999999996,-0.0825,0.2125,0.0275,0.01125,0.042916666666666665,0.000999900009999,True,,,,,,True,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/excluded,2400,2400,0.0,262.0,1.0,False,False,0.45499999999999996,-0.175,0.075,0.012083333333333333,-0.005,0.029583333333333333,0.1827817218278172,False,,,,,,False,
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/excluded,2400,2400,0.0,285.0,1.0,False,False,0.45499999999999996,-0.1575,0.3975,0.032916666666666664,0.015833333333333335,0.05,9.999000099990002e-05,True,,,,,,True,
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/excluded,2400,2400,0.0,236.0,1.0,False,False,0.45499999999999996,-0.0075,0.05,0.018333333333333333,0.0,0.03666666666666667,0.05419458054194581,False,,,,,,False,
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/excluded/derived,2400,2400,0.0,272.0,1.0,False,False,0.45499999999999996,0.0075,0.47,0.13083333333333333,0.1125,0.14958333333333335,9.999000099990002e-05,True,,,,,,,
main_sweep,pooled across all models,exact,clustering,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,230.0,1.0,False,False,0.45499999999999996,-0.005,0.6725,0.13875,0.12041666666666667,0.1575,9.999000099990002e-05,True,,,,,,,
main_sweep,pooled across all models,exact,components,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,290.0,2.0,False,False,0.45499999999999996,-0.0825,0.2125,0.0275,0.011666666666666667,0.043333333333333335,0.0005999400059994001,True,,,,,,,
main_sweep,pooled across all models,exact,degree,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,262.0,1.0,False,False,0.45499999999999996,-0.175,0.075,0.012083333333333333,-0.005,0.029166666666666667,0.18648135186481352,False,,,,,,,
main_sweep,pooled across all models,exact,filler,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,285.0,1.0,False,False,0.45499999999999996,-0.1575,0.3975,0.032916666666666664,0.015416666666666667,0.050416666666666665,0.00039996000399960006,True,,,,,,,
main_sweep,pooled across all models,exact,rwse,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,236.0,1.0,False,False,0.45499999999999996,-0.0075,0.05,0.018333333333333333,0.0,0.037083333333333336,0.0570942905709429,False,,,,,,,
main_sweep,pooled across all models,exact,all,,True,excluded,main_sweep/pooled across all models/excluded/derived,2400,2400,0.0,272.0,1.0,False,False,0.45499999999999996,0.0075,0.47,0.13083333333333333,0.11208333333333333,0.14916666666666667,9.999000099990002e-05,True,,,,,,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/connected_nodes,400,400,,,,,,,,,0.0125,-0.03,0.055,0.6591340865913409,False,,,,,,False,connected_nodes
