arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task
main_sweep,qwen3-4b,exact,clustering,,False,excluded,main_sweep/qwen3-4b/excluded,2400,2400,0.0,6.0,3.0,False,False,0.23124999999999996,-0.0125,0.0875,0.025,0.013333333333333334,0.03625,9.999000099990002e-05,True,,,,,,True,
main_sweep,qwen3-4b,exact,components,,False,excluded,main_sweep/qwen3-4b/excluded,2400,2400,0.0,12.0,6.0,False,False,0.23124999999999996,-0.0275,0.0925,0.028333333333333332,0.0175,0.03958333333333333,9.999000099990002e-05,True,,,,,,True,
main_sweep,qwen3-4b,exact,degree,,False,excluded,main_sweep/qwen3-4b/excluded,2400,2400,0.0,18.0,3.0,False,False,0.23124999999999996,-0.065,0.2725,0.04083333333333333,0.025833333333333333,0.05583333333333333,9.999000099990002e-05,True,,,,,,True,
main_sweep,qwen3-4b,exact,filler,,False,excluded,main_sweep/qwen3-4b/excluded,2400,2400,0.0,8.0,6.0,False,False,0.23124999999999996,-0.195,0.0925,-0.04833333333333333,-0.06291666666666666,-0.034166666666666665,9.999000099990002e-05,True,,,,,,True,
main_sweep,qwen3-4b,exact,rwse,,False,excluded,main_sweep/qwen3-4b/excluded,2400,2400,0.0,10.0,8.0,False,False,0.23124999999999996,-0.1,0.0925,-0.019166666666666665,-0.0325,-0.005833333333333334,0.0047995200479952005,True,,,,,,True,
main_sweep,qwen3-4b,exact,all,,True,excluded,main_sweep/qwen3-4b/excluded/derived,2400,2400,0.0,9.0,5.0,False,False,0.23124999999999996,-0.1,0.0975,-0.019583333333333335,-0.03375,-0.005,0.0072992700729927005,True,,,,,,,
main_sweep,pooled across all models,exact,clustering,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,6.0,3.0,False,False,0.23124999999999996,-0.0125,0.0875,0.025,0.013333333333333334,0.03666666666666667,9.999000099990002e-05,True,,,,,,,
main_sweep,pooled across all models,exact,components,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,12.0,6.0,False,False,0.23124999999999996,-0.0275,0.0925,0.028333333333333332,0.017083333333333332,0.03958333333333333,9.999000099990002e-05,True,,,,,,,
main_sweep,pooled across all models,exact,degree,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,18.0,3.0,False,False,0.23124999999999996,-0.065,0.2725,0.04083333333333333,0.025416666666666667,0.05625,9.999000099990002e-05,True,,,,,,,
main_sweep,pooled across all models,exact,filler,,False,excluded,main_sweep/pooled across all models/excluded,2400,2400,0.0,8.0,6.0,False,False,0.23124999999999996,-0.195,0.0925,-0.04833333333333333,-0.06291666666666666,-0.03375,9.999000099990002e-05,True,,,,,,,
