rung,n,mean_degree,tokens,model,accuracy,n_rows,dropped,band,readable,valid
n40k8,40,8,1691,qwen3-0.6b,0.74,50,0,informative,True,True
n40k8,40,8,1691,qwen3-0.6b-think,0.94,50,0,ceiling,True,False
n40k8,40,8,1691,qwen3-1.7b,0.84,50,0,informative,True,True
n40k8,40,8,1691,qwen3-1.7b-think,0.92,50,0,ceiling,True,False
n40k8,40,8,1691,qwen35-2b,1.0,50,0,ceiling,True,False
n40k8,40,8,1691,qwen35-2b-think,1.0,40,10,ceiling,True,False
n80k4,80,4,2197,qwen3-0.6b,0.88,50,0,informative,True,True
n80k4,80,4,2197,qwen3-0.6b-think,0.96,50,0,ceiling,True,False
n80k4,80,4,2197,qwen3-1.7b,0.88,50,0,informative,True,True
n80k4,80,4,2197,qwen3-1.7b-think,0.94,50,0,ceiling,True,False
n80k4,80,4,2197,qwen35-2b,1.0,50,0,ceiling,True,False
n80k4,80,4,2197,qwen35-2b-think,1.0,38,12,ceiling,True,False
n40k12,40,12,2290,qwen3-0.6b,0.5,50,0,informative,True,True
n40k12,40,12,2290,qwen3-0.6b-think,0.8,50,0,informative,True,True
n40k12,40,12,2290,qwen3-1.7b,0.48,50,0,informative,True,True
n40k12,40,12,2290,qwen3-1.7b-think,0.82,50,0,informative,True,True
n40k12,40,12,2290,qwen35-2b,0.86,50,0,informative,True,True
n40k12,40,12,2290,qwen35-2b-think,1.0,43,7,ceiling,True,False
n60k8,60,8,2569,qwen3-0.6b,0.76,50,0,informative,True,True
n60k8,60,8,2569,qwen3-0.6b-think,0.94,50,0,ceiling,True,False
n60k8,60,8,2569,qwen3-1.7b,0.72,50,0,informative,True,True
n60k8,60,8,2569,qwen3-1.7b-think,0.88,50,0,informative,True,True
n60k8,60,8,2569,qwen35-2b,0.98,50,0,ceiling,True,False
n60k8,60,8,2569,qwen35-2b-think,1.0,40,10,ceiling,True,False
n40k16,40,16,2893,qwen3-0.6b,0.3,50,0,informative,True,True
n40k16,40,16,2893,qwen3-0.6b-think,0.7,50,0,informative,True,True
n40k16,40,16,2893,qwen3-1.7b,0.4,50,0,informative,True,True
n40k16,40,16,2893,qwen3-1.7b-think,0.58,50,0,informative,True,True
n40k16,40,16,2893,qwen35-2b,0.84,50,0,informative,True,True
n40k16,40,16,2893,qwen35-2b-think,1.0,42,8,ceiling,True,False
n120k4,120,4,3430,qwen3-0.6b,0.66,50,0,informative,True,True
n120k4,120,4,3430,qwen3-0.6b-think,0.86,50,0,informative,True,True
n120k4,120,4,3430,qwen3-1.7b,0.76,50,0,informative,True,True
n120k4,120,4,3430,qwen3-1.7b-think,0.8542,48,2,informative,True,True
n120k4,120,4,3430,qwen35-2b,0.98,50,0,ceiling,True,False
n120k4,120,4,3430,qwen35-2b-think,1.0,2,2,ceiling,True,False
n80k8,80,8,3448,qwen3-0.6b,0.5,50,0,informative,True,True
n80k8,80,8,3448,qwen3-0.6b-think,0.84,50,0,informative,True,True
n80k8,80,8,3448,qwen3-1.7b,0.64,50,0,informative,True,True
n80k8,80,8,3448,qwen3-1.7b-think,0.7347,49,1,informative,True,True
n80k8,80,8,3448,qwen35-2b,0.98,50,0,ceiling,True,False
n60k12,60,12,3489,qwen3-0.6b,0.56,50,0,informative,True,True
n60k12,60,12,3489,qwen3-0.6b-think,0.74,50,0,informative,True,True
