density,condition,kept,capped,parsed,unparsable,mean_score,mean_abs_error,blind_bar_answer,blind_bar_score
0.65,clustering,400,0,400,0,0.12,4.5675,26,0.1325
0.65,components,400,0,400,0,0.1225,5.1925,26,0.1325
0.65,degree,400,0,400,0,0.1225,5.6575,26,0.1325
0.65,none,400,0,400,0,0.14,4.555,26,0.1325
0.75,clustering,400,0,400,0,0.095,4.94,29,0.165
0.75,components,400,0,400,0,0.065,5.5175,29,0.165
0.75,degree,400,0,400,0,0.1225,4.4875,29,0.165
0.75,none,400,0,400,0,0.09,5.2925,29,0.165
0.85,clustering,400,0,400,0,0.0475,4.6125,34,0.1725
0.85,components,400,0,400,0,0.0625,4.425,34,0.1725
0.85,degree,400,0,400,0,0.0575,5.53,34,0.1725
0.85,none,400,0,400,0,0.0525,4.5375,34,0.1725
