model,k,approx_tokens,position,magnitude,accuracy,n,dropped
qwen3-14b,900,5269,0.1,large,0.92,25,0
qwen3-14b,900,5269,0.1,small,0.8,25,0
qwen3-14b,900,5269,0.5,large,0.96,25,0
qwen3-14b,900,5269,0.5,small,0.8,25,0
qwen3-14b,900,5269,0.9,large,1.0,25,0
qwen3-14b,900,5269,0.9,small,1.0,25,0
qwen3-14b,1200,7082,0.1,large,0.92,25,0
qwen3-14b,1200,7082,0.1,small,1.0,25,0
qwen3-14b,1200,7082,0.5,large,1.0,25,0
qwen3-14b,1200,7082,0.5,small,1.0,25,0
qwen3-14b,1200,7082,0.9,large,0.96,25,0
qwen3-14b,1200,7082,0.9,small,1.0,25,0
qwen3-14b,1500,8919,0.1,large,0.88,25,0
qwen3-14b,1500,8919,0.1,small,0.76,25,0
qwen3-14b,1500,8919,0.5,large,0.88,25,0
qwen3-14b,1500,8919,0.5,small,0.8,25,0
qwen3-14b,1500,8919,0.9,large,1.0,25,0
qwen3-14b,1500,8919,0.9,small,1.0,25,0
qwen3-8b,900,5269,0.1,large,1.0,25,0
qwen3-8b,900,5269,0.1,small,0.92,25,0
qwen3-8b,900,5269,0.5,large,0.72,25,0
qwen3-8b,900,5269,0.5,small,0.84,25,0
qwen3-8b,900,5269,0.9,large,0.88,25,0
qwen3-8b,900,5269,0.9,small,0.8,25,0
qwen3-8b,1200,7082,0.1,large,1.0,25,0
qwen3-8b,1200,7082,0.1,small,1.0,25,0
qwen3-8b,1200,7082,0.5,large,0.96,25,0
qwen3-8b,1200,7082,0.5,small,0.96,25,0
qwen3-8b,1200,7082,0.9,large,1.0,25,0
qwen3-8b,1200,7082,0.9,small,1.0,25,0
qwen3-8b,1500,8919,0.1,large,1.0,25,0
qwen3-8b,1500,8919,0.1,small,1.0,25,0
qwen3-8b,1500,8919,0.5,large,0.8,25,0
qwen3-8b,1500,8919,0.5,small,0.76,25,0
qwen3-8b,1500,8919,0.9,large,0.96,25,0
qwen3-8b,1500,8919,0.9,small,1.0,25,0
