model,k,approx_tokens,position,magnitude,accuracy,n,dropped
gemma4-12b,160,922,0.1,large,1.0,25,0
gemma4-12b,160,922,0.1,small,1.0,25,0
gemma4-12b,160,922,0.5,large,1.0,25,0
gemma4-12b,160,922,0.5,small,1.0,25,0
gemma4-12b,160,922,0.9,large,1.0,25,0
gemma4-12b,160,922,0.9,small,1.0,25,0
gemma4-12b,220,1274,0.1,large,1.0,25,0
gemma4-12b,220,1274,0.1,small,1.0,25,0
gemma4-12b,220,1274,0.5,large,1.0,25,0
gemma4-12b,220,1274,0.5,small,1.0,25,0
gemma4-12b,220,1274,0.9,large,1.0,25,0
gemma4-12b,220,1274,0.9,small,1.0,25,0
gemma4-12b,260,1509,0.1,large,1.0,25,0
gemma4-12b,260,1509,0.1,small,1.0,25,0
gemma4-12b,260,1509,0.5,large,1.0,25,0
gemma4-12b,260,1509,0.5,small,1.0,25,0
gemma4-12b,260,1509,0.9,large,1.0,25,0
gemma4-12b,260,1509,0.9,small,1.0,25,0
gemma4-12b,320,1862,0.1,large,1.0,25,0
gemma4-12b,320,1862,0.1,small,1.0,25,0
gemma4-12b,320,1862,0.5,large,1.0,25,0
gemma4-12b,320,1862,0.5,small,1.0,25,0
gemma4-12b,320,1862,0.9,large,1.0,25,0
gemma4-12b,320,1862,0.9,small,1.0,25,0
gemma4-12b,420,2449,0.1,large,1.0,25,0
gemma4-12b,420,2449,0.1,small,1.0,25,0
gemma4-12b,420,2449,0.5,large,1.0,25,0
gemma4-12b,420,2449,0.5,small,1.0,25,0
gemma4-12b,420,2449,0.9,large,1.0,25,0
gemma4-12b,420,2449,0.9,small,1.0,25,0
gemma4-12b,520,3037,0.1,large,1.0,25,0
gemma4-12b,520,3037,0.1,small,1.0,25,0
gemma4-12b,520,3037,0.5,large,1.0,25,0
gemma4-12b,520,3037,0.5,small,1.0,25,0
gemma4-12b,520,3037,0.9,large,1.0,25,0
gemma4-12b,520,3037,0.9,small,1.0,25,0
gemma4-12b,640,3742,0.1,large,1.0,25,0
gemma4-12b,640,3742,0.1,small,0.96,25,0
gemma4-12b,640,3742,0.5,large,1.0,25,0
gemma4-12b,640,3742,0.5,small,1.0,25,0
gemma4-12b,640,3742,0.9,large,1.0,25,0
gemma4-12b,640,3742,0.9,small,1.0,25,0
gemma4-e4b-think,160,922,0.1,large,1.0,25,0
gemma4-e4b-think,160,922,0.1,small,1.0,25,0
gemma4-e4b-think,160,922,0.5,large,1.0,25,0
gemma4-e4b-think,160,922,0.5,small,1.0,25,0
gemma4-e4b-think,160,922,0.9,large,1.0,25,0
gemma4-e4b-think,160,922,0.9,small,1.0,25,0
gemma4-e4b-think,220,1274,0.1,large,1.0,25,0
gemma4-e4b-think,220,1274,0.1,small,1.0,25,0
gemma4-e4b-think,220,1274,0.5,large,1.0,25,0
gemma4-e4b-think,220,1274,0.5,small,1.0,25,0
gemma4-e4b-think,220,1274,0.9,large,1.0,25,0
gemma4-e4b-think,220,1274,0.9,small,1.0,25,0
gemma4-e4b-think,260,1509,0.1,large,1.0,25,0
gemma4-e4b-think,260,1509,0.1,small,1.0,25,0
gemma4-e4b-think,260,1509,0.5,large,1.0,25,0
gemma4-e4b-think,260,1509,0.5,small,1.0,25,0
gemma4-e4b-think,260,1509,0.9,large,1.0,25,0
gemma4-e4b-think,260,1509,0.9,small,1.0,25,0
gemma4-e4b-think,320,1862,0.1,large,1.0,25,0
gemma4-e4b-think,320,1862,0.1,small,1.0,25,0
gemma4-e4b-think,320,1862,0.5,large,1.0,25,0
gemma4-e4b-think,320,1862,0.5,small,1.0,25,0
gemma4-e4b-think,320,1862,0.9,large,1.0,25,0
gemma4-e4b-think,320,1862,0.9,small,1.0,25,0
gemma4-e4b-think,420,2449,0.1,large,1.0,25,0
gemma4-e4b-think,420,2449,0.1,small,1.0,25,0
gemma4-e4b-think,420,2449,0.5,large,1.0,25,0
gemma4-e4b-think,420,2449,0.5,small,1.0,25,0
gemma4-e4b-think,420,2449,0.9,large,1.0,25,0
gemma4-e4b-think,420,2449,0.9,small,1.0,25,0
gemma4-e4b-think,520,3037,0.1,large,1.0,25,0
gemma4-e4b-think,520,3037,0.1,small,1.0,25,0
gemma4-e4b-think,520,3037,0.5,large,1.0,25,0
gemma4-e4b-think,520,3037,0.5,small,1.0,25,0
gemma4-e4b-think,520,3037,0.9,large,1.0,25,0
gemma4-e4b-think,520,3037,0.9,small,1.0,25,0
gemma4-e4b-think,640,3742,0.1,large,0.96,25,0
gemma4-e4b-think,640,3742,0.1,small,1.0,25,0
gemma4-e4b-think,640,3742,0.5,large,1.0,25,0
gemma4-e4b-think,640,3742,0.5,small,1.0,25,0
gemma4-e4b-think,640,3742,0.9,large,1.0,25,0
gemma4-e4b-think,640,3742,0.9,small,1.0,25,0
qwen3-0.6b,160,922,0.1,large,1.0,25,0
qwen3-0.6b,160,922,0.1,small,0.96,25,0
qwen3-0.6b,160,922,0.5,large,0.84,25,0
qwen3-0.6b,160,922,0.5,small,0.68,25,0
qwen3-0.6b,160,922,0.9,large,0.92,25,0
qwen3-0.6b,160,922,0.9,small,0.84,25,0
qwen3-0.6b,220,1274,0.1,large,0.68,25,0
qwen3-0.6b,220,1274,0.1,small,0.72,25,0
qwen3-0.6b,220,1274,0.5,large,0.72,25,0
qwen3-0.6b,220,1274,0.5,small,0.48,25,0
qwen3-0.6b,220,1274,0.9,large,0.64,25,0
qwen3-0.6b,220,1274,0.9,small,0.76,25,0
qwen3-0.6b,260,1509,0.1,large,0.8,25,0
qwen3-0.6b,260,1509,0.1,small,0.6,25,0
qwen3-0.6b,260,1509,0.5,large,0.68,25,0
qwen3-0.6b,260,1509,0.5,small,0.56,25,0
qwen3-0.6b,260,1509,0.9,large,0.8,25,0
qwen3-0.6b,260,1509,0.9,small,0.64,25,0
qwen3-0.6b,320,1862,0.1,large,0.88,25,0
qwen3-0.6b,320,1862,0.1,small,0.72,25,0
qwen3-0.6b,320,1862,0.5,large,0.48,25,0
qwen3-0.6b,320,1862,0.5,small,0.44,25,0
qwen3-0.6b,320,1862,0.9,large,0.84,25,0
qwen3-0.6b,320,1862,0.9,small,0.68,25,0
qwen3-0.6b,420,2449,0.1,large,0.88,25,0
qwen3-0.6b,420,2449,0.1,small,0.76,25,0
qwen3-0.6b,420,2449,0.5,large,0.12,25,0
qwen3-0.6b,420,2449,0.5,small,0.16,25,0
qwen3-0.6b,420,2449,0.9,large,0.68,25,0
qwen3-0.6b,420,2449,0.9,small,0.68,25,0
qwen3-0.6b,520,3037,0.1,large,0.28,25,0
qwen3-0.6b,520,3037,0.1,small,0.6,25,0
qwen3-0.6b,520,3037,0.5,large,0.24,25,0
qwen3-0.6b,520,3037,0.5,small,0.16,25,0
qwen3-0.6b,520,3037,0.9,large,0.64,25,0
qwen3-0.6b,520,3037,0.9,small,0.44,25,0
qwen3-0.6b,640,3742,0.1,large,0.24,25,0
qwen3-0.6b,640,3742,0.1,small,0.52,25,0
qwen3-0.6b,640,3742,0.5,large,0.08,25,0
qwen3-0.6b,640,3742,0.5,small,0.2,25,0
qwen3-0.6b,640,3742,0.9,large,0.64,25,0
qwen3-0.6b,640,3742,0.9,small,0.6,25,0
qwen3-0.6b-think,160,922,0.1,large,1.0,25,0
qwen3-0.6b-think,160,922,0.1,small,1.0,24,1
qwen3-0.6b-think,160,922,0.5,large,0.4,25,0
qwen3-0.6b-think,160,922,0.5,small,0.375,24,1
qwen3-0.6b-think,160,922,0.9,large,0.875,24,1
qwen3-0.6b-think,160,922,0.9,small,0.7083,24,1
qwen3-0.6b-think,220,1274,0.1,large,0.625,24,1
qwen3-0.6b-think,220,1274,0.1,small,0.625,24,1
qwen3-0.6b-think,220,1274,0.5,large,0.75,24,1
qwen3-0.6b-think,220,1274,0.5,small,0.92,25,0
qwen3-0.6b-think,220,1274,0.9,large,0.3182,22,3
qwen3-0.6b-think,220,1274,0.9,small,0.2917,24,1
qwen3-0.6b-think,260,1509,0.1,large,0.84,25,0
qwen3-0.6b-think,260,1509,0.1,small,0.92,25,0
qwen3-0.6b-think,260,1509,0.5,large,0.76,25,0
qwen3-0.6b-think,260,1509,0.5,small,0.3913,23,2
qwen3-0.6b-think,260,1509,0.9,large,0.76,25,0
qwen3-0.6b-think,260,1509,0.9,small,0.7826,23,2
qwen3-0.6b-think,320,1862,0.1,large,0.8333,24,1
qwen3-0.6b-think,320,1862,0.1,small,0.75,24,1
qwen3-0.6b-think,320,1862,0.5,large,0.6667,24,1
qwen3-0.6b-think,320,1862,0.5,small,0.2609,23,2
qwen3-0.6b-think,320,1862,0.9,large,0.4545,22,3
qwen3-0.6b-think,320,1862,0.9,small,0.5455,22,3
qwen3-0.6b-think,420,2449,0.1,small,0.8462,13,1
qwen3-1.7b,160,922,0.1,large,1.0,25,0
qwen3-1.7b,160,922,0.1,small,1.0,25,0
qwen3-1.7b,160,922,0.5,large,1.0,25,0
qwen3-1.7b,160,922,0.5,small,1.0,25,0
qwen3-1.7b,160,922,0.9,large,1.0,25,0
qwen3-1.7b,160,922,0.9,small,1.0,25,0
qwen3-1.7b,220,1274,0.1,large,1.0,25,0
qwen3-1.7b,220,1274,0.1,small,0.96,25,0
qwen3-1.7b,220,1274,0.5,large,0.96,25,0
qwen3-1.7b,220,1274,0.5,small,1.0,25,0
qwen3-1.7b,220,1274,0.9,large,1.0,25,0
qwen3-1.7b,220,1274,0.9,small,0.96,25,0
qwen3-1.7b,260,1509,0.1,large,1.0,25,0
qwen3-1.7b,260,1509,0.1,small,1.0,25,0
qwen3-1.7b,260,1509,0.5,large,0.88,25,0
qwen3-1.7b,260,1509,0.5,small,1.0,25,0
qwen3-1.7b,260,1509,0.9,large,1.0,25,0
qwen3-1.7b,260,1509,0.9,small,1.0,25,0
qwen3-1.7b,320,1862,0.1,large,0.84,25,0
qwen3-1.7b,320,1862,0.1,small,1.0,25,0
qwen3-1.7b,320,1862,0.5,large,0.64,25,0
qwen3-1.7b,320,1862,0.5,small,0.88,25,0
qwen3-1.7b,320,1862,0.9,large,0.68,25,0
qwen3-1.7b,320,1862,0.9,small,0.76,25,0
qwen3-1.7b,420,2449,0.1,large,1.0,25,0
qwen3-1.7b,420,2449,0.1,small,1.0,25,0
qwen3-1.7b,420,2449,0.5,large,0.68,25,0
qwen3-1.7b,420,2449,0.5,small,0.4,25,0
qwen3-1.7b,420,2449,0.9,large,0.72,25,0
qwen3-1.7b,420,2449,0.9,small,0.96,25,0
qwen3-1.7b,520,3037,0.1,large,1.0,25,0
qwen3-1.7b,520,3037,0.1,small,0.92,25,0
qwen3-1.7b,520,3037,0.5,large,0.24,25,0
qwen3-1.7b,520,3037,0.5,small,0.28,25,0
qwen3-1.7b,520,3037,0.9,large,0.92,25,0
qwen3-1.7b,520,3037,0.9,small,0.92,25,0
qwen3-1.7b,640,3742,0.1,large,0.96,25,0
qwen3-1.7b,640,3742,0.1,small,0.96,25,0
qwen3-1.7b,640,3742,0.5,large,0.2,25,0
qwen3-1.7b,640,3742,0.5,small,0.16,25,0
qwen3-1.7b,640,3742,0.9,large,0.64,25,0
qwen3-1.7b,640,3742,0.9,small,0.88,25,0
qwen3-1.7b-think,160,922,0.1,large,0.96,25,0
qwen3-1.7b-think,160,922,0.1,small,1.0,25,0
