model,condition,delta,std_err,ci_low,ci_high,p_value,n_obs,n_groups,converged
gemma4-12b,all,0.0055555555556358665,0.010598566269642052,-0.015217252620623584,0.02632836373189532,0.6001534099620649,1260,180,True
gemma4-12b,clustering,-0.01111111111103082,0.007914444836372611,-0.02662313794795014,0.0044009157258885,0.16034780162578766,1260,180,True
gemma4-12b,components,-0.016666666666586463,0.00963061558888159,-0.03554232636974439,0.002208993036571457,0.08352455263126671,1260,180,True
gemma4-12b,degree,0.011111111111191377,0.008991526305732783,-0.00651195661408936,0.028734178836472113,0.21655843326696822,1260,180,True
gemma4-12b,filler,-0.016666666666586404,0.009630615588882044,-0.03554232636974522,0.0022089930365724077,0.08352455263128244,1260,180,True
gemma4-12b,rwse,-0.011111111111030842,0.007914444836372634,-0.026623137947950206,0.004400915725888521,0.1603478016257882,1260,180,True
gemma4-e4b,all,-8.618631948784034e-17,0.01756820922315775,-0.034433057350253676,0.03443305735025351,0.9999999999999961,1260,180,True
gemma4-e4b,clustering,-0.005555555555555751,0.020026559867764877,-0.044806891630610135,0.03369578051949863,0.7814657799981866,1260,180,True
gemma4-e4b,components,-0.033333333333333465,0.01908396004146403,-0.07073720769700448,0.004070541030337549,0.08069502595747258,1260,180,True
gemma4-e4b,degree,0.011111111111110931,0.01922718126284044,-0.026573471688279685,0.04879569391050155,0.5633413603774658,1260,180,True
gemma4-e4b,filler,0.005555555555555389,0.014692784451967686,-0.02324177280291135,0.03435288391402213,0.7053455012879027,1260,180,True
gemma4-e4b,rwse,-0.038888888888889,0.01641267368038557,-0.07105713819245318,-0.006720639585324824,0.017814918107152085,1260,180,True
qwen3-14b,all,0.011111111111110737,0.013583052459917717,-0.015511182510446175,0.03773340473266765,0.41334986430302345,1260,180,True
qwen3-14b,clustering,0.022222222222221547,0.010986960721618024,0.0006881749082940161,0.04375626953614908,0.04311444678298328,1260,180,True
qwen3-14b,components,0.016666666666666125,0.01464602925162404,-0.012039023183037116,0.045372356516369367,0.2551351547533457,1260,180,True
qwen3-14b,degree,0.04444444444444392,0.0172530588131109,0.010629070547595182,0.07825981834129266,0.00999411813509321,1260,180,True
qwen3-14b,filler,-4.862594095097344e-16,0.011111111111106473,-0.021777377605991997,0.021777377605991025,0.999999999999965,1260,180,True
qwen3-14b,rwse,0.01111111111111074,0.007812971522117632,-0.004202031684476906,0.026424253906698385,0.15498666065366257,1260,180,True
qwen3-8b,all,0.011111111111111243,0.01754867813404662,-0.023283666007905685,0.045505888230128175,0.5266295335708838,1260,180,True
qwen3-8b,clustering,0.027777777777778123,0.01455206819027788,-0.000743751775737482,0.05629930733129373,0.056280891216377305,1260,180,True
qwen3-8b,components,3.332351345430939e-16,0.01756820922315771,-0.03443305735025318,0.03443305735025384,0.9999999999999849,1260,180,True
qwen3-8b,degree,0.027777777777778036,0.018308999938225736,-0.008107202694090484,0.06366275824964655,0.12922497699030125,1260,180,True
qwen3-8b,filler,-0.04999999999999974,0.022600939563119385,-0.09429702756048015,-0.005702972439519324,0.026946122132540173,1260,180,True
qwen3-8b,rwse,-0.03333333333333291,0.017391639824996846,-0.06742032102241921,0.0007536543557533984,0.05528499271700586,1260,180,True
