model,condition,delta,std_err,ci_low,ci_high,p_value,n_obs,n_groups,converged
gemma4-12b,all,0.016666666666666663,0.012360330811826534,-0.007559136561514072,0.0408924698948474,0.17752985241216857,1260,180,True
gemma4-12b,clustering,0.01666666666666665,0.00954198002073233,-0.0020352705151694753,0.03536860384850277,0.0806950259574841,1260,180,True
gemma4-12b,components,-0.005555555555555556,0.005540101963576301,-0.01641395587484474,0.0053028447637336286,0.3159624815474802,1260,180,True
gemma4-12b,degree,0.022222222222222154,0.013507098169489515,-0.004251203725624188,0.048695648170068495,0.09992331851594026,1260,180,True
gemma4-12b,filler,0.011111111111111141,0.007812971522123121,-0.004202031684487262,0.026424253906709542,0.15498666065393757,1260,180,True
gemma4-12b,rwse,-4.259114970480397e-17,0.007856742013184339,-0.015398931381664066,0.01539893138166398,0.9999999999999957,1260,180,True
gemma4-e4b,all,0.044444444444444134,0.01725305881311555,0.010629070547586286,0.07825981834130198,0.009994118135112902,1260,180,True
gemma4-e4b,clustering,-1.6293609884558608e-16,0.02078698548207862,-0.04074174289203123,0.04074174289203091,0.9999999999999938,1260,180,True
gemma4-e4b,components,-0.016666666666666972,0.02148068325464693,-0.05876803220908758,0.02543469887575364,0.4378134060070852,1260,180,True
gemma4-e4b,degree,0.011111111111110896,0.02355567202393832,-0.03505715768744593,0.05727937990966773,0.6371439490288493,1260,180,True
gemma4-e4b,filler,-0.011111111111111358,0.020770481322682898,-0.051820506445131705,0.029598284222908992,0.5926863590874374,1260,180,True
gemma4-e4b,rwse,-0.011111111111111271,0.020770481322682784,-0.05182050644513139,0.029598284222908847,0.5926863590874383,1260,180,True
qwen3-14b,all,0.011111111111110326,0.013583052459926968,-0.015511182510464717,0.03773340473268537,0.41334986430335896,1260,180,True
qwen3-14b,clustering,0.005555555555554863,0.016661521839672504,-0.027100427177830788,0.038211538288940514,0.7388049948585769,1260,180,True
qwen3-14b,components,-0.005555555555556212,0.01241569651249809,-0.02988987356303202,0.018778762451919596,0.6545413350251781,1260,180,True
qwen3-14b,degree,0.055555555555554956,0.020370370370374993,0.015630363277878125,0.0954807478332318,0.006386023282719601,1260,180,True
qwen3-14b,filler,-0.01666666666666719,0.01464602925163383,-0.045372356516389614,0.012039023183055237,0.2551351547536329,1260,180,True
qwen3-14b,rwse,-4.259509411853008e-16,0.015713484026374017,-0.030797862763338936,0.030797862763338082,0.9999999999999784,1260,180,True
qwen3-8b,all,0.027777777777778057,0.021416728715225927,-0.01419823917072954,0.06975379472628565,0.194626678250443,1260,180,True
qwen3-8b,clustering,0.027777777777778116,0.01830899993823044,-0.008107202694099619,0.06366275824965585,0.12922497699039853,1260,180,True
qwen3-8b,components,0.011111111111111347,0.019227181262843736,-0.02657347168828573,0.04879569391050843,0.563341360377518,1260,180,True
qwen3-8b,degree,0.07777777777777801,0.022846178538212556,0.033000090658509465,0.12255546489704656,0.0006630694364033018,1260,180,True
qwen3-8b,filler,-0.005555555555555448,0.02002655986776879,-0.044806891630617504,0.03369578051950661,0.7814657799982399,1260,180,True
qwen3-8b,rwse,0.011111111111111332,0.019227181262843562,-0.026573471688285406,0.04879569391050807,0.563341360377515,1260,180,True
