arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-12b/zeroshot-only,node_count,all,excluded,mae/gemma4-12b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,node_count,clustering,excluded,mae/gemma4-12b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,node_count,components,excluded,mae/gemma4-12b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,node_count,degree,excluded,mae/gemma4-12b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,node_count,filler,excluded,mae/gemma4-12b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,node_count,rwse,excluded,mae/gemma4-12b/zeroshot-only/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,edge_count,all,excluded,mae/gemma4-12b/zeroshot-only/edge_count,30,30,0,0.3,-0.43333333333333335,1.1666666666666667,0.7456254374562544,False,False
main_sweep,gemma4-12b/zeroshot-only,edge_count,clustering,excluded,mae/gemma4-12b/zeroshot-only/edge_count,29,29,1,0.10344827586206896,-0.20689655172413793,0.5172413793103449,1.0,False,False
main_sweep,gemma4-12b/zeroshot-only,edge_count,components,excluded,mae/gemma4-12b/zeroshot-only/edge_count,30,30,0,-0.26666666666666666,-0.6666666666666666,-0.0,0.2532746725327467,False,False
main_sweep,gemma4-12b/zeroshot-only,edge_count,degree,excluded,mae/gemma4-12b/zeroshot-only/edge_count,30,30,0,0.5,-0.0,1.3333333333333333,0.4971502849715029,False,False
main_sweep,gemma4-12b/zeroshot-only,edge_count,filler,excluded,mae/gemma4-12b/zeroshot-only/edge_count,29,29,1,-0.10344827586206896,-0.27586206896551724,-0.0,0.5133486651334866,False,False
main_sweep,gemma4-12b/zeroshot-only,edge_count,rwse,excluded,mae/gemma4-12b/zeroshot-only/edge_count,29,29,1,0.10344827586206896,-0.20689655172413793,0.5172413793103449,1.0,False,False
