instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
connected_nodes/diverse/er/0,connected_nodes,all,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,1296,unaffected,True,0.352,3525.0,correct,False
connected_nodes/diverse/er/0,connected_nodes,clustering,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,1275,unaffected,True,0.082,3357.0,correct,False
connected_nodes/diverse/er/0,connected_nodes,components,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,2698,unaffected,True,0.082,6349.0,correct,False
connected_nodes/diverse/er/0,connected_nodes,degree,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,3800,unaffected,True,0.208,9064.0,correct,False
connected_nodes/diverse/er/0,connected_nodes,filler,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,932,revised,True,0.082,2298.0,correct,False
connected_nodes/diverse/er/0,connected_nodes,none,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,1981,unaffected,True,0.082,5029.0,correct,False
connected_nodes/diverse/er/0,connected_nodes,rwse,zero_shot,"1, 2, 3, 4, 6, 8, 9, 10, 16",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 2, 3, 4, 6, 8, 9, 10, 16",14,,True,1.0,1.0,False,False,,False,generator,2845,unaffected,True,0.082,6437.0,correct,False
connected_nodes/diverse/er/1,connected_nodes,all,zero_shot,"1, 6, 8, 13",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 6, 8, 13",3,,True,1.0,1.0,False,False,,False,generator,848,unaffected,True,0.352,2888.0,correct,False
connected_nodes/diverse/er/1,connected_nodes,clustering,zero_shot,"1, 6, 8, 13",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 6, 8, 13",3,,True,1.0,1.0,False,False,,False,generator,1024,unaffected,True,0.082,2985.0,correct,False
connected_nodes/diverse/er/1,connected_nodes,components,zero_shot,"1, 6, 8, 13",qwen3-1.7b-think,qwen3-1.7b,True,integer,"1, 6, 8, 13",3,,True,1.0,1.0,False,False,,False,generator,1208,unaffected,True,0.082,3681.0,correct,False
