arm,design,task,density,condition,contaminated,length_matched_to_condition,mid_range,n,none_acc,filler_acc,condition_acc,length_cost_pp,length_cost_p,content_gain_pp,content_gain_p,net_pp,net_p,content_outweighs_length,length_cost_bh,content_gain_bh,net_bh
qwen3-1.7b,lo,connected_nodes,0.1,components,False,False,False,100,0.92,0.92,0.92,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.2,components,False,False,False,100,0.91,0.86,0.9,-5.0,0.2265625,4.0,0.3876953125,-1.0,1.0,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.35,components,False,False,True,100,0.59,0.49,0.64,-10.0,0.052478790283203125,15.0,0.004077315330505371,5.0,0.4048728942871094,True,False,True,False
qwen3-1.7b,lo,connected_nodes,0.5,components,False,False,True,100,0.48,0.38,0.47,-10.0,0.06391465663909912,9.0,0.12207812070846558,-1.0,1.0,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.1,clustering,False,True,False,100,0.92,0.92,0.9,0.0,1.0,-2.0,0.75390625,-2.0,0.79052734375,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.2,clustering,False,True,False,100,0.91,0.86,0.9,-5.0,0.2265625,4.0,0.4239501953125,-1.0,1.0,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.35,clustering,False,True,True,100,0.59,0.49,0.63,-10.0,0.052478790283203125,14.0,0.001312255859375,4.0,0.557197093963623,True,False,True,False
qwen3-1.7b,lo,connected_nodes,0.5,clustering,False,True,True,100,0.48,0.38,0.52,-10.0,0.06391465663909912,14.0,0.006610751152038574,4.0,0.5412561893463135,True,False,True,False
qwen3-1.7b,lo,connected_nodes,0.1,rwse,False,False,False,100,0.92,0.92,0.98,0.0,1.0,6.0,0.03125,6.0,0.0703125,True,False,False,False
qwen3-1.7b,lo,connected_nodes,0.2,rwse,False,False,False,100,0.91,0.86,0.86,-5.0,0.2265625,0.0,1.0,-5.0,0.266845703125,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.35,rwse,False,False,True,100,0.59,0.49,0.61,-10.0,0.052478790283203125,12.0,0.022655844688415527,2.0,0.8505540192127228,True,False,True,False
qwen3-1.7b,lo,connected_nodes,0.5,rwse,False,False,True,100,0.48,0.38,0.49,-10.0,0.06391465663909912,11.0,0.052238985896110535,1.0,1.0,True,False,False,False
qwen3-1.7b,lo,connected_nodes,0.1,degree,True,False,False,100,0.92,0.92,0.97,0.0,1.0,5.0,0.0625,5.0,0.1796875,True,False,False,False
qwen3-1.7b,lo,connected_nodes,0.2,degree,True,False,False,100,0.91,0.86,0.92,-5.0,0.2265625,6.0,0.14599609375,1.0,1.0,True,False,False,False
qwen3-1.7b,lo,connected_nodes,0.35,degree,True,False,True,100,0.59,0.49,0.64,-10.0,0.052478790283203125,15.0,0.004077315330505371,5.0,0.44206833839416504,True,False,True,False
qwen3-1.7b,lo,connected_nodes,0.5,degree,True,False,True,100,0.48,0.38,0.51,-10.0,0.06391465663909912,13.0,0.0191572904586792,3.0,0.6776394844055176,True,False,True,False
qwen3-1.7b,lo,connected_nodes,0.1,all,True,False,False,99,0.9293,0.92,0.9091,0.0,1.0,-2.02,0.7744140625,-2.02,0.7744140625,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.2,all,True,False,False,100,0.91,0.86,0.84,-5.0,0.2265625,-2.0,0.8238029479980469,-7.0,0.1670684814453125,False,False,False,False
qwen3-1.7b,lo,connected_nodes,0.35,all,True,False,True,100,0.59,0.49,0.74,-10.0,0.052478790283203125,25.0,1.6242265701293945e-06,15.0,0.005924612283706665,True,False,True,True
qwen3-1.7b,lo,connected_nodes,0.5,all,True,False,True,100,0.48,0.38,0.5,-10.0,0.06391465663909912,12.0,0.022655844688415527,2.0,0.8641662404406816,True,False,True,False
qwen3-1.7b,lo,cycle_check,0.1,components,False,False,False,76,1.0,1.0,0.9868,1.28,1.0,-2.35,0.5,-1.32,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.2,components,False,False,False,84,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.35,components,False,False,False,84,1.0,1.0,0.9881,0.0,1.0,-1.16,1.0,-1.19,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.5,components,False,False,False,99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.1,clustering,False,True,False,82,0.9878,1.0,1.0,1.28,1.0,0.0,1.0,1.22,1.0,True,False,False,False
qwen3-1.7b,lo,cycle_check,0.2,clustering,False,True,False,90,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.35,clustering,False,True,False,91,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.5,clustering,False,True,False,99,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.1,rwse,False,False,False,77,0.987,1.0,0.9351,1.28,1.0,-4.55,0.125,-5.19,0.21875,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.2,rwse,False,False,False,91,1.0,1.0,0.9451,0.0,1.0,-5.56,0.0625,-5.49,0.0625,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.35,rwse,False,False,False,91,1.0,1.0,0.8791,0.0,1.0,-13.19,0.00048828125,-12.09,0.0009765625,False,False,True,True
qwen3-1.7b,lo,cycle_check,0.5,rwse,False,False,False,99,1.0,1.0,0.9293,0.0,1.0,-7.07,0.015625,-7.07,0.015625,False,False,True,True
qwen3-1.7b,lo,cycle_check,0.1,degree,True,False,False,74,1.0,1.0,0.9865,1.28,1.0,-1.19,1.0,-1.35,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.2,degree,True,False,False,84,1.0,1.0,0.8452,0.0,1.0,-14.81,0.00048828125,-15.48,0.000244140625,False,False,True,True
qwen3-1.7b,lo,cycle_check,0.35,degree,True,False,False,67,1.0,1.0,0.8358,0.0,1.0,-15.15,0.001953125,-16.42,0.0009765625,False,False,True,True
qwen3-1.7b,lo,cycle_check,0.5,degree,True,False,False,76,1.0,1.0,0.8289,0.0,1.0,-16.88,0.000244140625,-17.11,0.000244140625,False,False,True,True
qwen3-1.7b,lo,cycle_check,0.1,all,True,False,False,82,0.9878,1.0,0.9634,1.28,1.0,-2.17,0.5,-2.44,0.625,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.2,all,True,False,False,91,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.35,all,True,False,False,90,1.0,1.0,0.9889,0.0,1.0,-1.11,1.0,-1.11,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,0.5,all,True,False,False,99,1.0,1.0,0.9899,0.0,1.0,-1.01,1.0,-1.01,1.0,False,False,False,False
qwen3-1.7b,lo,edge_count,0.1,components,False,False,False,56,0.0357,0.0,0.0,-3.33,0.5,0.0,1.0,-3.57,0.5,False,False,False,False
qwen3-1.7b,lo,edge_count,0.2,components,False,False,False,73,0.0274,0.0366,0.0137,1.22,1.0,-1.35,1.0,-1.37,1.0,False,False,False,False
qwen3-1.7b,lo,edge_count,0.1,clustering,False,True,False,62,0.0323,0.0,0.0,-3.33,0.5,0.0,1.0,-3.23,0.5,False,False,False,False
qwen3-1.7b,lo,edge_count,0.2,clustering,False,True,False,89,0.0225,0.0366,0.0337,1.22,1.0,-1.14,1.0,1.12,1.0,True,False,False,False
qwen3-1.7b,lo,edge_count,0.1,rwse,False,False,False,63,0.0317,0.0,0.0,-3.33,0.5,0.0,1.0,-3.17,0.5,False,False,False,False
qwen3-1.7b,lo,edge_count,0.2,rwse,False,False,False,84,0.0238,0.0366,0.0238,1.22,1.0,-1.19,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,lo,edge_count,0.1,degree,True,False,False,62,0.0161,0.0,0.0806,-3.33,0.5,7.89,0.03125,6.45,0.21875,True,False,False,False
qwen3-1.7b,lo,edge_count,0.2,degree,True,False,False,86,0.0233,0.0366,0.0349,1.22,1.0,0.0,1.0,1.16,1.0,True,False,False,False
qwen3-1.7b,lo,edge_count,0.1,all,True,False,False,52,0.0192,0.0,0.0,-3.33,0.5,0.0,1.0,-1.92,1.0,False,False,False,False
qwen3-1.7b,lo,edge_count,0.2,all,True,False,False,83,0.0241,0.0366,0.012,1.22,1.0,-2.44,0.625,-1.2,1.0,False,False,False,False
qwen3-1.7b,lo,edge_existence,0.1,components,False,False,True,100,0.89,0.84,0.86,-5.0,0.266845703125,2.0,0.75390625,-3.0,0.453125,False,False,False,False
qwen3-1.7b,lo,edge_existence,0.2,components,False,False,True,100,0.73,0.53,0.62,-20.0,0.00032491423189640045,9.0,0.03515625,-11.0,0.03468966484069824,False,True,True,False
