arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,bh_significant
qwen3-1.7b,lo,connected_nodes,components,none,100,0.92,0.92,0.0,3,3,1.0,0.1,False
qwen3-1.7b,lo,connected_nodes,components,none,100,0.91,0.9,-1.0,4,3,1.0,0.2,False
qwen3-1.7b,lo,connected_nodes,components,none,100,0.59,0.64,5.0,9,14,0.4048728942871094,0.35,False
qwen3-1.7b,lo,connected_nodes,components,none,100,0.48,0.47,-1.0,10,9,1.0,0.5,False
qwen3-1.7b,lo,connected_nodes,clustering,none,100,0.92,0.9,-2.0,8,6,0.79052734375,0.1,False
qwen3-1.7b,lo,connected_nodes,clustering,none,100,0.91,0.9,-1.0,7,6,1.0,0.2,False
qwen3-1.7b,lo,connected_nodes,clustering,none,100,0.59,0.63,4.0,11,15,0.557197093963623,0.35,False
qwen3-1.7b,lo,connected_nodes,clustering,none,100,0.48,0.52,4.0,10,14,0.5412561893463135,0.5,False
qwen3-1.7b,lo,connected_nodes,rwse,none,100,0.92,0.98,6.0,1,7,0.0703125,0.1,False
qwen3-1.7b,lo,connected_nodes,rwse,none,100,0.91,0.86,-5.0,9,4,0.266845703125,0.2,False
qwen3-1.7b,lo,connected_nodes,rwse,none,100,0.59,0.61,2.0,13,15,0.8505540192127228,0.35,False
qwen3-1.7b,lo,connected_nodes,rwse,none,100,0.48,0.49,1.0,14,15,1.0,0.5,False
qwen3-1.7b,lo,connected_nodes,degree,none,100,0.92,0.97,5.0,2,7,0.1796875,0.1,False
qwen3-1.7b,lo,connected_nodes,degree,none,100,0.91,0.92,1.0,5,6,1.0,0.2,False
qwen3-1.7b,lo,connected_nodes,degree,none,100,0.59,0.64,5.0,11,16,0.44206833839416504,0.35,False
qwen3-1.7b,lo,connected_nodes,degree,none,100,0.48,0.51,3.0,10,13,0.6776394844055176,0.5,False
qwen3-1.7b,lo,connected_nodes,filler,none,100,0.92,0.92,0.0,7,7,1.0,0.1,False
qwen3-1.7b,lo,connected_nodes,filler,none,100,0.91,0.86,-5.0,8,3,0.2265625,0.2,False
qwen3-1.7b,lo,connected_nodes,filler,none,100,0.59,0.49,-10.0,16,6,0.052478790283203125,0.35,False
qwen3-1.7b,lo,connected_nodes,filler,none,100,0.48,0.38,-10.0,17,7,0.06391465663909912,0.5,False
qwen3-1.7b,lo,connected_nodes,all,none,99,0.9293,0.9091,-2.02,7,5,0.7744140625,0.1,False
qwen3-1.7b,lo,connected_nodes,all,none,100,0.91,0.84,-7.0,13,6,0.1670684814453125,0.2,False
qwen3-1.7b,lo,connected_nodes,all,none,100,0.59,0.74,15.0,6,21,0.005924612283706665,0.35,True
qwen3-1.7b,lo,connected_nodes,all,none,100,0.48,0.5,2.0,16,18,0.8641662404406816,0.5,False
qwen3-1.7b,lo,cycle_check,components,none,76,1.0,0.9868,-1.32,1,0,1.0,0.1,False
qwen3-1.7b,lo,cycle_check,components,none,84,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b,lo,cycle_check,components,none,84,1.0,0.9881,-1.19,1,0,1.0,0.35,False
qwen3-1.7b,lo,cycle_check,components,none,99,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b,lo,cycle_check,clustering,none,82,0.9878,1.0,1.22,0,1,1.0,0.1,False
qwen3-1.7b,lo,cycle_check,clustering,none,90,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b,lo,cycle_check,clustering,none,91,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b,lo,cycle_check,clustering,none,99,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b,lo,cycle_check,rwse,none,77,0.987,0.9351,-5.19,5,1,0.21875,0.1,False
qwen3-1.7b,lo,cycle_check,rwse,none,91,1.0,0.9451,-5.49,5,0,0.0625,0.2,False
qwen3-1.7b,lo,cycle_check,rwse,none,91,1.0,0.8791,-12.09,11,0,0.0009765625,0.35,True
qwen3-1.7b,lo,cycle_check,rwse,none,99,1.0,0.9293,-7.07,7,0,0.015625,0.5,True
qwen3-1.7b,lo,cycle_check,degree,none,74,1.0,0.9865,-1.35,1,0,1.0,0.1,False
qwen3-1.7b,lo,cycle_check,degree,none,84,1.0,0.8452,-15.48,13,0,0.000244140625,0.2,True
qwen3-1.7b,lo,cycle_check,degree,none,67,1.0,0.8358,-16.42,11,0,0.0009765625,0.35,True
qwen3-1.7b,lo,cycle_check,degree,none,76,1.0,0.8289,-17.11,13,0,0.000244140625,0.5,True
qwen3-1.7b,lo,cycle_check,filler,none,78,0.9872,1.0,1.28,0,1,1.0,0.1,False
qwen3-1.7b,lo,cycle_check,filler,none,81,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b,lo,cycle_check,filler,none,84,1.0,1.0,0.0,0,0,1.0,0.35,False
qwen3-1.7b,lo,cycle_check,filler,none,98,1.0,1.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b,lo,cycle_check,all,none,82,0.9878,0.9634,-2.44,3,1,0.625,0.1,False
qwen3-1.7b,lo,cycle_check,all,none,91,1.0,1.0,0.0,0,0,1.0,0.2,False
qwen3-1.7b,lo,cycle_check,all,none,90,1.0,0.9889,-1.11,1,0,1.0,0.35,False
qwen3-1.7b,lo,cycle_check,all,none,99,1.0,0.9899,-1.01,1,0,1.0,0.5,False
qwen3-1.7b,lo,edge_count,components,none,56,0.0357,0.0,-3.57,2,0,0.5,0.1,False
qwen3-1.7b,lo,edge_count,components,none,73,0.0274,0.0137,-1.37,2,1,1.0,0.2,False
qwen3-1.7b,lo,edge_count,clustering,none,62,0.0323,0.0,-3.23,2,0,0.5,0.1,False
qwen3-1.7b,lo,edge_count,clustering,none,89,0.0225,0.0337,1.12,2,3,1.0,0.2,False
qwen3-1.7b,lo,edge_count,clustering,none,51,0.0,0.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b,lo,edge_count,rwse,none,63,0.0317,0.0,-3.17,2,0,0.5,0.1,False
qwen3-1.7b,lo,edge_count,rwse,none,84,0.0238,0.0238,0.0,2,2,1.0,0.2,False
qwen3-1.7b,lo,edge_count,rwse,none,51,0.0,0.0,0.0,0,0,1.0,0.5,False
qwen3-1.7b,lo,edge_count,degree,none,62,0.0161,0.0806,6.45,1,5,0.21875,0.1,False
qwen3-1.7b,lo,edge_count,degree,none,86,0.0233,0.0349,1.16,2,3,1.0,0.2,False
qwen3-1.7b,lo,edge_count,degree,none,56,0.0,0.0893,8.93,0,5,0.0625,0.5,False
qwen3-1.7b,lo,edge_count,filler,none,60,0.0333,0.0,-3.33,2,0,0.5,0.1,False
qwen3-1.7b,lo,edge_count,filler,none,82,0.0244,0.0366,1.22,1,2,1.0,0.2,False
qwen3-1.7b,lo,edge_count,all,none,52,0.0192,0.0,-1.92,1,0,1.0,0.1,False
qwen3-1.7b,lo,edge_count,all,none,83,0.0241,0.012,-1.2,2,1,1.0,0.2,False
qwen3-1.7b,lo,edge_existence,components,none,100,0.89,0.86,-3.0,5,2,0.453125,0.1,False
qwen3-1.7b,lo,edge_existence,components,none,100,0.73,0.62,-11.0,17,6,0.03468966484069824,0.2,False
qwen3-1.7b,lo,edge_existence,components,none,100,0.66,0.5,-16.0,18,2,0.0004024505615234375,0.35,True
qwen3-1.7b,lo,edge_existence,components,none,100,0.54,0.51,-3.0,4,1,0.375,0.5,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.89,0.84,-5.0,9,4,0.266845703125,0.1,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.73,0.74,1.0,15,16,1.0,0.2,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.66,0.72,6.0,8,14,0.28627872467041016,0.35,False
qwen3-1.7b,lo,edge_existence,clustering,none,100,0.54,0.67,13.0,1,14,0.0009765625,0.5,True
qwen3-1.7b,lo,edge_existence,rwse,none,99,0.8889,0.9192,3.03,3,6,0.5078125,0.1,False
qwen3-1.7b,lo,edge_existence,rwse,none,100,0.73,0.68,-5.0,16,11,0.44206833839416504,0.2,False
qwen3-1.7b,lo,edge_existence,rwse,none,100,0.66,0.76,10.0,13,23,0.13249816396273673,0.35,False
qwen3-1.7b,lo,edge_existence,rwse,none,100,0.54,0.67,13.0,2,15,0.002349853515625,0.5,True
qwen3-1.7b,lo,edge_existence,degree,none,100,0.89,0.83,-6.0,7,1,0.0703125,0.1,False
qwen3-1.7b,lo,edge_existence,degree,none,100,0.73,0.7,-3.0,15,12,0.7011080384254456,0.2,False
qwen3-1.7b,lo,edge_existence,degree,none,100,0.66,0.67,1.0,10,11,1.0,0.35,False
qwen3-1.7b,lo,edge_existence,degree,none,100,0.54,0.78,24.0,1,25,8.046627044677734e-07,0.5,True
qwen3-1.7b,lo,edge_existence,filler,none,100,0.89,0.84,-5.0,9,4,0.266845703125,0.1,False
qwen3-1.7b,lo,edge_existence,filler,none,100,0.73,0.53,-20.0,25,5,0.00032491423189640045,0.2,True
qwen3-1.7b,lo,edge_existence,filler,none,100,0.66,0.34,-32.0,33,1,4.0745362639427185e-09,0.35,True
qwen3-1.7b,lo,edge_existence,filler,none,100,0.54,0.48,-6.0,6,0,0.03125,0.5,True
qwen3-1.7b,lo,edge_existence,all,none,100,0.89,0.89,0.0,6,6,1.0,0.1,False
qwen3-1.7b,lo,edge_existence,all,none,100,0.73,0.81,8.0,8,16,0.15158963203430176,0.2,False
qwen3-1.7b,lo,edge_existence,all,none,100,0.66,0.78,12.0,14,26,0.0806904677519924,0.35,False
qwen3-1.7b,lo,edge_existence,all,none,100,0.54,0.8,26.0,1,27,2.1606683731079102e-07,0.5,True
qwen3-1.7b,lo,node_count,components,none,100,0.02,0.19,17.0,2,19,0.00022125244140625,0.1,True
qwen3-1.7b,lo,node_count,components,none,100,0.0,0.41,41.0,0,41,9.094947017729282e-13,0.2,True
qwen3-1.7b,lo,node_count,components,none,100,0.28,0.7,42.0,7,49,7.455210310203242e-09,0.35,True
qwen3-1.7b,lo,node_count,components,none,100,0.96,0.81,-15.0,19,4,0.002599477767944336,0.5,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.02,0.95,93.0,0,93,2.0194839173657902e-28,0.1,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.0,1.0,100.0,0,100,1.5777218104420236e-30,0.2,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.28,1.0,72.0,0,72,4.235164736271502e-22,0.35,True
qwen3-1.7b,lo,node_count,clustering,none,100,0.96,1.0,4.0,0,4,0.125,0.5,False
qwen3-1.7b,lo,node_count,rwse,none,100,0.02,0.32,30.0,1,31,1.5366822481155396e-08,0.1,True
qwen3-1.7b,lo,node_count,rwse,none,100,0.0,0.17,17.0,0,17,1.52587890625e-05,0.2,True
qwen3-1.7b,lo,node_count,rwse,none,100,0.28,0.55,27.0,11,38,0.00014197068519905542,0.35,True
qwen3-1.7b,lo,node_count,rwse,none,100,0.96,0.3,-66.0,67,1,4.675621868843738e-19,0.5,True
qwen3-1.7b,lo,node_count,degree,none,100,0.02,0.03,1.0,2,3,1.0,0.1,False
qwen3-1.7b,lo,node_count,degree,none,100,0.0,0.05,5.0,0,5,0.0625,0.2,False
qwen3-1.7b,lo,node_count,degree,none,100,0.28,0.45,17.0,14,31,0.016094360031274846,0.35,True
qwen3-1.7b,lo,node_count,degree,none,100,0.96,1.0,4.0,0,4,0.125,0.5,False
qwen3-1.7b,lo,node_count,filler,none,100,0.02,0.16,14.0,2,16,0.001312255859375,0.1,True
qwen3-1.7b,lo,node_count,filler,none,100,0.0,0.7,70.0,0,70,1.6940658945086007e-21,0.2,True
qwen3-1.7b,lo,node_count,filler,none,100,0.28,0.99,71.0,0,71,8.470329472543003e-22,0.35,True
qwen3-1.7b,lo,node_count,filler,none,100,0.96,1.0,4.0,0,4,0.125,0.5,False
qwen3-1.7b,lo,node_count,all,none,100,0.02,0.7,68.0,0,68,6.776263578034403e-21,0.1,True
qwen3-1.7b,lo,node_count,all,none,100,0.0,0.52,52.0,0,52,4.440892098500626e-16,0.2,True
qwen3-1.7b,lo,node_count,all,none,100,0.28,0.94,66.0,3,69,2.6371947296289014e-17,0.35,True
qwen3-1.7b,lo,node_count,all,none,100,0.96,0.98,2.0,2,4,0.6875,0.5,False
qwen3-1.7b,lo,node_degree,components,none,100,0.91,0.92,1.0,3,4,1.0,0.1,False
qwen3-1.7b,lo,node_degree,components,none,100,0.8,0.82,2.0,5,7,0.7744140625,0.2,False
qwen3-1.7b,lo,node_degree,components,none,100,0.41,0.44,3.0,10,13,0.6776394844055176,0.35,False
