arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,bh_significant
qwen3-1.7b,lo,connected_nodes,components,none,400,0.725,0.7325,0.75,26,29,0.7877061896700435,False
qwen3-1.7b,lo,connected_nodes,clustering,none,400,0.725,0.7375,1.25,36,41,0.6487911623106449,False
qwen3-1.7b,lo,connected_nodes,rwse,none,400,0.725,0.735,1.0,37,41,0.7343420330298468,False
qwen3-1.7b,lo,connected_nodes,degree,none,400,0.725,0.76,3.5,28,42,0.11960933562988493,False
qwen3-1.7b,lo,connected_nodes,filler,none,400,0.725,0.6625,-6.25,48,23,0.004065116124638666,True
qwen3-1.7b,lo,connected_nodes,all,none,399,0.7268,0.7469,2.01,42,50,0.4657074457730625,False
qwen3-1.7b,lo,cycle_check,components,none,343,1.0,0.9942,-0.58,2,0,0.5,False
qwen3-1.7b,lo,cycle_check,clustering,none,362,0.9972,1.0,0.28,0,1,1.0,False
qwen3-1.7b,lo,cycle_check,rwse,none,358,0.9972,0.9218,-7.54,28,1,1.1175870895385742e-07,True
qwen3-1.7b,lo,cycle_check,degree,none,301,1.0,0.8738,-12.62,38,0,7.275957614183426e-12,True
qwen3-1.7b,lo,cycle_check,filler,none,341,0.9971,1.0,0.29,0,1,1.0,False
qwen3-1.7b,lo,cycle_check,all,none,362,0.9972,0.9862,-1.1,5,1,0.21875,False
qwen3-1.7b,lo,edge_count,components,none,211,0.019,0.0047,-1.42,4,1,0.375,False
qwen3-1.7b,lo,edge_count,clustering,none,238,0.0168,0.0126,-0.42,4,3,1.0,False
qwen3-1.7b,lo,edge_count,rwse,none,239,0.0167,0.0084,-0.84,4,2,0.6875,False
qwen3-1.7b,lo,edge_count,degree,none,253,0.0119,0.0514,3.95,3,13,0.021270751953125,False
qwen3-1.7b,lo,edge_count,filler,none,224,0.0179,0.0134,-0.45,3,2,1.0,False
qwen3-1.7b,lo,edge_count,all,none,211,0.0142,0.0379,2.37,3,8,0.2265625,False
