arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,bh_significant
qwen3-1.7b,lo,connected_nodes,components,filler,100,0.49,0.64,15.0,5,20,0.004077315330505371,0.35,0.59,True
qwen3-1.7b,lo,connected_nodes,components,filler,100,0.38,0.47,9.0,9,18,0.12207812070846558,0.5,0.48,False
qwen3-1.7b,lo,connected_nodes,clustering,filler,100,0.49,0.63,14.0,2,16,0.001312255859375,0.35,0.59,True
qwen3-1.7b,lo,connected_nodes,clustering,filler,100,0.38,0.52,14.0,5,19,0.006610751152038574,0.5,0.48,True
qwen3-1.7b,lo,connected_nodes,rwse,filler,100,0.49,0.61,12.0,6,18,0.022655844688415527,0.35,0.59,False
qwen3-1.7b,lo,connected_nodes,rwse,filler,100,0.38,0.49,11.0,8,19,0.052238985896110535,0.5,0.48,False
qwen3-1.7b,lo,edge_existence,components,filler,100,0.84,0.86,2.0,4,6,0.75390625,0.1,0.89,False
qwen3-1.7b,lo,edge_existence,components,filler,100,0.53,0.62,9.0,3,12,0.03515625,0.2,0.73,False
qwen3-1.7b,lo,edge_existence,components,filler,100,0.34,0.5,16.0,1,17,0.00014495849609375,0.35,0.66,True
qwen3-1.7b,lo,edge_existence,components,filler,100,0.48,0.51,3.0,0,3,0.25,0.5,0.54,False
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.84,0.84,0.0,5,5,1.0,0.1,0.89,False
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.53,0.74,21.0,3,24,4.9233436584472656e-05,0.2,0.73,True
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.34,0.72,38.0,1,39,7.457856554538012e-11,0.35,0.66,True
qwen3-1.7b,lo,edge_existence,clustering,filler,100,0.48,0.67,19.0,0,19,3.814697265625e-06,0.5,0.54,True
qwen3-1.7b,lo,edge_existence,rwse,filler,99,0.8384,0.9192,8.08,2,10,0.03857421875,0.1,0.89,False
qwen3-1.7b,lo,edge_existence,rwse,filler,100,0.53,0.68,15.0,7,22,0.008130058646202087,0.2,0.73,True
qwen3-1.7b,lo,edge_existence,rwse,filler,100,0.34,0.76,42.0,3,45,1.312585595769633e-10,0.35,0.66,True
qwen3-1.7b,lo,edge_existence,rwse,filler,100,0.48,0.67,19.0,0,19,3.814697265625e-06,0.5,0.54,True
qwen3-1.7b,lo,node_degree,components,filler,100,0.73,0.82,9.0,6,15,0.0783538818359375,0.2,0.8,False
qwen3-1.7b,lo,node_degree,components,filler,100,0.41,0.44,3.0,10,13,0.6776394844055176,0.35,0.41,False
qwen3-1.7b,lo,node_degree,components,filler,100,0.3,0.31,1.0,10,11,1.0,0.5,0.3,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.73,0.82,9.0,11,20,0.14961278438568115,0.2,0.8,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.41,0.47,6.0,12,18,0.361594608053565,0.35,0.41,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.3,0.32,2.0,14,16,0.855535551905632,0.5,0.3,False
qwen3-1.7b,lo,node_degree,rwse,filler,100,0.73,0.84,11.0,3,14,0.012725830078125,0.2,0.8,True
qwen3-1.7b,lo,node_degree,rwse,filler,99,0.404,0.4747,7.07,15,22,0.3240086000878364,0.35,0.41,False
qwen3-1.7b,lo,node_degree,rwse,filler,100,0.3,0.33,3.0,13,16,0.711071103811264,0.5,0.3,False
qwen3-1.7b,hi,edge_existence,components,filler,100,0.66,0.66,0.0,0,0,1.0,0.65,0.68,False
qwen3-1.7b,hi,edge_existence,components,filler,100,0.76,0.77,1.0,0,1,1.0,0.75,0.77,False
