task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
edge_existence,all,300,23,3,0.06666666666666667,8.797645568847656e-05,True,,,,,,
edge_existence,clustering,300,9,5,0.013333333333333334,0.4239501953125,False,0.0353515625,0.03623333333333333,,-0.0361328125,-0.0345,
edge_existence,components,300,0,3,-0.01,0.25,False,0.02421875,0.02535,,-0.0251953125,-0.026066666666666665,
edge_existence,degree,296,15,5,0.033783783783783786,0.04138946533203125,False,0.0439453125,0.044138513513513514,,-0.043750000000000004,-0.04400337837837838,
edge_existence,filler,300,0,4,-0.013333333333333334,0.125,False,0.02421875,0.0246,,-0.025,-0.02575,
edge_existence,rwse,300,7,4,0.01,0.548828125,False,0.030859375,0.030883333333333332,,-0.03125,-0.031266666666666665,
node_degree,all,299,31,23,0.026755852842809364,0.34089094122009733,False,0.065625,0.06725752508361205,,-0.10859375,-0.06319397993311036,
node_degree,clustering,299,14,24,-0.033444816053511704,0.14330665429588407,False,0.060546875,0.061404682274247495,,-0.058984375,-0.05560200668896321,
node_degree,components,299,15,14,0.0033444816053511705,1.0,False,0.05,0.05,,-0.0498046875,-0.04923076923076923,
node_degree,degree,299,26,25,0.0033444816053511705,1.0,False,0.06640625,0.06668896321070233,,-0.09843750000000001,-0.0624247491638796,
node_degree,filler,299,11,27,-0.05351170568561873,0.013852965261321515,True,,,,,,
node_degree,rwse,299,8,24,-0.05351170568561873,0.0070003666914999485,True,,,,,,
