task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,375,0,0,0.0,1.0,False,,0.003751843454790819,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.019067568151147084,
connected_nodes,clustering,373,0,0,0.0,1.0,False,,0.0025686685263374954,MDE exceeds 1.0 at this power target,-0.018554687500000003,-0.01767801282955792,
connected_nodes,components,377,0,0,0.0,1.0,False,,0.004118574082625455,MDE exceeds 1.0 at this power target,-0.02109375,-0.01962562062164183,
connected_nodes,degree,376,0,0,0.0,1.0,False,,0.0029726068071532765,MDE exceeds 1.0 at this power target,-0.019335937500000004,-0.01982092492240867,
connected_nodes,filler,379,0,0,0.0,1.0,False,,0.003220030952706965,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.019039936825661016,
connected_nodes,rwse,379,0,0,0.0,1.0,False,,0.0027307625948092516,MDE exceeds 1.0 at this power target,-0.018554687500000003,-0.01865921788252018,
cycle_check,all,392,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020703125000000003,-0.020676020408163267,
cycle_check,clustering,394,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020507812500000003,-0.020901015228426394,
cycle_check,components,381,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021036745406824146,
cycle_check,degree,375,0,3,-0.008,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.021679687500000003,-0.021773333333333332,
cycle_check,filler,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.020517676767676768,
cycle_check,rwse,395,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019140625,-0.01959493670886076,
edge_count,all,41,0,17,-0.4146341463414634,1.52587890625e-05,True,,,,,,
edge_count,clustering,59,2,1,0.01694915254237288,1.0,False,,0.03305084745762712,MDE exceeds 1.0 at this power target,-0.125,-0.13228813559322034,
edge_count,components,60,1,0,0.016666666666666666,1.0,False,,0.01625,MDE exceeds 1.0 at this power target,-0.125,-0.12408333333333334,
edge_count,degree,34,0,8,-0.23529411764705882,0.0078125,True,,,,,,
edge_count,filler,50,0,1,-0.02,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.14687500000000003,-0.1499,
edge_count,rwse,49,1,1,0.0,1.0,False,,0.018367346938775512,MDE exceeds 1.0 at this power target,-0.15546875000000004,-0.15551020408163266,
edge_existence,all,394,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.020063451776649747,
edge_existence,clustering,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.018952020202020203,
edge_existence,components,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019335937500000004,-0.01928030303030303,
edge_existence,degree,398,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019726562500000003,-0.02128140703517588,
edge_existence,filler,399,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019335937500000004,-0.019786967418546367,
edge_existence,rwse,393,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.019796437659033078,
node_count,all,400,2,0,0.005,0.5,False,,0.004975,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.0201125,
node_count,clustering,399,2,0,0.005012531328320802,0.5,False,,0.004912280701754386,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.02050125313283208,
node_count,components,400,2,2,0.0,1.0,False,,0.00475,MDE exceeds 1.0 at this power target,-0.019335937500000004,-0.0188875,
node_count,degree,399,2,0,0.005012531328320802,0.5,False,,0.005288220551378446,MDE exceeds 1.0 at this power target,-0.019921875000000006,-0.01993734335839599,
node_count,filler,400,2,0,0.005,0.5,False,,0.004975,MDE exceeds 1.0 at this power target,-0.020117187500000005,-0.01995,
node_count,rwse,399,2,0,0.005012531328320802,0.5,False,,0.004962406015037594,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.01943609022556391,
node_degree,all,383,0,3,-0.007832898172323759,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.020507812500000003,-0.02028720626631854,
node_degree,clustering,386,1,2,-0.0025906735751295338,1.0,False,,0.002551813471502591,MDE exceeds 1.0 at this power target,-0.020507812500000003,-0.019935233160621763,
node_degree,components,380,0,1,-0.002631578947368421,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020539473684210528,
node_degree,degree,388,1,1,0.0,1.0,False,,0.002654639175257732,MDE exceeds 1.0 at this power target,-0.019726562500000003,-0.019677835051546393,
node_degree,filler,386,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.019676165803108808,
node_degree,rwse,381,0,8,-0.02099737532808399,0.0078125,True,,,,,,
