task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
edge_existence,all,299,12,18,-0.020066889632107024,0.361594608053565,False,0.049218750000000006,0.049899665551839466,,-0.053515625000000004,-0.05274247491638796,
edge_existence,clustering,300,26,10,0.05333333333333334,0.011330984183587134,True,,,,,,
edge_existence,components,299,9,19,-0.033444816053511704,0.08715855330228806,False,0.048828125,0.05010033444816053,,-0.049218750000000006,-0.04976588628762542,
edge_existence,degree,299,9,18,-0.030100334448160536,0.12207812070846558,False,0.046875,0.0468561872909699,,-0.051171875000000006,-0.05157190635451505,
edge_existence,filler,300,3,22,-0.06333333333333334,0.00015652179718017578,True,,,,,,
edge_existence,rwse,300,17,19,-0.006666666666666667,0.8679394004284404,False,0.056640625,0.05276666666666667,,-0.05625,-0.058,
node_degree,all,300,34,98,-0.21333333333333335,2.225708250524145e-08,True,,,,,,
node_degree,clustering,300,46,12,0.11333333333333333,8.219663963332513e-06,True,,,,,,
node_degree,components,300,21,24,-0.01,0.765991824244793,False,0.062890625,0.06278333333333333,,-0.06367187499999999,-0.06313333333333333,
node_degree,degree,300,82,54,0.09333333333333334,0.02026001125424599,True,,,,,,
node_degree,filler,300,29,23,0.02,0.48845566937989204,False,0.065625,0.06701666666666667,,-0.069921875,-0.0667,
node_degree,rwse,300,40,17,0.07666666666666666,0.003201543767450382,True,,,,,,
