label,n_clusters,delta,ci_low,ci_high,p_value,bh_significant
ALL,500,0.32,0.272,0.368,9.999000099990002e-05,
task=edge_count,500,0.32,0.272,0.368,9.999000099990002e-05,True
has_isolated_node=False,371,0.353099730458221,0.29380053908355797,0.4123989218328841,9.999000099990002e-05,True
has_isolated_node=True,129,0.2248062015503876,0.14728682170542637,0.3023255813953488,9.999000099990002e-05,True
is_forest=False,416,0.3629807692307692,0.3076923076923077,0.41586538461538464,9.999000099990002e-05,True
is_forest=True,84,0.10714285714285714,0.023809523809523808,0.20238095238095238,0.0374962503749625,True
is_bipartite=False,408,0.35784313725490197,0.3014705882352941,0.4117647058823529,9.999000099990002e-05,True
is_bipartite=True,92,0.15217391304347827,0.06521739130434782,0.2391304347826087,0.0028997100289971,True
size_bucket=small,152,0.10526315789473684,0.046052631578947366,0.16447368421052633,0.000999900009999,True
size_bucket=medium,173,0.24855491329479767,0.16184971098265896,0.34104046242774566,9.999000099990002e-05,True
size_bucket=large,175,0.5771428571428572,0.49714285714285716,0.6514285714285715,9.999000099990002e-05,True
degree_std=low,167,0.16766467065868262,0.10179640718562874,0.23353293413173654,9.999000099990002e-05,True
degree_std=mid,166,0.3192771084337349,0.2289156626506024,0.4036144578313253,9.999000099990002e-05,True
degree_std=high,167,0.47305389221556887,0.38323353293413176,0.562874251497006,9.999000099990002e-05,True
density=low,173,0.23121387283236994,0.15606936416184972,0.3063583815028902,9.999000099990002e-05,True
density=mid,161,0.34782608695652173,0.2546583850931677,0.4409937888198758,9.999000099990002e-05,True
density=high,166,0.3855421686746988,0.3072289156626506,0.463855421686747,9.999000099990002e-05,True
