density,condition,kept,capped,parsed,unparsable,mean_score,mean_abs_error,blind_bar_answer,blind_bar_score
0.1,clustering,400,0,400,0,0.925,0.105,4,0.23
0.1,components,400,0,400,0,0.9375,0.075,4,0.23
0.1,none,400,0,400,0,0.9225,0.09,4,0.23
0.2,clustering,400,0,400,0,0.7975,0.2425,7,0.1625
0.2,components,400,0,400,0,0.7825,0.3025,7,0.1625
0.2,none,400,0,400,0,0.765,0.3175,7,0.1625
0.35,clustering,400,0,400,0,0.4675,0.875,13,0.15
0.35,components,400,0,400,0,0.415,0.9725,13,0.15
0.35,none,400,0,400,0,0.3925,1.0225,13,0.15
0.5,clustering,400,0,400,0,0.3375,1.8125,20,0.1475
0.5,components,400,0,400,0,0.245,1.945,20,0.1475
0.5,none,400,0,400,0,0.295,1.875,20,0.1475
