model,k,approx_tokens,position,magnitude,accuracy,n,dropped
qwen3-8b,10,63,0.1,large,1.0,100,0
qwen3-8b,10,63,0.1,small,1.0,100,0
qwen3-8b,10,63,0.5,large,1.0,100,0
qwen3-8b,10,63,0.5,small,1.0,100,0
qwen3-8b,10,63,0.9,large,1.0,100,0
qwen3-8b,10,63,0.9,small,1.0,100,0
qwen3-8b,40,231,0.1,large,1.0,100,0
qwen3-8b,40,231,0.1,small,1.0,100,0
qwen3-8b,40,231,0.5,large,1.0,100,0
qwen3-8b,40,231,0.5,small,1.0,100,0
qwen3-8b,40,231,0.9,large,1.0,100,0
qwen3-8b,40,231,0.9,small,0.99,100,0
qwen3-8b,160,922,0.1,large,1.0,100,0
qwen3-8b,160,922,0.1,small,1.0,100,0
qwen3-8b,160,922,0.5,large,1.0,100,0
qwen3-8b,160,922,0.5,small,1.0,100,0
qwen3-8b,160,922,0.9,large,1.0,100,0
qwen3-8b,160,922,0.9,small,0.98,100,0
qwen3-8b,320,1862,0.1,large,0.98,100,0
qwen3-8b,320,1862,0.1,small,0.98,100,0
qwen3-8b,320,1862,0.5,large,0.97,100,0
qwen3-8b,320,1862,0.5,small,1.0,100,0
qwen3-8b,320,1862,0.9,large,1.0,100,0
qwen3-8b,320,1862,0.9,small,1.0,100,0
qwen3-8b,640,3742,0.1,large,0.97,100,0
qwen3-8b,640,3742,0.1,small,1.0,100,0
qwen3-8b,640,3742,0.5,large,1.0,100,0
qwen3-8b,640,3742,0.5,small,1.0,100,0
qwen3-8b,640,3742,0.9,large,0.98,100,0
qwen3-8b,640,3742,0.9,small,1.0,100,0
qwen3-8b,1280,7572,0.1,large,0.96,100,0
qwen3-8b,1280,7572,0.1,small,0.99,100,0
qwen3-8b,1280,7572,0.5,large,0.97,100,0
qwen3-8b,1280,7572,0.5,small,0.99,100,0
qwen3-8b,1280,7572,0.9,large,0.87,100,0
qwen3-8b,1280,7572,0.9,small,0.89,100,0
