model,k,approx_tokens,position,magnitude,accuracy,n,dropped
qwen3-1.7b,226,1309,0.1,large,1.0,100,0
qwen3-1.7b,226,1309,0.1,small,0.99,100,0
qwen3-1.7b,226,1309,0.5,large,0.88,100,0
qwen3-1.7b,226,1309,0.5,small,0.83,100,0
qwen3-1.7b,226,1309,0.9,large,0.92,100,0
qwen3-1.7b,226,1309,0.9,small,0.91,100,0
qwen3-1.7b,452,2637,0.1,large,0.66,100,0
qwen3-1.7b,452,2637,0.1,small,0.59,100,0
qwen3-1.7b,452,2637,0.5,large,0.24,100,0
qwen3-1.7b,452,2637,0.5,small,0.28,100,0
qwen3-1.7b,452,2637,0.9,large,0.93,100,0
qwen3-1.7b,452,2637,0.9,small,0.69,100,0
qwen3-1.7b,905,5299,0.1,large,0.31,100,0
qwen3-1.7b,905,5299,0.1,small,0.2,100,0
qwen3-1.7b,905,5299,0.5,large,0.6,100,0
qwen3-1.7b,905,5299,0.5,small,0.29,100,0
qwen3-1.7b,905,5299,0.9,large,0.54,100,0
qwen3-1.7b,905,5299,0.9,small,0.65,100,0
