arm,task,cond,n_pairs,n_all,d_drop,p_drop,d_zero,p_zero,q_drop,q_zero,sig_drop,sig_zero,bh_flip,delta_shift
qwen3-1.7b,node_count,components,400,400,21.249999999999996,2.6418869265765717e-13,21.249999999999996,2.6418869265765717e-13,3.9628303898648576e-13,3.9628303898648576e-13,True,True,False,0.0
qwen3-1.7b,node_count,clustering,400,400,67.25000000000001,2.1084395886461046e-81,67.25000000000001,2.1084395886461046e-81,1.2650637531876628e-80,1.2650637531876628e-80,True,True,False,0.0
qwen3-1.7b,node_count,rwse,400,400,2.0000000000000018,0.5870535639169906,2.0000000000000018,0.5870535639169906,0.5870535639169906,0.5870535639169906,False,False,False,0.0
qwen3-1.7b,node_count,degree,400,400,6.75,0.0005843646280443461,6.75,0.0005843646280443461,0.0007012375536532154,0.0007012375536532154,True,True,False,0.0
qwen3-1.7b,node_count,filler,400,400,39.75,2.2865181363073523e-45,39.75,2.2865181363073523e-45,4.5730362726147045e-45,4.5730362726147045e-45,True,True,False,0.0
qwen3-1.7b,node_count,all,400,400,47.0,1.2314364929436383e-50,47.0,1.2314364929436383e-50,3.694309478830915e-50,3.694309478830915e-50,True,True,False,0.0
qwen3-1.7b,cycle_check,components,343,400,-0.5830903790087438,0.5,2.0000000000000018,0.3317497633694906,0.75,0.3980997160433887,False,False,False,2.5830903790087456
qwen3-1.7b,cycle_check,clustering,362,400,0.2762430939226568,1.0,8.500000000000007,5.398760549724102e-09,1.0,1.6196281649172306e-08,False,True,True,8.22375690607735
qwen3-1.7b,cycle_check,rwse,358,400,-7.5418994413407825,1.1175870895385742e-07,-0.24999999999999467,1.0,3.3527612686157227e-07,1.0,True,False,True,7.291899441340788
qwen3-1.7b,cycle_check,degree,301,400,-12.624584717607979,7.275957614183426e-12,-17.499999999999993,5.421168026537843e-10,4.3655745685100555e-11,3.2527008159227057e-09,True,True,False,4.875415282392014
qwen3-1.7b,cycle_check,filler,341,400,0.2932551319648091,1.0,3.0000000000000027,0.14800580076020597,1.0,0.22200870114030896,False,False,False,2.7067448680351935
qwen3-1.7b,cycle_check,all,362,400,-1.104972375690605,0.21875,7.000000000000006,1.5097200957825407e-05,0.4375,3.0194401915650815e-05,False,True,True,8.104972375690611
qwen3-1.7b,edge_existence,components,400,400,-8.249999999999991,8.699371704778969e-06,-8.249999999999991,8.699371704778969e-06,1.7398743409557937e-05,1.7398743409557937e-05,True,True,False,0.0
qwen3-1.7b,edge_existence,clustering,400,400,3.750000000000009,0.11927366831176445,3.750000000000009,0.11927366831176445,0.11927366831176445,0.11927366831176445,False,False,False,0.0
qwen3-1.7b,edge_existence,rwse,399,400,5.263157894736836,0.0334167216020976,5.000000000000004,0.04459752462791594,0.05012508240314639,0.06689628694187391,False,False,False,0.2631578947368318
qwen3-1.7b,edge_existence,degree,400,400,4.0000000000000036,0.09703091129729906,4.0000000000000036,0.09703091129729906,0.11643709355675887,0.11643709355675887,False,False,False,0.0
qwen3-1.7b,edge_existence,filler,400,400,-15.749999999999996,5.800664942039543e-13,-15.749999999999996,5.800664942039543e-13,3.480398965223726e-12,3.480398965223726e-12,True,True,False,0.0
qwen3-1.7b,edge_existence,all,400,400,11.5,7.366510614966004e-06,11.5,7.366510614966004e-06,1.7398743409557937e-05,1.7398743409557937e-05,True,True,False,0.0
qwen3-1.7b,node_degree,components,400,400,1.750000000000007,0.4570207854105899,1.750000000000007,0.4570207854105899,0.5484249424927079,0.5484249424927079,False,False,False,0.0
qwen3-1.7b,node_degree,clustering,400,400,3.0000000000000027,0.25644234893296924,3.0000000000000027,0.25644234893296924,0.38466352339945387,0.38466352339945387,False,False,False,0.0
qwen3-1.7b,node_degree,rwse,399,400,4.010025062656641,0.11334435404342065,4.0000000000000036,0.11334435404342065,0.2266887080868413,0.2266887080868413,False,False,False,0.010025062656637829
qwen3-1.7b,node_degree,degree,400,400,7.500000000000007,0.001404494631113956,7.500000000000007,0.001404494631113956,0.004213483893341868,0.004213483893341868,True,True,False,0.0
qwen3-1.7b,node_degree,filler,400,400,-0.5000000000000004,0.9021585000966993,-0.5000000000000004,0.9021585000966993,0.9021585000966993,0.9021585000966993,False,False,False,0.0
qwen3-1.7b,node_degree,all,400,400,10.250000000000004,0.00014401960112955247,10.250000000000004,0.00014401960112955247,0.0008641176067773148,0.0008641176067773148,True,True,False,0.0
qwen3-1.7b,connected_nodes,components,400,400,0.7500000000000062,0.7877061896700435,0.7500000000000062,0.7877061896700435,0.7877061896700436,0.7877061896700436,False,False,False,0.0
qwen3-1.7b,connected_nodes,clustering,400,400,1.2500000000000067,0.6487911623106449,1.2500000000000067,0.6487911623106449,0.7877061896700436,0.7877061896700436,False,False,False,0.0
qwen3-1.7b,connected_nodes,rwse,400,400,1.0000000000000009,0.7343420330298468,1.0000000000000009,0.7343420330298468,0.7877061896700436,0.7877061896700436,False,False,False,0.0
qwen3-1.7b,connected_nodes,degree,400,400,3.500000000000003,0.11960933562988493,3.500000000000003,0.11960933562988493,0.35882800688965477,0.35882800688965477,False,False,False,0.0
