arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b,node_count,0.1,none,100,100,0.0,399.0,402.0,0.0,0.0,0.0,0.0,0.02,1.0
qwen3-1.7b,node_count,0.1,filler,100,100,0.0,288.5,395.0,0.0,0.0,0.0,0.17,0.16,1.0
qwen3-1.7b,node_count,0.1,degree,100,100,0.0,401.0,401.0,0.0,0.0,0.0,0.0,0.03,1.0
qwen3-1.7b,node_count,0.1,clustering,100,100,0.0,197.0,392.0,0.0,0.0,0.0,0.0,0.95,1.0
qwen3-1.7b,node_count,0.1,rwse,100,100,0.0,390.0,394.0,0.0,0.0,0.0,0.0,0.32,1.0
qwen3-1.7b,node_count,0.1,components,100,100,0.0,400.0,400.0,0.0,0.0,0.0,0.0,0.19,1.0
qwen3-1.7b,node_count,0.1,all,100,100,0.0,196.0,448.70000000000005,0.0,0.0,0.0,0.0,0.7,1.0
qwen3-1.7b,node_count,0.2,none,100,100,0.0,396.0,401.0,0.0,0.0,0.0,0.0,0.0,1.0
qwen3-1.7b,node_count,0.2,filler,100,100,0.0,207.0,209.0,0.0,0.0,0.0,0.01,0.7,1.0
qwen3-1.7b,node_count,0.2,degree,100,100,0.0,397.0,399.1,0.0,0.0,0.0,0.0,0.05,1.0
qwen3-1.7b,node_count,0.2,clustering,100,100,0.0,199.5,202.0,0.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,node_count,0.2,rwse,100,100,0.0,201.0,205.0,0.0,0.0,0.0,0.0,0.17,1.0
qwen3-1.7b,node_count,0.2,components,100,100,0.0,202.0,205.0,0.0,0.0,0.0,0.0,0.41,1.0
qwen3-1.7b,node_count,0.2,all,100,100,0.0,196.0,201.0,0.0,0.0,0.0,0.0,0.52,1.0
qwen3-1.7b,node_count,0.35,none,100,100,0.0,222.0,396.0,0.0,0.0,0.0,0.0,0.28,1.0
qwen3-1.7b,node_count,0.35,filler,100,100,0.0,78.0,203.0,0.0,0.0,0.0,0.0,0.99,1.0
qwen3-1.7b,node_count,0.35,degree,100,100,0.0,227.0,402.0,0.0,0.0,0.0,0.02,0.45,1.0
qwen3-1.7b,node_count,0.35,clustering,100,100,0.0,197.5,202.0,0.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,node_count,0.35,rwse,100,100,0.0,201.0,392.0,0.0,0.0,0.0,0.0,0.55,1.0
qwen3-1.7b,node_count,0.35,components,100,100,0.0,199.0,217.0,0.0,0.0,0.0,0.0,0.7,1.0
qwen3-1.7b,node_count,0.35,all,100,100,0.0,83.0,198.0,0.0,0.0,0.0,0.02,0.94,1.0
qwen3-1.7b,node_count,0.5,none,100,100,0.0,77.0,82.0,0.0,0.0,0.0,0.0,0.96,1.0
qwen3-1.7b,node_count,0.5,filler,100,100,0.0,78.0,78.0,0.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,node_count,0.5,degree,100,100,0.0,77.0,78.0,0.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,node_count,0.5,clustering,100,100,0.0,84.0,94.70000000000014,4.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,node_count,0.5,rwse,100,100,0.0,201.0,207.0,0.0,0.0,0.0,0.0,0.3,1.0
qwen3-1.7b,node_count,0.5,components,100,100,0.0,77.0,220.0,0.0,0.0,0.0,0.0,0.81,1.0
qwen3-1.7b,node_count,0.5,all,100,100,0.0,86.0,244.40000000000003,4.0,0.0,0.0,0.0,0.98,1.0
qwen3-1.7b,cycle_check,0.1,none,100,83,0.17,461.0,1268.6,2.0,0.0,0.03,0.16,0.83,0.86
qwen3-1.7b,cycle_check,0.1,filler,100,95,0.05,943.0,1364.2,39.0,0.0,0.03,0.54,0.95,0.96
qwen3-1.7b,cycle_check,0.1,degree,100,89,0.11,1057.0,1768.4,6.0,0.42,0.0,0.36,0.88,0.92
qwen3-1.7b,cycle_check,0.1,clustering,100,98,0.02,542.5,1355.3,12.5,0.0,0.0,0.47,0.98,0.98
qwen3-1.7b,cycle_check,0.1,rwse,100,93,0.07,381.0,1616.6,9.0,0.0,0.0,0.35,0.93,0.98
qwen3-1.7b,cycle_check,0.1,components,100,90,0.1,655.5,1526.6000000000004,6.5,0.0,0.06,0.35,0.91,0.95
qwen3-1.7b,cycle_check,0.1,all,100,97,0.03,689.0,1940.000000000001,21.0,0.0,0.0,0.51,0.95,0.98
qwen3-1.7b,cycle_check,0.2,none,100,91,0.09,364.0,802.0,2.0,0.0,0.05,0.1,0.92,0.94
qwen3-1.7b,cycle_check,0.2,filler,100,90,0.1,410.5,1545.6000000000015,2.0,0.0,0.09,0.18,0.9,0.91
