arm,task,density,n,acc,constant_gold,hit_cap_rate,mean_edges,encoding_chars,gold_magnitude,mean_signed_error,mean_abs_error,rho_n_edges,p_n_edges,rho_target_degree,p_target_degree,rho_pair_common_neighbors,p_pair_common_neighbors
qwen3-1.7b,node_count,0.1,100,0.02,1,0.0,78.64,1957.69,40.0,-0.98,0.98,0.0619304664560171,0.5404673273849221,,,,
qwen3-1.7b,node_count,0.2,100,0.0,1,0.0,155.12,2553.55,40.0,-1.0,1.0,,,,,,
qwen3-1.7b,node_count,0.35,100,0.28,1,0.0,272.98,3438.21,40.0,-0.72,0.72,0.3844226010591178,7.855999835613697e-05,,,,
qwen3-1.7b,node_count,0.5,100,0.96,1,0.0,389.4,4312.33,40.0,-0.04,0.04,0.0981519055787772,0.3312857793712042,,,,
qwen3-1.7b,cycle_check,0.1,100,0.83,1,0.17,78.64,1957.69,,,,0.07478489532286624,0.45961373061804534,,,,
qwen3-1.7b,cycle_check,0.2,100,0.92,1,0.09,155.12,2553.55,,,,-0.06579484249305645,0.5154457287001155,,,,
qwen3-1.7b,cycle_check,0.35,100,0.94,1,0.09,272.98,3438.21,,,,-0.060566625685554376,0.5494386790664043,,,,
qwen3-1.7b,cycle_check,0.5,100,1.0,1,0.01,389.4,4312.33,,,,,,,,,
qwen3-1.7b,edge_existence,0.1,100,0.89,0,0.0,78.64,1957.69,,,,-0.03934860908115191,0.6975057858986723,-0.15800627980673385,0.11639704739010318,-0.5221988943833528,2.5158349547260752e-08
qwen3-1.7b,edge_existence,0.2,100,0.73,0,0.0,155.12,2553.55,,,,-0.013662125369002628,0.8926831382176926,-0.20695458720761994,0.038833249792372466,-0.30373828064081176,0.0021254425548806297
qwen3-1.7b,edge_existence,0.35,100,0.66,0,0.0,272.98,3438.21,,,,0.2520592466797575,0.011409782652737321,0.011054772336799029,0.9130746451346294,-0.19837913634010054,0.047865432898810414
qwen3-1.7b,edge_existence,0.5,100,0.54,0,0.0,389.4,4312.33,,,,0.08691717092411816,0.3898590974170206,-0.07777030050695208,0.4418391730924593,-0.1262485968324854,0.21070537260141065
qwen3-1.7b,edge_existence,0.65,100,0.68,0,0.0,509.71,5212.56,,,,-0.09250795651879992,0.3599743635138703,0.18237696657152963,0.06935445097406445,-0.00373327520656478,0.9705938348351224
qwen3-1.7b,edge_existence,0.75,100,0.77,0,0.0,584.3,5773.75,,,,0.06507757397406189,0.5200448387156211,0.275587597746982,0.005517060390042103,0.020697529788259835,0.8380448476995777
qwen3-1.7b,edge_existence,0.85,100,0.86,0,0.0,662.6,6360.46,,,,-0.06044289212579544,0.5502561618518975,0.09582617065928734,0.3429264850360078,-0.049748438201484314,0.6230485968810392
qwen3-1.7b,node_degree,0.1,100,0.91,0,0.0,78.64,1957.69,3.98,-0.05,0.11,0.1757188812019,0.08033761068947784,-0.13048309158363938,0.19567723140375773,,
qwen3-1.7b,node_degree,0.2,100,0.8,0,0.0,155.12,2553.55,7.82,-0.11,0.27,0.139504884677828,0.16626999229549444,-0.0550228623197293,0.5866320660791178,,
qwen3-1.7b,node_degree,0.35,100,0.41,0,0.0,272.98,3438.21,13.99,-0.32,1.28,-0.2783581846080995,0.005043630410316342,-0.15545194168164211,0.1224963562633339,,
qwen3-1.7b,node_degree,0.5,100,0.3,0,0.0,389.4,4312.33,19.73,0.79,2.11,-0.13423324056611935,0.18302762659692456,-0.1474476706495614,0.14320667113499333,,
qwen3-1.7b,node_degree,0.65,100,0.08,0,0.01,509.71,5212.56,25.54,3.67,4.85,-0.09262714560903604,0.35935308451329134,-0.01220939952353587,0.9040368200713154,,
qwen3-1.7b,node_degree,0.75,100,0.16,0,0.0,584.3,5773.75,29.07,3.58,4.98,0.0042552631573100795,0.9664844894546499,-0.2673523375586997,0.007165667073103996,,
qwen3-1.7b,node_degree,0.85,100,0.05,0,0.0,662.6,6360.46,33.25,3.59,4.13,-0.11849842373985812,0.240303508203312,-0.17344058206890248,0.08440055111527561,,
qwen3-1.7b,connected_nodes,0.1,100,0.92,0,0.0,78.64,1957.69,,,,0.07989755479877851,0.42941398971267764,-0.04717376491361668,0.6411680084089477,,
qwen3-1.7b,connected_nodes,0.2,100,0.91,0,0.0,155.12,2553.55,,,,-0.05631635419811947,0.5778519110460726,0.023804292671635884,0.81414397287531,,
qwen3-1.7b,connected_nodes,0.35,100,0.59,0,0.0,272.98,3438.21,,,,-0.16666255863244442,0.09746194270813685,-0.10044040980800163,0.3200800746137419,,
qwen3-1.7b,connected_nodes,0.5,100,0.48,0,0.0,389.4,4312.33,,,,-0.049596966669076724,0.6241085273367043,-0.1680967760994368,0.09457322508812363,,
qwen3-1.7b,edge_count,0.1,100,0.03,0,0.31,78.64,1957.69,78.64,100.84,143.9,0.036594716642861,0.7177500579295313,,,,
qwen3-1.7b,edge_count,0.2,100,0.02,0,0.09,155.12,2553.55,155.12,53.18,88.44,-0.07550841140503559,0.4552702206829037,,,,
qwen3-1.7b,edge_count,0.35,100,0.0,0,0.5,272.98,3438.21,272.98,261.81,477.37,,,,,,
qwen3-1.7b,edge_count,0.5,100,0.0,0,0.29,389.4,4312.33,389.4,230.9,436.78,,,,,,
qwen3-1.7b-think,node_count,0.1,100,0.99,1,0.02,78.64,1957.69,40.0,-0.37,0.37,0.09933896728508321,0.32544249169659234,,,,
qwen3-1.7b-think,node_count,0.2,100,0.97,1,0.03,155.12,2553.55,40.0,-0.54,0.54,-0.15847896926576835,0.11529456301128395,,,,
qwen3-1.7b-think,node_count,0.35,100,0.84,1,0.17,272.98,3438.21,40.0,83.35,88.17,0.11297779776456471,0.26307129373906846,,,,
qwen3-1.7b-think,node_count,0.5,100,0.89,1,0.09,389.4,4312.33,40.0,-1.61,1.79,0.07420869964320004,0.46308910350689725,,,,
qwen3-1.7b-think,cycle_check,0.1,100,1.0,1,0.01,78.64,1957.69,,,,,,,,,
qwen3-1.7b-think,cycle_check,0.2,100,0.99,1,0.02,155.12,2553.55,,,,0.03483420733281804,0.7307958999116311,,,,
