arm,density,condition,yes,bacc,truncated,tokens
qwen3-1.7b,0.1,all,0.21,0.9388888888888889,0.0,232.0
qwen3-1.7b,0.1,clustering,0.26,0.9111111111111111,0.0,200.0
qwen3-1.7b,0.1,components,0.24,0.9222222222222223,0.0,162.5
qwen3-1.7b,0.1,degree,0.27,0.9055555555555556,0.0,160.5
qwen3-1.7b,0.1,filler,0.26,0.9111111111111111,0.0,150.5
qwen3-1.7b,0.1,none,0.21,0.9388888888888889,0.0,180.5
qwen3-1.7b,0.1,rwse,0.18181818181818182,0.95,0.01,218.0
qwen3-1.7b,0.2,all,0.37,0.8841463414634146,0.0,292.5
qwen3-1.7b,0.2,clustering,0.44,0.8414634146341464,0.0,241.5
qwen3-1.7b,0.2,components,0.56,0.7682926829268293,0.0,191.5
qwen3-1.7b,0.2,degree,0.48,0.8170731707317074,0.0,210.5
qwen3-1.7b,0.2,filler,0.65,0.7134146341463414,0.0,169.0
qwen3-1.7b,0.2,none,0.45,0.8353658536585367,0.0,215.5
qwen3-1.7b,0.2,rwse,0.48,0.7831978319783197,0.0,276.0
qwen3-1.7b,0.35,all,0.53,0.8405797101449275,0.0,363.0
qwen3-1.7b,0.35,clustering,0.59,0.7971014492753623,0.0,275.0
qwen3-1.7b,0.35,components,0.81,0.6376811594202898,0.0,207.0
qwen3-1.7b,0.35,degree,0.64,0.7608695652173914,0.0,271.5
qwen3-1.7b,0.35,filler,0.97,0.5217391304347826,0.0,175.5
qwen3-1.7b,0.35,none,0.65,0.7536231884057971,0.0,237.5
qwen3-1.7b,0.35,rwse,0.53,0.8172043010752688,0.0,305.5
qwen3-1.7b,0.5,all,0.68,0.8076923076923077,0.0,352.5
qwen3-1.7b,0.5,clustering,0.81,0.6826923076923077,0.0,268.5
qwen3-1.7b,0.5,components,0.97,0.5288461538461539,0.0,220.5
qwen3-1.7b,0.5,degree,0.68,0.7876602564102564,0.0,293.5
qwen3-1.7b,0.5,filler,1.0,0.5,0.0,171.0
qwen3-1.7b,0.5,none,0.94,0.5576923076923077,0.0,206.5
qwen3-1.7b,0.5,rwse,0.81,0.6826923076923077,0.0,287.5
qwen3-1.7b,0.65,all,0.9,0.6470588235294118,0.0,372.0
qwen3-1.7b,0.65,clustering,0.99,0.5147058823529411,0.0,259.0
qwen3-1.7b,0.65,components,1.0,0.5,0.0,157.0
qwen3-1.7b,0.65,degree,0.95,0.5735294117647058,0.0,265.0
qwen3-1.7b,0.65,filler,1.0,0.5,0.0,167.0
qwen3-1.7b,0.65,none,0.98,0.5294117647058824,0.0,50.5
qwen3-1.7b,0.65,rwse,0.96,0.5588235294117647,0.0,304.0
qwen3-1.7b,0.75,all,0.88,0.7225877192982456,0.0,376.0
qwen3-1.7b,0.75,clustering,0.9,0.6535087719298246,0.0,319.0
qwen3-1.7b,0.75,components,0.99,0.5208333333333334,0.0,54.0
qwen3-1.7b,0.75,degree,0.875,0.6414473684210527,0.04,358.0
qwen3-1.7b,0.75,filler,1.0,0.5,0.0,65.5
qwen3-1.7b,0.75,none,0.99,0.5208333333333334,0.0,47.5
qwen3-1.7b,0.75,rwse,0.99,0.5208333333333334,0.0,320.0
qwen3-1.7b,0.85,all,0.94,0.6607843137254902,0.0,404.5
qwen3-1.7b,0.85,clustering,0.99,0.5333333333333333,0.0,314.5
qwen3-1.7b,0.85,components,1.0,0.5,0.0,47.0
qwen3-1.7b,0.85,degree,0.95,0.6274509803921569,0.0,349.5
qwen3-1.7b,0.85,filler,1.0,0.5,0.0,41.0
qwen3-1.7b,0.85,none,0.99,0.5333333333333333,0.0,120.0
qwen3-1.7b,0.85,rwse,0.98,0.5666666666666667,0.0,378.0
qwen3-1.7b-think,0.1,all,0.14,0.9777777777777779,0.0,745.5
qwen3-1.7b-think,0.1,clustering,0.12121212121212122,0.9833333333333334,0.01,667.0
qwen3-1.7b-think,0.1,components,0.1111111111111111,0.9888888888888889,0.01,736.0
qwen3-1.7b-think,0.1,degree,0.13131313131313133,0.9777777777777779,0.01,785.0
qwen3-1.7b-think,0.1,filler,0.13,0.9833333333333334,0.0,616.5
qwen3-1.7b-think,0.1,none,0.10101010101010101,0.9944444444444445,0.01,684.0
qwen3-1.7b-think,0.1,rwse,0.1,1.0,0.0,824.5
qwen3-1.7b-think,0.2,all,0.22,0.975609756097561,0.0,940.5
qwen3-1.7b-think,0.2,clustering,0.2,0.9878048780487805,0.0,868.0
