arm,model_size,thinking,task,condition,density_class,index,instance_id,graph_id,exact,f1,abs_error,signed_error,parsed,hit_cap,pred,gold,n_nodes,n_edges,density_real,mean_degree,n_components,largest_cc,n_triangles,mean_clustering,target_id,target_degree,target_clustering,gold_is_yes,pair_common_neighbors,pair_distance,gold_magnitude,primer_chars,encoding_chars,n_new_tokens,resp_chars,n_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes
qwen3-1.7b,1.7b,0,node_count,none,0.1,0,node_count/size40/p0.1/0,p0.1/0,0.0,0.0,1,-1,1,0,39,40,40,72,0.092308,3.6,4,37,11,0.138393,,,,,,,40,0,1840,405,627,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,rwse,0.1,0,connected_nodes/size40/p0.1/0,p0.1/0,1.0,1.0,,,1,0,"15, 39","15, 39",40,72,0.092308,3.6,4,37,11,0.138393,16,2,1.0,,,,,2949,1840,109,338,3,0,0,0
qwen3-1.7b,1.7b,0,edge_count,components,0.1,1,edge_count/size40/p0.1/1,p0.1/1,0.0,0.0,32,32,1,0,120,88,40,88,0.112821,4.4,1,40,13,0.11631,,,,,,,88,37,2049,1465,2874,40,0,0,1
qwen3-1.7b,1.7b,0,edge_existence,filler,0.1,1,edge_existence/size40/p0.1/1,p0.1/1,1.0,1.0,,,1,0,No,No,40,88,0.112821,4.4,1,40,13,0.11631,5,3,0.333333,0,0,3,,1829,2049,248,691,17,0,0,0
qwen3-1.7b,1.7b,0,node_degree,degree,0.1,2,node_degree/size40/p0.1/2,p0.1/2,1.0,1.0,0,0,1,0,3,3,40,52,0.066667,2.6,4,37,4,0.0825,23,3,0,,,,3,869,1681,86,285,4,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,all,0.1,2,cycle_check/size40/p0.1/2,p0.1/2,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,52,0.066667,2.6,4,37,4,0.0825,,,,1,,,,4669,1681,1496,3894,39,0,0,1
qwen3-1.7b,1.7b,0,connected_nodes,clustering,0.1,3,connected_nodes/size40/p0.1/3,p0.1/3,1.0,1.0,,,1,0,"32, 35, 38","32, 35, 38",40,86,0.110256,4.3,2,39,8,0.07627,6,3,0,,,,,1629,2008,80,209,3,0,0,0
qwen3-1.7b,1.7b,0,edge_count,none,0.1,4,edge_count/size40/p0.1/4,p0.1/4,1.0,1.0,0,0,1,0,80,80,40,80,0.102564,4.0,1,40,10,0.074167,,,,,,,80,0,1986,1140,2774,0,1,0,0
qwen3-1.7b,1.7b,0,edge_existence,rwse,0.1,4,edge_existence/size40/p0.1/4,p0.1/4,1.0,1.0,,,1,0,No,No,40,80,0.102564,4.0,1,40,10,0.074167,18,2,0,0,0,3,,2949,1986,248,755,18,0,0,0
qwen3-1.7b,1.7b,0,node_degree,components,0.1,5,node_degree/size40/p0.1/5,p0.1/5,1.0,1.0,0,0,1,0,5,5,40,80,0.102564,4.0,2,39,11,0.084226,2,5,0.3,,,,5,38,1954,76,221,3,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,filler,0.1,5,cycle_check/size40/p0.1/5,p0.1/5,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,80,0.102564,4.0,2,39,11,0.084226,,,,1,,,,1829,1954,1294,2705,40,0,0,1
qwen3-1.7b,1.7b,0,connected_nodes,degree,0.1,6,connected_nodes/size40/p0.1/6,p0.1/6,1.0,1.0,,,1,0,"16, 18","16, 18",40,77,0.098718,3.85,2,39,10,0.07619,31,2,0,,,,,869,1944,82,254,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,all,0.1,7,node_count/size40/p0.1/7,p0.1/7,1.0,1.0,0,0,1,0,40,40,40,79,0.101282,3.95,3,38,10,0.119464,,,,,,,40,4669,1924,196,331,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,clustering,0.1,7,edge_existence/size40/p0.1/7,p0.1/7,1.0,1.0,,,1,0,Yes,Yes,40,79,0.101282,3.95,3,38,10,0.119464,15,3,0,1,0,1,,1629,1924,184,555,12,0,0,0
qwen3-1.7b,1.7b,0,node_degree,none,0.1,8,node_degree/size40/p0.1/8,p0.1/8,1.0,1.0,0,0,1,0,6,6,40,85,0.108974,4.25,1,40,12,0.100516,6,6,0.133333,,,,6,0,2030,81,231,3,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,rwse,0.1,8,cycle_check/size40/p0.1/8,p0.1/8,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,85,0.108974,4.25,1,40,12,0.100516,,,,1,,,,2949,2030,242,726,0,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,components,0.1,9,connected_nodes/size40/p0.1/9,p0.1/9,1.0,1.0,,,1,0,"8, 12, 18, 34","8, 12, 18, 34",40,62,0.079487,3.1,4,37,9,0.129048,4,4,0.166667,,,,,38,1764,119,302,2,0,0,0
qwen3-1.7b,1.7b,0,node_count,filler,0.1,10,node_count/size40/p0.1/10,p0.1/10,1.0,1.0,0,0,1,0,40,40,40,87,0.111538,4.35,1,40,14,0.113631,,,,,,,40,1829,2044,209,397,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,degree,0.1,10,edge_existence/size40/p0.1/10,p0.1/10,0.0,0.0,,,1,0,Yes,No,40,87,0.111538,4.35,1,40,14,0.113631,12,5,0,0,2,2,,869,2044,180,515,14,0,0,0
qwen3-1.7b,1.7b,0,edge_count,all,0.1,11,edge_count/size40/p0.1/11,p0.1/11,0.0,0.0,108,108,1,0,196,88,40,88,0.112821,4.4,1,40,7,0.060893,,,,,,,88,4669,2044,1459,3379,0,0,0,0
qwen3-1.7b,1.7b,0,cycle_check,clustering,0.1,11,cycle_check/size40/p0.1/11,p0.1/11,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,88,0.112821,4.4,1,40,7,0.060893,,,,1,,,,1629,2044,456,1359,3,0,0,0
qwen3-1.7b,1.7b,0,connected_nodes,none,0.1,12,connected_nodes/size40/p0.1/12,p0.1/12,1.0,1.0,,,1,0,14,14,40,75,0.096154,3.75,1,40,12,0.134048,20,1,0,,,,,0,1948,75,249,5,0,0,0
qwen3-1.7b,1.7b,0,node_count,rwse,0.1,13,node_count/size40/p0.1/13,p0.1/13,0.0,0.0,1,-1,1,0,39,40,40,84,0.107692,4.2,1,40,13,0.117143,,,,,,,40,2949,2008,398,580,0,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,components,0.1,13,edge_existence/size40/p0.1/13,p0.1/13,1.0,1.0,,,1,0,No,No,40,84,0.107692,4.2,1,40,13,0.117143,25,4,0,0,1,2,,37,2008,188,538,10,0,0,0
qwen3-1.7b,1.7b,0,edge_count,filler,0.1,14,edge_count/size40/p0.1/14,p0.1/14,0.0,0.0,3,-3,1,0,72,75,40,75,0.096154,3.75,1,40,11,0.112183,,,,,,,75,1829,1950,1385,2929,40,0,0,1
qwen3-1.7b,1.7b,0,cycle_check,degree,0.1,14,cycle_check/size40/p0.1/14,p0.1/14,1.0,1.0,,,1,0,Yes,"Yes, there is a cycle",40,75,0.096154,3.75,1,40,11,0.112183,,,,1,,,,869,1950,999,2760,43,0,0,1
qwen3-1.7b,1.7b,0,node_degree,all,0.1,15,node_degree/size40/p0.1/15,p0.1/15,1.0,1.0,0,0,1,0,5,5,40,85,0.108974,4.25,2,39,15,0.085417,14,5,0.1,,,,5,4669,1999,81,238,3,0,0,0
qwen3-1.7b,1.7b,0,node_count,clustering,0.1,16,node_count/size40/p0.1/16,p0.1/16,1.0,1.0,0,0,1,0,40,40,40,70,0.089744,3.5,1,40,4,0.083214,,,,,,,40,1629,1917,85,295,4,0,0,0
qwen3-1.7b,1.7b,0,edge_existence,none,0.1,16,edge_existence/size40/p0.1/16,p0.1/16,1.0,1.0,,,1,0,Yes,Yes,40,70,0.089744,3.5,1,40,4,0.083214,3,2,0,1,0,1,,0,1917,127,418,10,0,0,0
qwen3-1.7b,1.7b,0,edge_count,rwse,0.1,17,edge_count/size40/p0.1/17,p0.1/17,0.0,0.0,40,40,1,0,116,76,40,76,0.097436,3.8,3,38,6,0.07631,,,,,,,76,2949,1909,1431,3064,38,0,0,1
qwen3-1.7b,1.7b,0,cycle_check,components,0.1,17,cycle_check/size40/p0.1/17,p0.1/17,0.0,0.0,,,0,1,,"Yes, there is a cycle",40,76,0.097436,3.8,3,38,6,0.07631,,,,1,,,,38,1909,8192,11415,38,0,0,1
