arm,task,density,condition,n,base_acc_pts,band,delta_vs_none_pts,delta_vs_filler_pts,sig_vs_none,sig_vs_filler,content_effect
qwen3-1.7b,edge_existence,0.1,degree,100,89.0,80-95,-6.000000000000005,-1.0000000000000009,0,0,0
qwen3-1.7b,edge_existence,0.1,clustering,100,89.0,80-95,-5.000000000000004,0.0,0,0,0
qwen3-1.7b,edge_existence,0.1,rwse,100,89.0,80-95,2.0000000000000018,7.000000000000006,0,0,0
qwen3-1.7b,edge_existence,0.1,components,100,89.0,80-95,-3.0000000000000027,2.0000000000000018,0,0,0
qwen3-1.7b,edge_existence,0.1,all,100,89.0,80-95,0.0,5.000000000000004,0,0,0
qwen3-1.7b,edge_existence,0.2,degree,100,73.0,50-80,-3.0000000000000027,16.999999999999993,0,1,0
qwen3-1.7b,edge_existence,0.2,clustering,100,73.0,50-80,1.0000000000000009,20.999999999999996,0,1,0
qwen3-1.7b,edge_existence,0.2,rwse,100,73.0,50-80,-4.999999999999993,15.000000000000002,0,1,0
qwen3-1.7b,edge_existence,0.2,components,100,73.0,50-80,-10.999999999999998,8.999999999999996,0,0,0
qwen3-1.7b,edge_existence,0.2,all,100,73.0,50-80,8.000000000000007,28.000000000000004,0,1,0
qwen3-1.7b,edge_existence,0.35,degree,100,66.0,50-80,1.0000000000000009,33.0,0,1,0
qwen3-1.7b,edge_existence,0.35,clustering,100,66.0,50-80,5.999999999999995,37.99999999999999,0,1,0
qwen3-1.7b,edge_existence,0.35,rwse,100,66.0,50-80,9.999999999999998,42.0,0,1,0
qwen3-1.7b,edge_existence,0.35,components,100,66.0,50-80,-16.000000000000004,15.999999999999998,1,1,0
qwen3-1.7b,edge_existence,0.35,all,100,66.0,50-80,12.0,44.0,0,1,0
qwen3-1.7b,edge_existence,0.5,degree,100,54.0,50-80,24.0,30.000000000000004,1,1,1
qwen3-1.7b,edge_existence,0.5,clustering,100,54.0,50-80,13.0,19.000000000000007,1,1,1
qwen3-1.7b,edge_existence,0.5,rwse,100,54.0,50-80,13.0,19.000000000000007,1,1,1
qwen3-1.7b,edge_existence,0.5,components,100,54.0,50-80,-3.0000000000000027,3.0000000000000027,0,0,0
qwen3-1.7b,edge_existence,0.5,all,100,54.0,50-80,26.0,32.00000000000001,1,1,1
qwen3-1.7b,edge_existence,0.65,degree,100,68.0,50-80,2.9999999999999916,4.999999999999993,0,0,0
qwen3-1.7b,edge_existence,0.65,clustering,100,68.0,50-80,-1.0000000000000009,1.0000000000000009,0,0,0
qwen3-1.7b,edge_existence,0.65,rwse,100,68.0,50-80,1.9999999999999907,3.9999999999999925,0,0,0
qwen3-1.7b,edge_existence,0.65,components,100,68.0,50-80,-2.0000000000000018,0.0,0,0,0
qwen3-1.7b,edge_existence,0.65,all,100,68.0,50-80,7.9999999999999964,9.999999999999998,1,1,1
qwen3-1.7b,edge_existence,0.75,degree,100,77.0,50-80,1.0000000000000009,2.0000000000000018,0,0,0
qwen3-1.7b,edge_existence,0.75,clustering,100,77.0,50-80,4.999999999999993,5.999999999999995,0,0,0
qwen3-1.7b,edge_existence,0.75,rwse,100,77.0,50-80,0.0,1.0000000000000009,0,0,0
qwen3-1.7b,edge_existence,0.75,components,100,77.0,50-80,0.0,1.0000000000000009,0,0,0
qwen3-1.7b,edge_existence,0.75,all,100,77.0,50-80,8.999999999999996,9.999999999999998,0,1,0
qwen3-1.7b,edge_existence,0.85,degree,100,86.0,80-95,2.0000000000000018,3.0000000000000027,0,0,0
qwen3-1.7b,edge_existence,0.85,clustering,100,86.0,80-95,0.0,1.0000000000000009,0,0,0
qwen3-1.7b,edge_existence,0.85,rwse,100,86.0,80-95,1.0000000000000009,2.0000000000000018,0,0,0
qwen3-1.7b,edge_existence,0.85,components,100,86.0,80-95,-1.0000000000000009,0.0,0,0,0
qwen3-1.7b,edge_existence,0.85,all,100,86.0,80-95,3.0000000000000027,4.0000000000000036,0,0,0
qwen3-1.7b,node_degree,0.1,degree,100,91.0,80-95,2.9999999999999916,-2.0000000000000018,0,0,0
qwen3-1.7b,node_degree,0.1,clustering,100,91.0,80-95,2.0000000000000018,-2.9999999999999916,0,0,0
qwen3-1.7b,node_degree,0.1,rwse,100,91.0,80-95,2.9999999999999916,-2.0000000000000018,0,0,0
qwen3-1.7b,node_degree,0.1,components,100,91.0,80-95,1.0000000000000009,-3.9999999999999925,0,0,0
qwen3-1.7b,node_degree,0.1,all,100,91.0,80-95,5.999999999999995,1.0000000000000009,0,0,0
qwen3-1.7b,node_degree,0.2,degree,100,80.0,50-80,9.999999999999998,17.000000000000004,0,1,0
qwen3-1.7b,node_degree,0.2,clustering,100,80.0,50-80,1.9999999999999907,8.999999999999996,0,0,0
qwen3-1.7b,node_degree,0.2,rwse,100,80.0,50-80,3.9999999999999925,10.999999999999998,0,0,0
qwen3-1.7b,node_degree,0.2,components,100,80.0,50-80,1.9999999999999907,8.999999999999996,0,0,0
qwen3-1.7b,node_degree,0.2,all,100,80.0,50-80,9.999999999999998,17.000000000000004,0,1,0
qwen3-1.7b,node_degree,0.35,degree,100,41.0,20-50,18.0,18.0,0,1,0
qwen3-1.7b,node_degree,0.35,clustering,100,41.0,20-50,6.0,6.0,0,0,0
qwen3-1.7b,node_degree,0.35,rwse,100,41.0,20-50,6.0,6.0,0,0,0
qwen3-1.7b,node_degree,0.35,components,100,41.0,20-50,3.0000000000000027,3.0000000000000027,0,0,0
qwen3-1.7b,node_degree,0.35,all,100,41.0,20-50,17.0,17.0,0,0,0
qwen3-1.7b,node_degree,0.5,degree,100,30.0,20-50,-1.0000000000000009,-1.0000000000000009,0,0,0
qwen3-1.7b,node_degree,0.5,clustering,100,30.0,20-50,2.0000000000000018,2.0000000000000018,0,0,0
qwen3-1.7b,node_degree,0.5,rwse,100,30.0,20-50,3.0000000000000027,3.0000000000000027,0,0,0
qwen3-1.7b,node_degree,0.5,components,100,30.0,20-50,1.0000000000000009,1.0000000000000009,0,0,0
qwen3-1.7b,node_degree,0.5,all,100,30.0,20-50,8.000000000000002,8.000000000000002,0,0,0
qwen3-1.7b,node_degree,0.65,degree,100,8.0,<20,0.0,0.9999999999999996,0,0,0
qwen3-1.7b,node_degree,0.65,clustering,100,8.0,<20,-0.9999999999999996,0.0,0,0,0
qwen3-1.7b,node_degree,0.65,rwse,100,8.0,<20,-0.9999999999999996,0.0,0,0,0
qwen3-1.7b,node_degree,0.65,components,100,8.0,<20,6.000000000000001,7.000000000000001,0,0,0
qwen3-1.7b,node_degree,0.65,all,100,8.0,<20,6.999999999999999,7.999999999999999,0,0,0
qwen3-1.7b,node_degree,0.75,degree,100,16.0,<20,-1.0000000000000009,12.0,0,1,0
qwen3-1.7b,node_degree,0.75,clustering,100,16.0,<20,-5.0,8.0,0,0,0
qwen3-1.7b,node_degree,0.75,rwse,100,16.0,<20,-11.0,2.0000000000000004,0,0,0
qwen3-1.7b,node_degree,0.75,components,100,16.0,<20,-4.000000000000001,9.0,0,0,0
qwen3-1.7b,node_degree,0.75,all,100,16.0,<20,1.0000000000000009,14.000000000000002,0,1,0
qwen3-1.7b,node_degree,0.85,degree,100,5.0,<20,2.0000000000000004,4.000000000000001,0,0,0
qwen3-1.7b,node_degree,0.85,clustering,100,5.0,<20,-4.0,-1.9999999999999998,0,0,0
qwen3-1.7b,node_degree,0.85,rwse,100,5.0,<20,-4.0,-1.9999999999999998,0,0,0
qwen3-1.7b,node_degree,0.85,components,100,5.0,<20,-1.0000000000000002,1.0000000000000002,0,0,0
qwen3-1.7b,node_degree,0.85,all,100,5.0,<20,0.0,2.0000000000000004,0,0,0
qwen3-1.7b,connected_nodes,0.1,degree,100,92.0,80-95,4.999999999999993,4.999999999999993,0,0,0
qwen3-1.7b,connected_nodes,0.1,clustering,100,92.0,80-95,-2.0000000000000018,-2.0000000000000018,0,0,0
qwen3-1.7b,connected_nodes,0.1,rwse,100,92.0,80-95,5.999999999999995,5.999999999999995,0,0,0
qwen3-1.7b,connected_nodes,0.1,components,100,92.0,80-95,0.0,0.0,0,0,0
qwen3-1.7b,connected_nodes,0.1,all,100,92.0,80-95,-2.0000000000000018,-2.0000000000000018,0,0,0
qwen3-1.7b,connected_nodes,0.2,degree,100,91.0,80-95,1.0000000000000009,6.000000000000005,0,0,0
qwen3-1.7b,connected_nodes,0.2,clustering,100,91.0,80-95,-1.0000000000000009,4.0000000000000036,0,0,0
qwen3-1.7b,connected_nodes,0.2,rwse,100,91.0,80-95,-5.000000000000004,0.0,0,0,0
qwen3-1.7b,connected_nodes,0.2,components,100,91.0,80-95,-1.0000000000000009,4.0000000000000036,0,0,0
qwen3-1.7b,connected_nodes,0.2,all,100,91.0,80-95,-7.000000000000006,-2.0000000000000018,0,0,0
qwen3-1.7b,connected_nodes,0.35,degree,100,59.0,50-80,5.000000000000004,15.000000000000002,0,1,0
qwen3-1.7b,connected_nodes,0.35,clustering,100,59.0,50-80,4.0000000000000036,14.000000000000002,0,1,0
qwen3-1.7b,connected_nodes,0.35,rwse,100,59.0,50-80,2.0000000000000018,12.0,0,0,0
qwen3-1.7b,connected_nodes,0.35,components,100,59.0,50-80,5.000000000000004,15.000000000000002,0,1,0
qwen3-1.7b,connected_nodes,0.35,all,100,59.0,50-80,15.000000000000002,25.0,0,1,0
qwen3-1.7b,connected_nodes,0.5,degree,100,48.0,20-50,3.0000000000000027,13.0,0,0,0
qwen3-1.7b,connected_nodes,0.5,clustering,100,48.0,20-50,4.0000000000000036,14.000000000000002,0,1,0
qwen3-1.7b,connected_nodes,0.5,rwse,100,48.0,20-50,1.0000000000000009,10.999999999999998,0,0,0
qwen3-1.7b,connected_nodes,0.5,components,100,48.0,20-50,-1.0000000000000009,8.999999999999996,0,0,0
qwen3-1.7b,connected_nodes,0.5,all,100,48.0,20-50,2.0000000000000018,12.0,0,0,0
qwen3-1.7b,edge_count,0.1,degree,100,3.0,<20,3.0,6.0,0,0,0
qwen3-1.7b,edge_count,0.1,clustering,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.1,rwse,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.1,components,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.1,all,100,3.0,<20,-3.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.2,degree,100,2.0,<20,0.9999999999999999,0.0,0,0,0
qwen3-1.7b,edge_count,0.2,clustering,100,2.0,<20,0.9999999999999999,0.0,0,0,0
qwen3-1.7b,edge_count,0.2,rwse,100,2.0,<20,0.0,-0.9999999999999999,0,0,0
qwen3-1.7b,edge_count,0.2,components,100,2.0,<20,-1.0,-1.9999999999999998,0,0,0
qwen3-1.7b,edge_count,0.2,all,100,2.0,<20,-1.0,-1.9999999999999998,0,0,0
qwen3-1.7b,edge_count,0.35,degree,100,0.0,<20,1.0,1.0,0,0,0
qwen3-1.7b,edge_count,0.35,clustering,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.35,rwse,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.35,components,100,0.0,<20,0.0,0.0,0,0,0
qwen3-1.7b,edge_count,0.35,all,100,0.0,<20,4.0,4.0,0,0,0
qwen3-1.7b,edge_count,0.5,degree,100,0.0,<20,7.000000000000001,7.000000000000001,0,0,0
