arm,n,k,edges,n_rows,acc,median_tokens,hit_cap_rate
gemma4-12b,40,8,160,50,1.0,158.0,0.0
gemma4-12b,40,12,240,50,1.0,203.0,0.0
gemma4-12b,40,16,320,50,1.0,242.0,0.0
gemma4-12b,60,8,240,50,1.0,162.0,0.0
gemma4-12b,60,12,360,50,1.0,212.0,0.0
gemma4-12b,60,16,480,50,1.0,255.0,0.0
gemma4-12b,80,4,160,50,0.96,192.0,0.06
gemma4-12b,80,8,320,50,1.0,171.5,0.0
gemma4-12b,80,12,480,50,1.0,214.0,0.0
gemma4-12b,80,16,640,50,1.0,259.5,0.0
gemma4-12b,120,4,240,50,0.98,282.0,0.02
gemma4-12b,120,8,480,50,1.0,184.0,0.0
gemma4-12b,120,12,720,50,1.0,207.5,0.0
gemma4-12b,120,16,960,50,1.0,251.5,0.0
gemma4-12b,160,8,640,50,1.0,199.5,0.0
gemma4-12b,160,12,960,50,1.0,225.0,0.0
gemma4-12b,200,12,1200,50,1.0,220.0,0.0
gemma4-12b,300,8,1200,50,1.0,182.5,0.0
gemma4-e4b,40,8,160,50,1.0,177.5,0.0
gemma4-e4b,40,12,240,50,1.0,218.0,0.0
gemma4-e4b,40,16,320,50,0.98,262.0,0.0
gemma4-e4b,60,8,240,50,1.0,156.0,0.0
gemma4-e4b,60,12,360,50,1.0,194.5,0.0
gemma4-e4b,60,16,480,50,1.0,272.5,0.0
gemma4-e4b,80,4,160,50,0.98,143.0,0.0
gemma4-e4b,80,8,320,50,1.0,169.0,0.0
gemma4-e4b,80,12,480,50,1.0,191.0,0.0
gemma4-e4b,80,16,640,50,1.0,269.5,0.0
gemma4-e4b,120,4,240,50,1.0,130.0,0.0
gemma4-e4b,120,8,480,50,1.0,162.5,0.0
gemma4-e4b,120,12,720,50,0.98,187.0,0.0
gemma4-e4b,120,16,960,50,1.0,221.0,0.0
gemma4-e4b,160,8,640,50,1.0,167.5,0.0
gemma4-e4b,160,12,960,50,1.0,199.0,0.0
gemma4-e4b,200,12,1200,50,1.0,195.5,0.0
gemma4-e4b,300,8,1200,50,1.0,166.5,0.0
gemma4-e4b-think,40,8,160,50,1.0,257.5,0.0
gemma4-e4b-think,40,12,240,50,1.0,327.0,0.0
gemma4-e4b-think,40,16,320,50,1.0,468.0,0.0
gemma4-e4b-think,60,8,240,50,1.0,268.0,0.0
gemma4-e4b-think,60,12,360,50,1.0,341.0,0.0
gemma4-e4b-think,60,16,480,50,1.0,440.0,0.0
gemma4-e4b-think,80,4,160,50,1.0,218.0,0.0
gemma4-e4b-think,80,8,320,50,1.0,281.0,0.0
gemma4-e4b-think,80,12,480,50,1.0,341.5,0.0
gemma4-e4b-think,80,16,640,50,1.0,414.0,0.0
gemma4-e4b-think,120,4,240,50,1.0,216.5,0.0
gemma4-e4b-think,120,8,480,50,1.0,272.5,0.0
gemma4-e4b-think,120,12,720,50,1.0,331.5,0.0
gemma4-e4b-think,120,16,960,50,1.0,391.0,0.0
gemma4-e4b-think,160,8,640,50,1.0,268.0,0.0
gemma4-e4b-think,160,12,960,50,1.0,342.0,0.0
gemma4-e4b-think,200,12,1200,50,1.0,297.0,0.0
