model_size,task,density,condition,delta_nonthink,delta_think,interaction,acc_none_nonthink,cap_nonthink,cap_think
1.7b,node_count,0.1,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_count,0.1,degree,-0.13,-0.010000000000000009,0.12,,0.0,0.01
1.7b,node_count,0.1,clustering,0.7899999999999999,0.0,-0.7899999999999999,,0.0,0.0
1.7b,node_count,0.1,rwse,0.16,0.0,-0.16,,0.0,0.0
1.7b,node_count,0.1,components,0.03,-0.020000000000000018,-0.05000000000000002,,0.0,0.04
1.7b,node_count,0.1,all,0.5399999999999999,0.0,-0.5399999999999999,,0.0,0.0
1.7b,node_count,0.2,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_count,0.2,degree,-0.6499999999999999,-0.010000000000000009,0.6399999999999999,,0.0,0.01
1.7b,node_count,0.2,clustering,0.30000000000000004,0.0,-0.30000000000000004,,0.0,0.0
1.7b,node_count,0.2,rwse,-0.5299999999999999,0.0,0.5299999999999999,,0.0,0.0
1.7b,node_count,0.2,components,-0.29,-0.030000000000000027,0.25999999999999995,,0.0,0.06
1.7b,node_count,0.2,all,-0.17999999999999994,0.0,0.17999999999999994,,0.0,0.0
1.7b,node_count,0.35,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_count,0.35,degree,-0.54,-0.030000000000000027,0.51,,0.0,0.05
1.7b,node_count,0.35,clustering,0.010000000000000009,0.0,-0.010000000000000009,,0.0,0.0
1.7b,node_count,0.35,rwse,-0.43999999999999995,0.0,0.43999999999999995,,0.0,0.0
1.7b,node_count,0.35,components,-0.29000000000000004,-0.050000000000000044,0.24,,0.0,0.05
1.7b,node_count,0.35,all,-0.050000000000000044,0.0,0.050000000000000044,,0.0,0.0
1.7b,node_count,0.5,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_count,0.5,degree,0.0,-0.010000000000000009,-0.010000000000000009,,0.0,0.04
1.7b,node_count,0.5,clustering,0.0,0.0,0.0,,0.0,0.0
1.7b,node_count,0.5,rwse,-0.7,0.0,0.7,,0.0,0.0
1.7b,node_count,0.5,components,-0.18999999999999995,-0.07999999999999996,0.10999999999999999,,0.0,0.14
1.7b,node_count,0.5,all,-0.020000000000000018,0.0,0.020000000000000018,,0.0,0.0
1.7b,cycle_check,0.1,filler,0.0,0.0,0.0,,0.05,0.0
1.7b,cycle_check,0.1,degree,-0.06999999999999995,-0.050000000000000044,0.019999999999999907,,0.11,0.12
1.7b,cycle_check,0.1,clustering,0.030000000000000027,-0.010000000000000009,-0.040000000000000036,,0.02,0.01
1.7b,cycle_check,0.1,rwse,-0.019999999999999907,0.0,0.019999999999999907,,0.07,0.0
1.7b,cycle_check,0.1,components,-0.039999999999999925,-0.030000000000000027,0.009999999999999898,,0.1,0.14
1.7b,cycle_check,0.1,all,0.0,-0.020000000000000018,-0.020000000000000018,,0.03,0.05
1.7b,cycle_check,0.2,filler,0.0,0.0,0.0,,0.1,0.0
1.7b,cycle_check,0.2,degree,-0.12,-0.18999999999999995,-0.06999999999999995,,0.09,0.27
1.7b,cycle_check,0.2,clustering,0.08999999999999997,0.0,-0.08999999999999997,,0.01,0.0
1.7b,cycle_check,0.2,rwse,0.039999999999999925,0.0,-0.039999999999999925,,0.0,0.01
1.7b,cycle_check,0.2,components,0.020000000000000018,0.0,-0.020000000000000018,,0.09,0.04
1.7b,cycle_check,0.2,all,0.09999999999999998,-0.010000000000000009,-0.10999999999999999,,0.0,0.04
1.7b,cycle_check,0.35,filler,0.0,0.0,0.0,,0.09,0.0
1.7b,cycle_check,0.35,degree,-0.29000000000000004,-0.20999999999999996,0.08000000000000007,,0.26,0.34
1.7b,cycle_check,0.35,clustering,0.07999999999999996,-0.020000000000000018,-0.09999999999999998,,0.0,0.07
1.7b,cycle_check,0.35,rwse,-0.050000000000000044,0.0,0.050000000000000044,,0.0,0.0
1.7b,cycle_check,0.35,components,0.0,-0.040000000000000036,-0.040000000000000036,,0.07,0.13
1.7b,cycle_check,0.35,all,0.05999999999999994,-0.020000000000000018,-0.07999999999999996,,0.01,0.02
1.7b,cycle_check,0.5,filler,0.0,0.0,0.0,,0.01,0.0
1.7b,cycle_check,0.5,degree,-0.35,-0.12,0.22999999999999998,,0.23,0.24
1.7b,cycle_check,0.5,clustering,0.010000000000000009,-0.020000000000000018,-0.030000000000000027,,0.0,0.06
1.7b,cycle_check,0.5,rwse,-0.05999999999999994,-0.010000000000000009,0.04999999999999993,,0.0,0.02
1.7b,cycle_check,0.5,components,0.010000000000000009,-0.030000000000000027,-0.040000000000000036,,0.0,0.11
1.7b,cycle_check,0.5,all,0.0,-0.020000000000000018,-0.020000000000000018,,0.0,0.04
1.7b,edge_existence,0.1,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.1,degree,-0.010000000000000009,0.0,0.010000000000000009,,0.0,0.01
1.7b,edge_existence,0.1,clustering,0.0,0.010000000000000009,0.010000000000000009,,0.0,0.01
1.7b,edge_existence,0.1,rwse,0.07000000000000006,0.030000000000000027,-0.040000000000000036,,0.01,0.0
1.7b,edge_existence,0.1,components,0.020000000000000018,0.020000000000000018,0.0,,0.0,0.01
1.7b,edge_existence,0.1,all,0.050000000000000044,-0.010000000000000009,-0.06000000000000005,,0.0,0.0
1.7b,edge_existence,0.2,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.2,degree,0.16999999999999993,-0.030000000000000027,-0.19999999999999996,,0.0,0.0
1.7b,edge_existence,0.2,clustering,0.20999999999999996,0.0,-0.20999999999999996,,0.0,0.0
1.7b,edge_existence,0.2,rwse,0.15000000000000002,-0.030000000000000027,-0.18000000000000005,,0.0,0.0
1.7b,edge_existence,0.2,components,0.08999999999999997,-0.010000000000000009,-0.09999999999999998,,0.0,0.0
1.7b,edge_existence,0.2,all,0.28,-0.020000000000000018,-0.30000000000000004,,0.0,0.0
1.7b,edge_existence,0.35,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.35,degree,0.33,-0.030000000000000027,-0.36000000000000004,,0.0,0.0
1.7b,edge_existence,0.35,clustering,0.37999999999999995,-0.010000000000000009,-0.38999999999999996,,0.0,0.0
1.7b,edge_existence,0.35,rwse,0.42,-0.030000000000000027,-0.45,,0.0,0.0
1.7b,edge_existence,0.35,components,0.15999999999999998,-0.020000000000000018,-0.18,,0.0,0.0
1.7b,edge_existence,0.35,all,0.44,-0.030000000000000027,-0.47000000000000003,,0.0,0.0
1.7b,edge_existence,0.5,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.5,degree,0.30000000000000004,0.0,-0.30000000000000004,,0.0,0.01
1.7b,edge_existence,0.5,clustering,0.19000000000000006,-0.010000000000000009,-0.20000000000000007,,0.0,0.0
1.7b,edge_existence,0.5,rwse,0.19000000000000006,0.010000000000000009,-0.18000000000000005,,0.0,0.01
1.7b,edge_existence,0.5,components,0.030000000000000027,0.010000000000000009,-0.020000000000000018,,0.0,0.0
1.7b,edge_existence,0.5,all,0.32000000000000006,0.010000000000000009,-0.31000000000000005,,0.0,0.0
1.7b,edge_existence,0.65,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.65,degree,0.04999999999999993,0.010000000000000009,-0.039999999999999925,,0.0,0.0
1.7b,edge_existence,0.65,clustering,0.010000000000000009,0.0,-0.010000000000000009,,0.0,0.0
1.7b,edge_existence,0.65,rwse,0.039999999999999925,0.010000000000000009,-0.029999999999999916,,0.0,0.0
1.7b,edge_existence,0.65,components,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.65,all,0.09999999999999998,-0.020000000000000018,-0.12,,0.0,0.0
1.7b,edge_existence,0.75,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.75,degree,0.020000000000000018,-0.010000000000000009,-0.030000000000000027,,0.04,0.0
1.7b,edge_existence,0.75,clustering,0.05999999999999994,0.010000000000000009,-0.04999999999999993,,0.0,0.0
1.7b,edge_existence,0.75,rwse,0.010000000000000009,0.0,-0.010000000000000009,,0.0,0.0
1.7b,edge_existence,0.75,components,0.010000000000000009,-0.010000000000000009,-0.020000000000000018,,0.0,0.0
1.7b,edge_existence,0.75,all,0.09999999999999998,0.0,-0.09999999999999998,,0.0,0.0
1.7b,edge_existence,0.85,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,edge_existence,0.85,degree,0.030000000000000027,0.0,-0.030000000000000027,,0.0,0.0
1.7b,edge_existence,0.85,clustering,0.010000000000000009,0.0,-0.010000000000000009,,0.0,0.0
1.7b,edge_existence,0.85,rwse,0.020000000000000018,0.020000000000000018,0.0,,0.0,0.0
1.7b,edge_existence,0.85,components,0.0,0.030000000000000027,0.030000000000000027,,0.0,0.0
1.7b,edge_existence,0.85,all,0.040000000000000036,0.020000000000000018,-0.020000000000000018,,0.0,0.0
1.7b,node_degree,0.1,filler,0.0,0.0,0.0,,0.0,0.01
1.7b,node_degree,0.1,degree,-0.020000000000000018,0.010000000000000009,0.030000000000000027,,0.0,0.0
1.7b,node_degree,0.1,clustering,-0.029999999999999916,-0.030000000000000027,-1.1102230246251565e-16,,0.0,0.01
1.7b,node_degree,0.1,rwse,-0.020000000000000018,-0.010000000000000009,0.010000000000000009,,0.0,0.0
1.7b,node_degree,0.1,components,-0.039999999999999925,-0.04999999999999993,-0.010000000000000009,,0.0,0.02
1.7b,node_degree,0.1,all,0.010000000000000009,0.010000000000000009,0.0,,0.0,0.0
1.7b,node_degree,0.2,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_degree,0.2,degree,0.17000000000000004,0.08999999999999997,-0.08000000000000007,,0.0,0.02
1.7b,node_degree,0.2,clustering,0.08999999999999997,0.12,0.030000000000000027,,0.0,0.0
1.7b,node_degree,0.2,rwse,0.10999999999999999,0.06000000000000005,-0.04999999999999993,,0.0,0.02
1.7b,node_degree,0.2,components,0.08999999999999997,0.040000000000000036,-0.04999999999999993,,0.0,0.0
1.7b,node_degree,0.2,all,0.17000000000000004,0.12,-0.050000000000000044,,0.0,0.01
1.7b,node_degree,0.35,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_degree,0.35,degree,0.18,0.2699999999999999,0.08999999999999991,,0.0,0.08
1.7b,node_degree,0.35,clustering,0.06,0.04999999999999993,-0.010000000000000064,,0.0,0.0
1.7b,node_degree,0.35,rwse,0.06,0.08999999999999997,0.02999999999999997,,0.01,0.0
1.7b,node_degree,0.35,components,0.030000000000000027,0.05999999999999994,0.029999999999999916,,0.0,0.0
1.7b,node_degree,0.35,all,0.16999999999999998,0.2599999999999999,0.08999999999999991,,0.0,0.0
1.7b,node_degree,0.5,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_degree,0.5,degree,-0.010000000000000009,0.24,0.25,,0.0,0.11
1.7b,node_degree,0.5,clustering,0.020000000000000018,0.039999999999999925,0.019999999999999907,,0.0,0.0
1.7b,node_degree,0.5,rwse,0.030000000000000027,0.08999999999999997,0.05999999999999994,,0.0,0.01
1.7b,node_degree,0.5,components,0.010000000000000009,0.029999999999999916,0.019999999999999907,,0.0,0.0
1.7b,node_degree,0.5,all,0.08000000000000002,0.22999999999999998,0.14999999999999997,,0.0,0.0
1.7b,node_degree,0.65,filler,0.0,0.0,0.0,,0.0,0.01
1.7b,node_degree,0.65,degree,0.009999999999999995,0.38,0.37,,0.0,0.14
1.7b,node_degree,0.65,clustering,0.0,0.040000000000000036,0.040000000000000036,,0.0,0.0
1.7b,node_degree,0.65,rwse,0.0,0.08000000000000002,0.08000000000000002,,0.0,0.0
1.7b,node_degree,0.65,components,0.07,0.11000000000000004,0.040000000000000036,,0.0,0.01
1.7b,node_degree,0.65,all,0.07999999999999999,0.47,0.39,,0.0,0.0
1.7b,node_degree,0.75,filler,0.0,0.0,0.0,,0.0,0.01
1.7b,node_degree,0.75,degree,0.12,0.37,0.25,,0.0,0.12
1.7b,node_degree,0.75,clustering,0.08,0.020000000000000018,-0.059999999999999984,,0.0,0.01
1.7b,node_degree,0.75,rwse,0.020000000000000004,0.030000000000000027,0.010000000000000023,,0.0,0.0
1.7b,node_degree,0.75,components,0.09,0.020000000000000018,-0.06999999999999998,,0.0,0.02
1.7b,node_degree,0.75,all,0.14,0.31000000000000005,0.17000000000000004,,0.0,0.04
1.7b,node_degree,0.85,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,node_degree,0.85,degree,0.04000000000000001,0.53,0.49,,0.0,0.06
1.7b,node_degree,0.85,clustering,-0.019999999999999997,0.02999999999999997,0.04999999999999997,,0.0,0.0
1.7b,node_degree,0.85,rwse,-0.019999999999999997,0.12,0.13999999999999999,,0.0,0.01
1.7b,node_degree,0.85,components,0.010000000000000002,0.19,0.18,,0.0,0.03
1.7b,node_degree,0.85,all,0.020000000000000004,0.25999999999999995,0.23999999999999994,,0.0,0.01
1.7b,connected_nodes,0.1,filler,0.0,0.0,0.0,,0.0,0.01
1.7b,connected_nodes,0.1,degree,0.04999999999999993,-0.029999999999999916,-0.07999999999999985,,0.0,0.02
1.7b,connected_nodes,0.1,clustering,-0.020000000000000018,0.0,0.020000000000000018,,0.0,0.01
1.7b,connected_nodes,0.1,rwse,0.05999999999999994,0.030000000000000027,-0.029999999999999916,,0.0,0.0
1.7b,connected_nodes,0.1,components,0.0,-0.010000000000000009,-0.010000000000000009,,0.0,0.03
1.7b,connected_nodes,0.1,all,-0.020000000000000018,0.050000000000000044,0.07000000000000006,,0.01,0.0
1.7b,connected_nodes,0.2,filler,0.0,0.0,0.0,,0.0,0.01
1.7b,connected_nodes,0.2,degree,0.06000000000000005,-0.04999999999999993,-0.10999999999999999,,0.0,0.03
1.7b,connected_nodes,0.2,clustering,0.040000000000000036,-0.010000000000000009,-0.050000000000000044,,0.0,0.0
1.7b,connected_nodes,0.2,rwse,0.0,-0.08999999999999997,-0.08999999999999997,,0.0,0.0
1.7b,connected_nodes,0.2,components,0.040000000000000036,-0.030000000000000027,-0.07000000000000006,,0.0,0.01
1.7b,connected_nodes,0.2,all,-0.020000000000000018,-0.030000000000000027,-0.010000000000000009,,0.0,0.02
1.7b,connected_nodes,0.35,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,connected_nodes,0.35,degree,0.15000000000000002,0.09000000000000008,-0.05999999999999994,,0.0,0.0
1.7b,connected_nodes,0.35,clustering,0.14,-0.05999999999999994,-0.19999999999999996,,0.0,0.0
1.7b,connected_nodes,0.35,rwse,0.12,0.0,-0.12,,0.0,0.0
1.7b,connected_nodes,0.35,components,0.15000000000000002,-0.010000000000000009,-0.16000000000000003,,0.0,0.0
1.7b,connected_nodes,0.35,all,0.25,0.06000000000000005,-0.18999999999999995,,0.0,0.0
1.7b,connected_nodes,0.5,filler,0.0,0.0,0.0,,0.0,0.0
1.7b,connected_nodes,0.5,degree,0.13,0.14,0.010000000000000009,,0.0,0.01
1.7b,connected_nodes,0.5,clustering,0.14,0.06000000000000005,-0.07999999999999996,,0.0,0.0
1.7b,connected_nodes,0.5,rwse,0.10999999999999999,-0.030000000000000027,-0.14,,0.0,0.02
1.7b,connected_nodes,0.5,components,0.08999999999999997,0.06000000000000005,-0.029999999999999916,,0.0,0.0
1.7b,connected_nodes,0.5,all,0.12,0.07000000000000006,-0.04999999999999993,,0.0,0.01
1.7b,edge_count,0.1,filler,0.0,0.0,0.0,,0.15,0.58
1.7b,edge_count,0.1,degree,0.06,-0.48,-0.54,,0.1,0.8
1.7b,edge_count,0.1,clustering,0.0,-0.07999999999999996,-0.07999999999999996,,0.1,0.66
1.7b,edge_count,0.1,rwse,0.0,-0.16999999999999993,-0.16999999999999993,,0.1,0.6
1.7b,edge_count,0.1,components,0.0,-0.13,-0.13,,0.2,0.56
1.7b,edge_count,0.1,all,0.0,-0.31999999999999995,-0.31999999999999995,,0.26,0.7
