arm,condition,density,n,acc,discrepancy,share_retrieve,acc_retrieve,share_assert,acc_assert,share_enumerate,acc_enumerate
qwen3-4b,all,0.1,100,0.93,0.01,0.29,0.896551724137931,0.7,0.9428571428571428,0.01,1.0
qwen3-4b,all,0.2,100,0.96,0.0,0.24,0.9583333333333334,0.76,0.9605263157894737,0.0,
qwen3-4b,all,0.35,100,0.92,0.0,0.18,0.7777777777777778,0.79,0.9746835443037974,0.03,0.3333333333333333
qwen3-4b,all,0.5,100,0.84,0.0,0.16,0.875,0.82,0.8292682926829268,0.02,1.0
qwen3-4b,all,0.65,100,0.45,0.0,0.47,0.5957446808510638,0.53,0.32075471698113206,0.0,
qwen3-4b,all,0.75,100,0.31,0.01,0.51,0.49019607843137253,0.49,0.12244897959183673,0.0,
qwen3-4b,all,0.85,100,0.25,0.0,0.34,0.6470588235294118,0.66,0.045454545454545456,0.0,
qwen3-4b,clustering,0.1,100,1.0,0.0,0.01,1.0,0.77,1.0,0.22,1.0
qwen3-4b,clustering,0.2,100,1.0,0.0,0.0,,0.31,1.0,0.69,1.0
qwen3-4b,clustering,0.35,100,0.99,0.0,0.0,,0.17,1.0,0.83,0.9879518072289156
qwen3-4b,clustering,0.5,100,0.96,0.0,0.0,,0.05,1.0,0.95,0.9578947368421052
qwen3-4b,clustering,0.65,100,0.89,0.0,0.0,,0.07,0.7142857142857143,0.93,0.9032258064516129
qwen3-4b,clustering,0.75,100,0.59,0.0,0.0,,0.14,0.6428571428571429,0.86,0.5813953488372093
qwen3-4b,clustering,0.85,100,0.51,0.0,0.0,,0.73,0.6438356164383562,0.27,0.14814814814814814
qwen3-4b,degree,0.1,100,0.94,0.01,0.44,0.8863636363636364,0.54,0.9814814814814815,0.02,1.0
qwen3-4b,degree,0.2,100,0.98,0.02,0.56,0.9821428571428571,0.28,0.9642857142857143,0.16,1.0
qwen3-4b,degree,0.35,100,0.92,0.03,0.74,0.9054054054054054,0.2,1.0,0.06,0.8333333333333334
qwen3-4b,degree,0.5,100,0.87,0.09,0.62,0.9193548387096774,0.3,0.7333333333333333,0.08,1.0
qwen3-4b,degree,0.65,100,0.76,0.18,0.71,0.8873239436619719,0.27,0.4074074074074074,0.02,1.0
qwen3-4b,degree,0.75,100,0.57,0.21,0.64,0.734375,0.35,0.2857142857142857,0.01,0.0
qwen3-4b,degree,0.85,100,0.6,0.16,0.69,0.7971014492753623,0.31,0.16129032258064516,0.0,
qwen3-4b,none,0.1,100,1.0,0.0,0.02,1.0,0.97,1.0,0.01,1.0
qwen3-4b,none,0.2,100,0.99,0.0,0.0,,0.66,0.9848484848484849,0.34,1.0
qwen3-4b,none,0.35,100,0.99,0.0,0.0,,0.05,1.0,0.95,0.9894736842105263
qwen3-4b,none,0.5,100,0.99,0.0,0.0,,0.0,,1.0,0.99
qwen3-4b,none,0.65,100,0.82,0.0,0.0,,0.06,0.6666666666666666,0.94,0.8297872340425532
qwen3-4b,none,0.75,100,0.5,0.0,0.0,,0.15,0.2,0.85,0.5529411764705883
qwen3-4b,none,0.85,100,0.33,0.0,0.0,,0.56,0.4642857142857143,0.44,0.1590909090909091
qwen3-4b,rwse,0.1,100,1.0,0.0,0.01,1.0,0.91,1.0,0.08,1.0
qwen3-4b,rwse,0.2,100,0.97,0.0,0.0,,0.77,0.961038961038961,0.23,1.0
qwen3-4b,rwse,0.35,100,0.96,0.0,0.0,,0.16,0.875,0.84,0.9761904761904762
qwen3-4b,rwse,0.5,100,0.95,0.0,0.0,,0.14,0.9285714285714286,0.86,0.9534883720930233
qwen3-4b,rwse,0.65,100,0.82,0.0,0.0,,0.17,0.5882352941176471,0.83,0.8674698795180723
