arm,condition,instance_id,density,task,correct,pred,edge,said_yes,n_statements,fabricated,states_nonedge,drops_edge,stated,invented,missed,kind,invents,chain,misread
qwen3-1.7b,filler,edge_existence/size40/p0.1/1,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/4,0.1,edge_existence,1,No,False,False,3.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/7,0.1,edge_existence,1,Yes,True,True,2.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/10,0.1,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/13,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/16,0.1,edge_existence,1,Yes,True,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/23,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/26,0.1,edge_existence,1,No,False,False,3.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/29,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/32,0.1,edge_existence,1,No,False,False,2.0,True,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/35,0.1,edge_existence,0,Yes,False,True,4.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/38,0.1,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/41,0.1,edge_existence,1,No,False,False,1.0,False,False,False,,,,,,,
qwen3-1.7b,all,edge_existence/size40/p0.1/48,0.1,edge_existence,1,Yes,True,True,3.0,False,False,False,,,,,,,
qwen3-1.7b,filler,edge_existence/size40/p0.1/51,0.1,edge_existence,1,No,False,False,1.0,False,False,False,,,,,,,
qwen3-1.7b,rwse,edge_existence/size40/p0.1/54,0.1,edge_existence,1,No,False,False,4.0,False,False,False,,,,,,,
qwen3-1.7b,clustering,edge_existence/size40/p0.1/57,0.1,edge_existence,1,No,False,False,0.0,False,False,False,,,,,,,
qwen3-1.7b,degree,edge_existence/size40/p0.1/60,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,components,edge_existence/size40/p0.1/63,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
qwen3-1.7b,none,edge_existence/size40/p0.1/66,0.1,edge_existence,1,No,False,False,2.0,False,False,False,,,,,,,
