arm,task,condition,n,acc_0_9,n_0_9,acc_10_19,n_10_19,acc_20_29,n_20_29,acc_30_39,n_30_39,rho_position,p_position,first10_minus_last10,slope_pts,slope_lo,slope_hi
qwen3-1.7b,node_degree,none,699,0.39896373056994816,193,0.38011695906432746,171,0.3218390804597701,174,0.453416149068323,161,0.019578681864396742,0.6053263585921105,-0.054452418498374844,3.699182212707741,-8.53433491994424,15.735058366814373
qwen3-1.7b,node_degree,filler,700,0.41968911917098445,193,0.3313953488372093,172,0.29310344827586204,174,0.39751552795031053,161,-0.0333795056807172,0.3778816654140747,0.022173591220673916,-4.71885114992717,-17.116685603383765,8.43335274660049
qwen3-1.7b,node_degree,degree,700,0.49222797927461137,193,0.4011627906976744,172,0.40804597701149425,174,0.4161490683229814,161,-0.06377057582672563,0.09181279804404445,0.07607891095163,-10.083279541687572,-22.649516131737364,3.1224945825158184
qwen3-1.7b,node_degree,clustering,700,0.43523316062176165,193,0.36046511627906974,172,0.3505747126436782,174,0.40993788819875776,161,-0.029876105553183447,0.4299887198175271,0.02529527242300389,-4.524736278868289,-17.215893089485956,8.035960956411804
qwen3-1.7b,node_degree,rwse,699,0.5025906735751295,193,0.3684210526315789,171,0.3218390804597701,174,0.3416149068322981,161,-0.12120586954936767,0.001324474415531384,0.16097576674283143,-19.286697254483656,-31.481712209252933,-7.304700217349733
qwen3-1.7b,node_degree,components,700,0.43523316062176165,193,0.4011627906976744,172,0.3390804597701149,174,0.4161490683229814,161,-0.028282393812967297,0.4550068579089049,0.019084092298780275,-4.1288349310679235,-15.809174245912748,7.5234628470186315
qwen3-1.7b,node_degree,all,700,0.5440414507772021,193,0.4476744186046512,172,0.40804597701149425,174,0.4161490683229814,161,-0.11337287127850822,0.0026654850678533046,0.12789238245422074,-18.3746579742466,-30.40638872947819,-6.3079158752049445
qwen3-1.7b,connected_nodes,none,400,0.6896551724137931,116,0.74,100,0.6818181818181818,88,0.7916666666666666,96,0.053818736517317514,0.2829192448508409,-0.10201149425287348,8.550195013825137,-5.763313337514996,22.431773655998533
qwen3-1.7b,connected_nodes,filler,400,0.7586206896551724,116,0.58,100,0.6363636363636364,88,0.65625,96,-0.1112829461741509,0.026040272178076255,0.10237068965517238,-15.917398803672839,-29.726532622629144,-1.8504059719220038
qwen3-1.7b,connected_nodes,degree,400,0.7672413793103449,116,0.73,100,0.7613636363636364,88,0.78125,96,0.005629270307407545,0.910637903857357,-0.014008620689655138,1.3396811041571497,-12.770677086732734,15.163597510948808
qwen3-1.7b,connected_nodes,clustering,400,0.7931034482758621,116,0.68,100,0.7613636363636364,88,0.7083333333333334,96,-0.05515790164447074,0.2710953058697554,0.08477011494252873,-7.554814732857563,-21.702295858861294,6.198810888039535
qwen3-1.7b,connected_nodes,rwse,400,0.8275862068965517,116,0.62,100,0.6931818181818182,88,0.78125,96,-0.054278778026906276,0.2788187367090119,0.04633620689655171,-6.473967244519094,-19.582012546362254,6.415789357930406
qwen3-1.7b,connected_nodes,components,400,0.7413793103448276,116,0.72,100,0.7272727272727273,88,0.7395833333333334,96,-0.005064262205921274,0.9195751330352497,0.0017959770114942541,-0.25119020702951816,-13.293028968924537,13.768476584217703
qwen3-1.7b,connected_nodes,all,399,0.7758620689655172,116,0.72,100,0.7045454545454546,88,0.7789473684210526,95,-0.011164128555859104,0.8240721159416122,-0.003085299455535373,-1.0585453352823186,-13.812656193350657,12.6838304163953
qwen3-1.7b-think,node_degree,none,692,0.689119170984456,193,0.6529411764705882,170,0.5764705882352941,170,0.6415094339622641,159,-0.056380344925693285,0.13843805882481208,0.047609737022191845,-8.720751095035522,-20.107542802996416,2.8561485236264073
qwen3-1.7b-think,node_degree,filler,697,0.6424870466321243,193,0.5730994152046783,171,0.5202312138728323,173,0.525,160,-0.10218667504804387,0.006933231806097836,0.11748704663212428,-16.436790487420343,-29.03292231809533,-4.047503730875528
qwen3-1.7b-think,node_degree,degree,647,0.9340659340659341,182,0.8404907975460123,163,0.8954248366013072,153,0.7516778523489933,149,-0.16210818064304053,3.429795025737162e-05,0.18238808171694076,-18.727455137442835,-27.677689897411113,-9.739659490357802
qwen3-1.7b-think,node_degree,clustering,698,0.694300518134715,193,0.5529411764705883,170,0.5344827586206896,174,0.6335403726708074,161,-0.061274984405459414,0.10577370164045967,0.06076014546390762,-9.120226624011668,-20.818122166522766,2.482855724313385
qwen3-1.7b-think,node_degree,rwse,696,0.7409326424870466,193,0.5465116279069767,172,0.5406976744186046,172,0.6981132075471698,159,-0.051319583091771426,0.17625978960505237,0.04281943493987683,-7.211999214570854,-17.871313102360432,3.552549130903329
qwen3-1.7b-think,node_degree,components,692,0.6455026455026455,189,0.6390532544378699,169,0.5606936416184971,173,0.6708074534161491,161,-0.012453439315801357,0.7436533115748319,-0.025304807913503646,-1.6758396441156886,-13.169299545801156,9.373785860194324
qwen3-1.7b-think,node_degree,all,694,0.9214659685863874,191,0.7953216374269005,171,0.791907514450867,173,0.7044025157232704,159,-0.18769069281321235,6.361373968853875e-07,0.217063452863117,-24.347256887596043,-33.48098676084286,-15.209079559391773
qwen3-1.7b-think,connected_nodes,none,395,0.7565217391304347,115,0.83,100,0.7529411764705882,85,0.8526315789473684,95,0.0531669628735367,0.29185115753325075,-0.09610983981693366,7.323436361204438,-4.4597127949499535,19.436626080678316
qwen3-1.7b-think,connected_nodes,filler,398,0.8275862068965517,116,0.82,100,0.7471264367816092,87,0.8631578947368421,95,-0.017382872120799888,0.7295511978663323,-0.03557168784029041,-1.6400776643431143,-12.231816981640446,10.27621025364553
qwen3-1.7b-think,connected_nodes,degree,394,0.9043478260869565,115,0.8686868686868687,99,0.7906976744186046,86,0.8723404255319149,94,-0.08497082311248629,0.09212154876079554,0.03200740055504159,-9.194297516387104,-19.26608450718699,0.8071926799908323
qwen3-1.7b-think,connected_nodes,clustering,399,0.8608695652173913,115,0.78,100,0.7386363636363636,88,0.84375,96,-0.04612154296030941,0.35816054635753775,0.01711956521739133,-5.2199273014173135,-16.306928305507473,5.745543161910403
qwen3-1.7b-think,connected_nodes,rwse,398,0.8695652173913043,115,0.7676767676767676,99,0.6818181818181818,88,0.8333333333333334,96,-0.07997435361744427,0.11115623266064338,0.03623188405797095,-9.731838876893418,-21.08196056117865,1.6451697284313245
qwen3-1.7b-think,connected_nodes,components,396,0.8189655172413793,116,0.84,100,0.7816091954022989,87,0.8387096774193549,93,-0.0017859049624288836,0.9717394597903318,-0.019744160177975534,-0.13226905429268487,-11.17533458612844,12.686436620443617
qwen3-1.7b-think,connected_nodes,all,397,0.8782608695652174,115,0.82,100,0.8045977011494253,87,0.9157894736842105,95,-0.005361177435955523,0.9151978389727051,-0.03752860411899306,0.24053097902539916,-8.926215742584102,9.517305417761579
qwen3-4b,node_degree,none,700,0.8238341968911918,193,0.8023255813953488,172,0.764367816091954,174,0.8198757763975155,161,-0.01017687446394116,0.7880985675583114,0.003958420493676229,-1.3353243345657777,-11.09684484439524,9.537094360844108
qwen3-4b,node_degree,filler,700,0.7979274611398963,193,0.8081395348837209,172,0.7816091954022989,174,0.8509316770186336,161,0.03995999960303684,0.29107127834304625,-0.05300421587873727,5.261559133744057,-4.131767806617306,14.718169232388016
qwen3-4b,node_degree,degree,700,0.8652849740932642,193,0.7790697674418605,172,0.7988505747126436,174,0.7701863354037267,161,-0.09325206502925099,0.013579879206585153,0.0950986386895375,-12.092775284721203,-22.317322324579163,-2.9821034564905613
qwen3-4b,node_degree,clustering,700,0.8290155440414507,193,0.8546511627906976,172,0.8390804597701149,174,0.8757763975155279,161,0.03727755060530124,0.32469728621951904,-0.04676085347407721,4.369793091370311,-4.940703615629278,13.055765592885788
qwen3-4b,node_degree,rwse,700,0.8290155440414507,193,0.8313953488372093,172,0.7931034482758621,174,0.8385093167701864,161,0.0005557069108210534,0.9882903891044075,-0.009493772728735639,0.04951672758740286,-9.753734264327065,9.068304542525457
qwen3-4b,node_degree,components,700,0.8186528497409327,193,0.7906976744186046,172,0.7816091954022989,174,0.8074534161490683,161,-0.0115098478994019,0.7611371975610277,0.011199433591864372,-1.4808523696350804,-10.574561229454439,8.772372846127356
qwen3-4b,node_degree,all,700,0.7564766839378239,193,0.6046511627906976,172,0.6436781609195402,174,0.6459627329192547,161,-0.07031773618295259,0.0629691030063209,0.1105139510185692,-10.558221675308243,-22.033620504471244,0.5519816543307859
qwen3-4b,connected_nodes,none,400,0.7586206896551724,116,0.84,100,0.9204545454545454,88,0.9479166666666666,96,0.22212388874831993,7.3008878430312495e-06,-0.18929597701149425,25.020351244031712,14.463770721419923,36.67035668481639
qwen3-4b,connected_nodes,filler,400,0.6293103448275862,116,0.73,100,0.7613636363636364,88,0.84375,96,0.18040577579286388,0.0002871515250587298,-0.2144396551724138,26.323205014931382,12.030779588002162,39.978318014758045
qwen3-4b,connected_nodes,degree,400,0.7844827586206896,116,0.79,100,0.8522727272727273,88,0.90625,96,0.11627229932506893,0.020015188461584628,-0.12176724137931039,14.643381529568936,3.1892923492101932,26.463723436116993
qwen3-4b,connected_nodes,clustering,400,0.8448275862068966,116,0.82,100,0.9318181818181818,88,0.8958333333333334,96,0.07635048448953428,0.12739463337733598,-0.051005747126436796,8.606478296727728,-2.1947674339851586,18.322881510237544
qwen3-4b,connected_nodes,rwse,400,0.8275862068965517,116,0.81,100,0.9204545454545454,88,0.8958333333333334,96,0.10758199304699434,0.031464121661807544,-0.06824712643678166,12.373983974497717,1.0635217379031374,22.06074353224252
qwen3-4b,connected_nodes,components,400,0.8879310344827587,116,0.96,100,0.9886363636363636,88,0.9895833333333334,96,0.18919425910927137,0.00014096096418680405,-0.1016522988505747,12.9621790236,5.988348838556568,20.435225772880184
qwen3-4b,connected_nodes,all,400,0.7672413793103449,116,0.84,100,0.9204545454545454,88,0.8229166666666666,96,0.06673115436092075,0.18288272875212375,-0.05567528735632177,7.8647202164955825,-3.3128306510531647,20.35902048808254
qwen3-4b-think,node_degree,none,688,1.0,192,0.9822485207100592,169,0.9941860465116279,172,0.9741935483870968,155,-0.05954884709937721,0.11864262001945286,0.02580645161290318,-2.125820377157679,-5.062099089873333,0.15276948899748427
qwen3-4b-think,node_degree,filler,696,0.9948186528497409,193,0.9767441860465116,172,0.9884393063583815,173,0.9936708860759493,158,0.010502950721655455,0.782089993754977,0.0011477667737915809,0.41314194439654633,-1.9448622413339156,2.6540823598890566
