arm,task,density,condition,marker,share_switched,n_switched,n_not,acc_switched,acc_not_switched,gap
qwen3-1.7b,edge_count,0.1,none,uses_degree_sum,0.67,67,33,0.04477611940298507,0.0,0.04477611940298507
qwen3-1.7b,edge_count,0.1,filler,uses_degree_sum,0.39,39,61,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.1,degree,uses_degree_sum,0.99,99,1,0.06060606060606061,0.0,0.06060606060606061
qwen3-1.7b,edge_count,0.1,clustering,uses_degree_sum,0.02,2,98,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.1,rwse,uses_degree_sum,0.15,15,85,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.1,components,uses_degree_sum,0.43,43,57,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.1,all,uses_degree_sum,0.11,11,89,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.2,none,uses_degree_sum,0.46,46,54,0.0,0.037037037037037035,-0.037037037037037035
qwen3-1.7b,edge_count,0.2,filler,uses_degree_sum,0.29,29,71,0.0,0.04225352112676056,-0.04225352112676056
qwen3-1.7b,edge_count,0.2,clustering,uses_degree_sum,0.18,18,82,0.05555555555555555,0.024390243902439025,0.031165311653116527
qwen3-1.7b,edge_count,0.2,rwse,uses_degree_sum,0.27,27,73,0.0,0.0273972602739726,-0.0273972602739726
qwen3-1.7b,edge_count,0.2,components,uses_degree_sum,0.53,53,47,0.0,0.02127659574468085,-0.02127659574468085
qwen3-1.7b,edge_count,0.2,all,uses_degree_sum,0.6,60,40,0.016666666666666666,0.0,0.016666666666666666
qwen3-1.7b,edge_count,0.35,none,uses_degree_sum,0.47,47,53,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.35,filler,uses_degree_sum,0.45,45,55,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.35,clustering,uses_degree_sum,0.28,28,72,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.35,rwse,uses_degree_sum,0.38,38,62,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.35,components,uses_degree_sum,0.22,22,78,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.35,all,uses_degree_sum,0.36,36,64,0.1111111111111111,0.0,0.1111111111111111
qwen3-1.7b,edge_count,0.5,none,uses_degree_sum,0.07,7,93,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.5,filler,uses_degree_sum,0.31,31,69,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.5,clustering,uses_degree_sum,0.46,46,54,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.5,rwse,uses_degree_sum,0.29,29,71,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.5,components,uses_degree_sum,0.15,15,85,0.0,0.0,0.0
qwen3-1.7b,edge_count,0.5,all,uses_degree_sum,0.4,40,60,0.025,0.03333333333333333,-0.008333333333333331
qwen3-1.7b,node_degree,0.5,all,narrates_neighbors,0.01,1,99,0.0,0.3838383838383838,-0.3838383838383838
qwen3-1.7b-think,edge_count,0.1,none,uses_degree_sum,0.99,99,1,0.6767676767676768,0.0,0.6767676767676768
qwen3-1.7b-think,edge_count,0.1,filler,uses_degree_sum,0.96,96,4,0.7291666666666666,0.5,0.22916666666666663
qwen3-1.7b-think,edge_count,0.1,clustering,uses_degree_sum,0.97,97,3,0.6597938144329897,0.0,0.6597938144329897
qwen3-1.7b-think,edge_count,0.1,components,uses_degree_sum,0.96,96,4,0.6145833333333334,0.0,0.6145833333333334
qwen3-1.7b-think,edge_count,0.1,all,uses_degree_sum,0.99,99,1,0.40404040404040403,0.0,0.40404040404040403
qwen3-1.7b-think,edge_count,0.2,filler,uses_degree_sum,0.97,97,3,0.31958762886597936,0.0,0.31958762886597936
qwen3-1.7b-think,edge_count,0.35,filler,uses_degree_sum,0.96,96,4,0.0625,0.0,0.0625
qwen3-1.7b-think,edge_count,0.35,components,uses_degree_sum,0.98,98,2,0.030612244897959183,0.0,0.030612244897959183
qwen3-1.7b-think,edge_count,0.5,none,uses_degree_sum,0.87,87,13,0.0,0.0,0.0
qwen3-1.7b-think,edge_count,0.5,filler,uses_degree_sum,0.92,92,8,0.0,0.0,0.0
qwen3-1.7b-think,edge_count,0.5,rwse,uses_degree_sum,0.98,98,2,0.0,0.0,0.0
qwen3-1.7b-think,edge_count,0.5,components,uses_degree_sum,0.97,97,3,0.010309278350515464,0.0,0.010309278350515464
qwen3-1.7b-think,node_degree,0.1,none,narrates_neighbors,0.43,43,57,0.9534883720930233,0.8596491228070176,0.09383924928600573
qwen3-1.7b-think,node_degree,0.1,filler,narrates_neighbors,0.3,30,70,0.9666666666666667,0.9714285714285714,-0.004761904761904745
qwen3-1.7b-think,node_degree,0.1,degree,narrates_neighbors,0.65,65,35,0.9692307692307692,1.0,-0.03076923076923077
qwen3-1.7b-think,node_degree,0.1,clustering,narrates_neighbors,0.28,28,72,1.0,0.9166666666666666,0.08333333333333337
qwen3-1.7b-think,node_degree,0.1,rwse,narrates_neighbors,0.36,36,64,0.9722222222222222,0.953125,0.01909722222222221
qwen3-1.7b-think,node_degree,0.1,components,narrates_neighbors,0.29,29,71,0.8620689655172413,0.9436619718309859,-0.08159300631374455
qwen3-1.7b-think,node_degree,0.1,all,narrates_neighbors,0.44,44,56,0.9772727272727273,0.9821428571428571,-0.004870129870129802
qwen3-1.7b-think,node_degree,0.2,none,narrates_neighbors,0.42,42,58,0.9523809523809523,0.9482758620689655,0.004105090311986803
qwen3-1.7b-think,node_degree,0.2,filler,narrates_neighbors,0.21,21,79,0.7619047619047619,0.8734177215189873,-0.11151295961422547
qwen3-1.7b-think,node_degree,0.2,degree,narrates_neighbors,0.63,63,37,0.9365079365079365,0.9459459459459459,-0.009438009438009431
qwen3-1.7b-think,node_degree,0.2,clustering,narrates_neighbors,0.24,24,76,0.9166666666666666,0.9868421052631579,-0.07017543859649122
qwen3-1.7b-think,node_degree,0.2,rwse,narrates_neighbors,0.24,24,76,0.875,0.9210526315789473,-0.046052631578947345
qwen3-1.7b-think,node_degree,0.2,components,narrates_neighbors,0.32,32,68,0.90625,0.8823529411764706,0.023897058823529438
qwen3-1.7b-think,node_degree,0.2,all,narrates_neighbors,0.33,33,67,0.9393939393939394,0.9850746268656716,-0.04568068747173215
qwen3-1.7b-think,node_degree,0.35,none,narrates_neighbors,0.43,43,57,0.5813953488372093,0.6140350877192983,-0.03263973888208893
qwen3-1.7b-think,node_degree,0.35,filler,narrates_neighbors,0.24,24,76,0.5416666666666666,0.5657894736842105,-0.02412280701754388
qwen3-1.7b-think,node_degree,0.35,degree,narrates_neighbors,0.82,82,18,0.7926829268292683,1.0,-0.20731707317073167
qwen3-1.7b-think,node_degree,0.35,clustering,narrates_neighbors,0.31,31,69,0.45161290322580644,0.6811594202898551,-0.22954651706404866
qwen3-1.7b-think,node_degree,0.35,rwse,narrates_neighbors,0.34,34,66,0.5882352941176471,0.6818181818181818,-0.09358288770053469
qwen3-1.7b-think,node_degree,0.35,components,narrates_neighbors,0.43,43,57,0.6511627906976745,0.5964912280701754,0.05467156262749906
qwen3-1.7b-think,node_degree,0.35,all,narrates_neighbors,0.57,57,43,0.8070175438596491,0.8372093023255814,-0.03019175846593236
qwen3-1.7b-think,node_degree,0.5,none,narrates_neighbors,0.33,33,67,0.6666666666666666,0.5671641791044776,0.09950248756218905
qwen3-1.7b-think,node_degree,0.5,filler,narrates_neighbors,0.32,32,68,0.53125,0.5588235294117647,-0.02757352941176472
qwen3-1.7b-think,node_degree,0.5,degree,narrates_neighbors,0.82,82,18,0.7439024390243902,1.0,-0.25609756097560976
qwen3-1.7b-think,node_degree,0.5,clustering,narrates_neighbors,0.38,38,62,0.631578947368421,0.5645161290322581,0.0670628183361629
qwen3-1.7b-think,node_degree,0.5,rwse,narrates_neighbors,0.57,57,43,0.5263157894736842,0.7906976744186046,-0.26438188494492043
qwen3-1.7b-think,node_degree,0.5,components,narrates_neighbors,0.63,63,37,0.5873015873015873,0.5675675675675675,0.01973401973401978
qwen3-1.7b-think,node_degree,0.5,all,narrates_neighbors,0.57,57,43,0.7543859649122807,0.813953488372093,-0.05956752345981231
qwen3-1.7b-think,node_degree,0.65,none,narrates_neighbors,0.57,57,43,0.5263157894736842,0.5116279069767442,0.014687882496939975
qwen3-1.7b-think,node_degree,0.65,filler,narrates_neighbors,0.43,43,57,0.3488372093023256,0.3508771929824561,-0.0020399836801305304
qwen3-1.7b-think,node_degree,0.65,degree,narrates_neighbors,0.85,85,15,0.6941176470588235,0.9333333333333333,-0.23921568627450984
qwen3-1.7b-think,node_degree,0.65,clustering,narrates_neighbors,0.41,41,59,0.34146341463414637,0.423728813559322,-0.08226539892517565
qwen3-1.7b-think,node_degree,0.65,rwse,narrates_neighbors,0.64,64,36,0.390625,0.5,-0.109375
qwen3-1.7b-think,node_degree,0.65,components,narrates_neighbors,0.54,54,46,0.4444444444444444,0.4782608695652174,-0.033816425120772986
qwen3-1.7b-think,node_degree,0.65,all,narrates_neighbors,0.64,64,36,0.828125,0.8055555555555556,0.02256944444444442
qwen3-1.7b-think,node_degree,0.75,none,narrates_neighbors,0.53,53,47,0.4528301886792453,0.44680851063829785,0.006021678040947442
qwen3-1.7b-think,node_degree,0.75,filler,narrates_neighbors,0.4,40,60,0.35,0.36666666666666664,-0.016666666666666663
qwen3-1.7b-think,node_degree,0.75,degree,narrates_neighbors,0.85,85,15,0.7294117647058823,0.7333333333333333,-0.0039215686274509665
qwen3-1.7b-think,node_degree,0.75,clustering,narrates_neighbors,0.49,49,51,0.32653061224489793,0.43137254901960786,-0.10484193677470993
qwen3-1.7b-think,node_degree,0.75,rwse,narrates_neighbors,0.68,68,32,0.36764705882352944,0.4375,-0.06985294117647056
qwen3-1.7b-think,node_degree,0.75,components,narrates_neighbors,0.61,61,39,0.3770491803278688,0.38461538461538464,-0.00756620428751581
qwen3-1.7b-think,node_degree,0.75,all,narrates_neighbors,0.78,78,22,0.6666666666666666,0.6818181818181818,-0.015151515151515138
qwen3-1.7b-think,node_degree,0.85,none,narrates_neighbors,0.62,62,38,0.3709677419354839,0.5,-0.12903225806451613
qwen3-1.7b-think,node_degree,0.85,filler,narrates_neighbors,0.64,64,36,0.28125,0.3888888888888889,-0.1076388888888889
qwen3-1.7b-think,node_degree,0.85,degree,narrates_neighbors,0.91,91,9,0.8571428571428571,0.7777777777777778,0.0793650793650793
qwen3-1.7b-think,node_degree,0.85,clustering,narrates_neighbors,0.62,62,38,0.3387096774193548,0.3684210526315789,-0.02971137521222411
qwen3-1.7b-think,node_degree,0.85,rwse,narrates_neighbors,0.68,68,32,0.4117647058823529,0.5,-0.08823529411764708
qwen3-1.7b-think,node_degree,0.85,components,narrates_neighbors,0.65,65,35,0.47692307692307695,0.5714285714285714,-0.09450549450549445
qwen3-1.7b-think,node_degree,0.85,all,narrates_neighbors,0.74,74,26,0.6486486486486487,0.38461538461538464,0.26403326403326405
qwen3-1.7b-think,connected_nodes,0.1,none,narrates_neighbors,0.34,34,66,0.9411764705882353,0.9090909090909091,0.03208556149732622
qwen3-1.7b-think,connected_nodes,0.1,filler,narrates_neighbors,0.22,22,78,0.8636363636363636,0.9743589743589743,-0.11072261072261069
qwen3-1.7b-think,connected_nodes,0.1,degree,narrates_neighbors,0.3,30,70,0.9,0.9285714285714286,-0.02857142857142858
qwen3-1.7b-think,connected_nodes,0.1,clustering,narrates_neighbors,0.22,22,78,0.9545454545454546,0.9487179487179487,0.005827505827505908
qwen3-1.7b-think,connected_nodes,0.1,rwse,narrates_neighbors,0.43,43,57,0.9767441860465116,0.9824561403508771,-0.005711954304365552
