instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_degree/size40/p0.65/0,node_degree,none,zero_shot,27,qwen3-1.7b-think,qwen3-1.7b,True,integer,32,32,,True,0.0,0.0,False,False,5.0,False,generator,2347,unaffected,True,0.1442857142857143,4321,wrong,False
edge_existence/size40/p0.65/1,edge_existence,rwse,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1312,revised,True,0.5538095238095239,2908,correct,False
edge_existence/size40/p0.65/3,edge_existence,components,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,1452,revised,True,0.7352380952380952,2830,correct,False
node_degree/size40/p0.65/5,node_degree,filler,zero_shot,24,qwen3-1.7b-think,qwen3-1.7b,True,integer,24,24,,True,1.0,1.0,False,False,0.0,False,generator,1283,revised,True,0.1442857142857143,2573,correct,False
node_degree/size40/p0.65/7,node_degree,degree,zero_shot,23,qwen3-1.7b-think,qwen3-1.7b,True,integer,23,23,,True,1.0,1.0,False,False,0.0,False,generator,2145,unaffected,True,1.0,4496,correct,False
edge_existence/size40/p0.65/8,edge_existence,all,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,859,revised,True,0.7409523809523809,2041,correct,False
edge_existence/size40/p0.65/10,edge_existence,clustering,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,730,revised,True,0.7266666666666667,1999,correct,False
edge_existence/size40/p0.65/12,edge_existence,none,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,1814,revised,True,0.7352380952380952,3504,correct,False
node_degree/size40/p0.65/14,node_degree,rwse,zero_shot,26,qwen3-1.7b-think,qwen3-1.7b,True,integer,31,31,,True,0.0,0.0,False,False,5.0,False,generator,5422,unaffected,True,0.21047619047619048,10442,wrong,False
node_degree/size40/p0.65/16,node_degree,components,zero_shot,23,qwen3-1.7b-think,qwen3-1.7b,True,integer,22,22,,True,0.0,0.0,False,False,1.0,False,generator,1584,unaffected,True,0.1442857142857143,3367,wrong,False
edge_existence/size40/p0.65/17,edge_existence,filler,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,886,revised,True,0.7352380952380952,2047,correct,False
edge_existence/size40/p0.65/19,edge_existence,degree,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1543,revised,True,0.7457142857142857,3718,correct,False
node_degree/size40/p0.65/21,node_degree,all,zero_shot,23,qwen3-1.7b-think,qwen3-1.7b,True,integer,23,23,,True,1.0,1.0,False,False,0.0,False,generator,1153,unaffected,True,1.0,2562,correct,False
node_degree/size40/p0.65/23,node_degree,clustering,zero_shot,21,qwen3-1.7b-think,qwen3-1.7b,True,integer,21,21,,True,1.0,1.0,False,False,0.0,False,generator,1059,unaffected,True,0.1442857142857143,2325,correct,False
node_degree/size40/p0.65/25,node_degree,none,zero_shot,28,qwen3-1.7b-think,qwen3-1.7b,True,integer,28,28,,True,1.0,1.0,False,False,0.0,False,generator,2826,unaffected,True,0.1442857142857143,5466,correct,False
edge_existence/size40/p0.65/26,edge_existence,rwse,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,1405,revised,True,0.5538095238095239,3290,correct,False
edge_existence/size40/p0.65/28,edge_existence,components,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1108,revised,True,0.7352380952380952,2302,correct,False
node_degree/size40/p0.65/30,node_degree,filler,zero_shot,25,qwen3-1.7b-think,qwen3-1.7b,True,integer,24,24,,True,0.0,0.0,False,False,1.0,False,generator,2122,revised,True,0.1442857142857143,4546,wrong,False
node_degree/size40/p0.65/32,node_degree,degree,zero_shot,25,qwen3-1.7b-think,qwen3-1.7b,True,integer,25,25,,True,1.0,1.0,False,False,0.0,False,generator,1196,unaffected,True,1.0,2579,correct,False
edge_existence/size40/p0.65/33,edge_existence,all,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,681,revised,True,0.7409523809523809,1529,correct,False
edge_existence/size40/p0.65/35,edge_existence,clustering,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,722,revised,True,0.7266666666666667,1834,correct,False
edge_existence/size40/p0.65/37,edge_existence,none,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,994,revised,True,0.7352380952380952,2139,correct,False
node_degree/size40/p0.65/39,node_degree,rwse,zero_shot,30,qwen3-1.7b-think,qwen3-1.7b,True,integer,32,32,,True,0.0,0.0,False,False,2.0,False,generator,4881,unaffected,True,0.21047619047619048,9365,wrong,False
node_degree/size40/p0.65/41,node_degree,components,zero_shot,24,qwen3-1.7b-think,qwen3-1.7b,True,integer,24,24,,True,1.0,1.0,False,False,0.0,False,generator,1581,unaffected,True,0.1442857142857143,2932,correct,False
edge_existence/size40/p0.65/42,edge_existence,filler,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,911,revised,True,0.7352380952380952,2011,correct,False
edge_existence/size40/p0.65/44,edge_existence,degree,zero_shot,Yes,qwen3-1.7b-think,qwen3-1.7b,True,integer,Yes,Yes,,True,1.0,1.0,False,False,,False,generator,1227,revised,True,0.7457142857142857,2722,correct,False
node_degree/size40/p0.65/46,node_degree,all,zero_shot,26,qwen3-1.7b-think,qwen3-1.7b,True,integer,26,26,,True,1.0,1.0,False,False,0.0,False,generator,669,unaffected,True,1.0,2167,correct,False
node_degree/size40/p0.65/48,node_degree,clustering,zero_shot,25,qwen3-1.7b-think,qwen3-1.7b,True,integer,28,14,,True,0.0,0.0,False,False,3.0,False,generator,2096,unaffected,True,0.1442857142857143,4059,wrong,False
node_degree/size40/p0.65/50,node_degree,none,zero_shot,25,qwen3-1.7b-think,qwen3-1.7b,True,integer,25,25,,True,1.0,1.0,False,False,0.0,False,generator,2127,unaffected,True,0.1442857142857143,4174,correct,False
edge_existence/size40/p0.65/51,edge_existence,rwse,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,2423,revised,True,0.5538095238095239,5028,correct,False
edge_existence/size40/p0.65/53,edge_existence,components,zero_shot,No,qwen3-1.7b-think,qwen3-1.7b,True,integer,No,No,,True,1.0,1.0,False,False,,False,generator,3523,revised,True,0.7352380952380952,5934,correct,False
node_degree/size40/p0.65/55,node_degree,filler,zero_shot,26,qwen3-1.7b-think,qwen3-1.7b,True,integer,26,26,,True,1.0,1.0,False,False,0.0,False,generator,1303,revised,True,0.1442857142857143,2638,correct,False
