task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,392,1,4,-0.007653061224489796,0.375,False,0.053125000000000006,0.05503826530612245,,-0.05,-0.05284438775510204,
connected_nodes,clustering,394,1,0,0.0025380710659898475,1.0,False,0.055078125,0.05644670050761421,,-0.05859375,-0.059847715736040606,
connected_nodes,components,392,1,0,0.002551020408163265,1.0,False,0.046484375,0.0482780612244898,,-0.046875,-0.04813775510204082,
connected_nodes,degree,390,0,2,-0.005128205128205128,0.5,False,0.056640625,0.057923076923076924,,-0.05546875,-0.05485897435897436,
connected_nodes,filler,394,0,1,-0.0025380710659898475,1.0,False,0.048828125,0.04903553299492386,,-0.05273437500000001,-0.05464467005076142,
connected_nodes,rwse,393,0,5,-0.01272264631043257,0.0625,False,0.0546875,0.05548346055979644,,-0.0546875,-0.05599236641221374,
cycle_check,all,373,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.020268096514745308,
cycle_check,clustering,376,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02154255319148936,
cycle_check,components,346,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02190751445086705,
cycle_check,degree,295,0,2,-0.006779661016949152,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.025,-0.025559322033898307,
cycle_check,filler,388,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.023762886597938144,
cycle_check,rwse,386,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.021191709844559585,
edge_count,all,24,2,4,-0.08333333333333333,0.6875,False,,0.07416666666666667,MDE exceeds 1.0 at this power target,-0.32500000000000007,-0.3225,
edge_count,clustering,23,1,3,-0.08695652173913043,0.625,False,,0.049565217391304345,MDE exceeds 1.0 at this power target,-0.3875,-0.34956521739130436,
edge_count,components,27,2,0,0.07407407407407407,0.5,False,,0.15037037037037038,MDE exceeds 1.0 at this power target,-0.32500000000000007,-0.2674074074074074,
edge_count,degree,13,0,8,-0.6153846153846154,0.0078125,True,,,,,,
edge_count,filler,29,2,1,0.034482758620689655,1.0,False,,0.12758620689655173,MDE exceeds 1.0 at this power target,-0.31250000000000006,-0.28344827586206894,
edge_count,rwse,25,0,1,-0.04,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.31250000000000006,-0.3096,
edge_existence,all,399,2,10,-0.020050125313283207,0.03857421875,False,,0.007167919799498747,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01899749373433584,
edge_existence,clustering,398,2,6,-0.010050251256281407,0.2890625,False,,0.006834170854271356,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.02100502512562814,
edge_existence,components,398,3,6,-0.007537688442211055,0.5078125,False,,0.007035175879396985,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020804020100502512,
edge_existence,degree,397,2,11,-0.022670025188916875,0.0224609375,False,,0.007707808564231738,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01924433249370277,
edge_existence,filler,399,3,6,-0.007518796992481203,0.5078125,False,,0.007218045112781955,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.01994987468671679,
edge_existence,rwse,398,3,8,-0.01256281407035176,0.2265625,False,,0.007738693467336684,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02150753768844221,
node_count,all,369,5,0,0.013550135501355014,0.0625,False,,0.013170731707317073,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020162601626016262,
node_count,clustering,369,5,0,0.013550135501355014,0.0625,False,,0.012628726287262873,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021355013550135502,
node_count,components,342,4,1,0.008771929824561403,0.375,False,,0.01152046783625731,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.023333333333333334,
node_count,degree,360,5,2,0.008333333333333333,0.453125,False,,0.014222222222222223,MDE exceeds 1.0 at this power target,-0.0234375,-0.025,
node_count,filler,369,5,0,0.013550135501355014,0.0625,False,,0.012953929539295393,MDE exceeds 1.0 at this power target,-0.0234375,-0.023685636856368562,
node_count,rwse,369,5,0,0.013550135501355014,0.0625,False,,0.013766937669376695,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.0216260162601626,
node_degree,all,396,63,17,0.11616161616161616,2.2661405044675457e-07,True,,,,,,
node_degree,clustering,396,31,27,0.010101010101010102,0.6940040940761316,False,0.08750000000000001,0.02101010101010101,,-0.028125,-0.022171717171717172,
node_degree,components,395,21,25,-0.010126582278481013,0.6587380770236564,False,0.08750000000000001,0.021265822784810127,,-0.026562500000000003,-0.019544303797468354,
node_degree,degree,376,59,15,0.11702127659574468,2.553422007441105e-07,True,,,,,,
node_degree,filler,396,24,38,-0.03535353535353535,0.09795444051950737,False,0.084375,0.020101010101010102,,-0.028125,-0.02212121212121212,
node_degree,rwse,394,41,31,0.025380710659898477,0.28878428041410487,False,0.08750000000000001,0.021116751269035533,,-0.026562500000000003,-0.022944162436548222,
