task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,392,1,4,-0.007653061224489796,0.375,False,0.0001953125,-0.08158569611424017,,-0.0001953125,-0.08112082294335361,
connected_nodes,clustering,394,1,0,0.0025380710659898475,1.0,False,0.0001953125,-0.09475953558661548,,-0.0001953125,-0.0954660688618989,
connected_nodes,components,392,1,0,0.002551020408163265,1.0,False,0.0001953125,-0.07266753235671267,,-0.0001953125,-0.07060032922500792,
connected_nodes,degree,390,0,2,-0.005128205128205128,0.5,False,0.0001953125,-0.07605887754223806,,-0.0001953125,-0.0748376993913461,
connected_nodes,filler,394,0,1,-0.0025380710659898475,1.0,False,0.0001953125,-0.0761072137981411,,-0.0001953125,-0.07535895597566537,
connected_nodes,rwse,393,0,5,-0.01272264631043257,0.0625,False,0.0001953125,-0.08918100275640246,,-0.0001953125,-0.09044958631067061,
cycle_check,all,373,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0212890625,-0.020844504021447722,
cycle_check,clustering,376,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.02109375,-0.021329787234042552,
cycle_check,components,346,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021979768786127167,
cycle_check,degree,295,0,2,-0.006779661016949152,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.0275390625,-0.027694915254237288,
cycle_check,filler,388,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020703125000000003,-0.021146907216494846,
cycle_check,rwse,386,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019726562500000003,-0.020207253886010364,
edge_count,all,24,2,4,-0.08333333333333333,0.6875,False,,0.08895833333333333,MDE exceeds 1.0 at this power target,-0.2984375,-0.3047916666666667,
edge_count,clustering,23,1,3,-0.08695652173913043,0.625,False,,0.04391304347826087,MDE exceeds 1.0 at this power target,-0.3218750000000001,-0.3243478260869565,
edge_count,components,27,2,0,0.07407407407407407,0.5,False,,0.14574074074074075,MDE exceeds 1.0 at this power target,-0.27031250000000007,-0.27814814814814814,
edge_count,degree,13,0,8,-0.6153846153846154,0.0078125,True,,,,,,
edge_count,filler,29,2,1,0.034482758620689655,1.0,False,,0.14172413793103447,MDE exceeds 1.0 at this power target,-0.26093750000000004,-0.26482758620689656,
edge_count,rwse,25,0,1,-0.04,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.28750000000000003,-0.2918,
edge_existence,all,399,2,10,-0.020050125313283207,0.03857421875,False,,0.007656641604010025,MDE exceeds 1.0 at this power target,-0.024609375000000003,-0.025864661654135337,
edge_existence,clustering,398,2,6,-0.010050251256281407,0.2890625,False,,0.007625628140703517,MDE exceeds 1.0 at this power target,-0.020117187500000005,-0.01971105527638191,
edge_existence,components,398,3,6,-0.007537688442211055,0.5078125,False,,0.007587939698492462,MDE exceeds 1.0 at this power target,-0.0212890625,-0.021670854271356784,
edge_existence,degree,397,2,11,-0.022670025188916875,0.0224609375,False,,0.007581863979848866,MDE exceeds 1.0 at this power target,-0.024804687500000002,-0.027002518891687657,
edge_existence,filler,399,3,6,-0.007518796992481203,0.5078125,False,,0.007518796992481203,MDE exceeds 1.0 at this power target,-0.0212890625,-0.021892230576441102,
edge_existence,rwse,398,3,8,-0.01256281407035176,0.2265625,False,,0.007989949748743718,MDE exceeds 1.0 at this power target,-0.0236328125,-0.023756281407035177,
node_count,all,369,5,0,0.013550135501355014,0.0625,False,,0.013333333333333334,MDE exceeds 1.0 at this power target,-0.0212890625,-0.02157181571815718,
node_count,clustering,369,5,0,0.013550135501355014,0.0625,False,,0.013265582655826558,MDE exceeds 1.0 at this power target,-0.0212890625,-0.022289972899728998,
node_count,components,342,4,1,0.008771929824561403,0.375,False,,0.01152046783625731,MDE exceeds 1.0 at this power target,-0.0236328125,-0.023757309941520467,
node_count,degree,360,5,2,0.008333333333333333,0.453125,False,,0.013888888888888888,MDE exceeds 1.0 at this power target,-0.02109375,-0.021013888888888888,
node_count,filler,369,5,0,0.013550135501355014,0.0625,False,,0.01405149051490515,MDE exceeds 1.0 at this power target,-0.020507812500000003,-0.021151761517615175,
node_count,rwse,369,5,0,0.013550135501355014,0.0625,False,,0.013184281842818429,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02100271002710027,
node_degree,all,396,63,17,0.11616161616161616,2.2661405044675457e-07,True,,,,,,
node_degree,clustering,396,31,27,0.010101010101010102,0.6940040940761316,False,0.0546875,0.05481060606060606,,-0.05546875,-0.056666666666666664,
node_degree,components,395,21,25,-0.010126582278481013,0.6587380770236564,False,0.0484375,0.047873417721518985,,-0.0490234375,-0.049569620253164554,
node_degree,degree,376,59,15,0.11702127659574468,2.553422007441105e-07,True,,,,,,
node_degree,filler,396,24,38,-0.03535353535353535,0.09795444051950737,False,0.054296875,0.05566919191919192,,-0.055859375,-0.05527777777777778,
node_degree,rwse,394,41,31,0.025380710659898477,0.28878428041410487,False,0.05859375,0.05810913705583756,,-0.05859375,-0.061700507614213196,
