task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,399,1,5,-0.010025062656641603,0.21875,False,0.0001953125,-0.13844018035264907,,-0.0001953125,-0.13572360638526557,
connected_nodes,clustering,400,1,1,0.0,1.0,False,0.0001953125,-0.12600874950341676,,-0.0001953125,-0.12658692010045808,
connected_nodes,components,400,1,0,0.0025,1.0,False,0.0001953125,-0.08129197245262715,,-0.0001953125,-0.08575833891773056,
connected_nodes,degree,400,1,1,0.0,1.0,False,0.0001953125,-0.10390090995948179,,-0.0001953125,-0.10287382827100705,
connected_nodes,filler,400,1,1,0.0,1.0,False,0.0001953125,-0.1335162311759786,,-0.0001953125,-0.13094846689967843,
connected_nodes,rwse,400,1,0,0.0025,1.0,False,0.0001953125,-0.12264854111655893,,-0.0001953125,-0.1242863746559859,
cycle_check,all,362,1,5,-0.011049723756906077,0.21875,False,,0.0026243093922651934,MDE exceeds 1.0 at this power target,-0.0220703125,-0.021450276243093924,
cycle_check,clustering,362,1,0,0.0027624309392265192,1.0,False,,0.00287292817679558,MDE exceeds 1.0 at this power target,-0.022265625000000004,-0.022624309392265195,
cycle_check,components,343,0,2,-0.0058309037900874635,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.022851562500000002,-0.02348396501457726,
cycle_check,degree,301,0,38,-0.12624584717607973,7.275957614183426e-12,True,,,,,,
cycle_check,filler,341,1,0,0.002932551319648094,1.0,False,,0.003064516129032258,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022917888563049854,
cycle_check,rwse,358,1,28,-0.07541899441340782,1.1175870895385742e-07,True,,,,,,
edge_count,all,211,8,3,0.023696682464454975,0.2265625,False,0.0439453125,0.0428436018957346,,,-0.01443127962085308,MDE exceeds 1.0 at this power target
edge_count,clustering,238,3,4,-0.004201680672268907,1.0,False,0.033203125,0.032983193277310925,,,-0.01611344537815126,MDE exceeds 1.0 at this power target
edge_count,components,211,1,4,-0.014218009478672985,0.375,False,0.03574218750000001,0.03623222748815166,,,-0.018744075829383887,MDE exceeds 1.0 at this power target
edge_count,degree,253,13,3,0.039525691699604744,0.021270751953125,False,0.042578125,0.042608695652173914,,,-0.011837944664031621,MDE exceeds 1.0 at this power target
edge_count,filler,224,2,3,-0.004464285714285714,1.0,False,0.033593750000000006,0.03433035714285714,,,-0.018258928571428572,MDE exceeds 1.0 at this power target
edge_count,rwse,239,2,4,-0.008368200836820083,0.6875,False,0.03125,0.032468619246861924,,,-0.016799163179916317,MDE exceeds 1.0 at this power target
edge_existence,all,400,75,29,0.115,7.366510614966004e-06,True,,,,,,
edge_existence,clustering,400,48,33,0.0375,0.11927366831176445,False,0.062109375,0.0630625,,-0.066015625,-0.0665875,
edge_existence,components,400,11,44,-0.0825,8.699371704778969e-06,True,,,,,,
edge_existence,degree,400,49,33,0.04,0.09703091129729906,False,0.06171875,0.062675,,-0.06171875,-0.06385,
edge_existence,filler,400,10,73,-0.1575,5.800664942039543e-13,True,,,,,,
edge_existence,rwse,399,55,34,0.05263157894736842,0.0334167216020976,False,0.066796875,0.06652882205513784,,-0.0640625,-0.06512531328320802,
node_count,all,400,193,5,0.47,1.2314364929436383e-50,True,,,,,,
node_count,clustering,400,269,0,0.6725,2.1084395886461046e-81,True,,,,,,
node_count,components,400,113,28,0.2125,2.6418869265765717e-13,True,,,,,,
node_count,degree,400,43,16,0.0675,0.0005843646280443461,True,,,,,,
node_count,filler,400,161,2,0.3975,2.2865181363073523e-45,True,,,,,,
node_count,rwse,400,87,79,0.02,0.5870535639169906,False,0.085546875,0.08635,,-0.08320312500000002,-0.08455,
node_degree,all,400,77,36,0.1025,0.00014401960112955247,True,,,,,,
node_degree,clustering,400,53,41,0.03,0.25644234893296924,False,0.068359375,0.0702875,,-0.065625,-0.0663375,
node_degree,components,400,36,29,0.0175,0.4570207854105899,False,0.056640625,0.056225,,-0.05546875,-0.0560375,
node_degree,degree,400,57,27,0.075,0.001404494631113956,True,,,,,,
node_degree,filler,400,32,34,-0.005,0.9021585000966993,False,0.059765624999999996,0.0607,,-0.059765624999999996,-0.058125,
node_degree,rwse,399,53,37,0.040100250626566414,0.11334435404342065,False,0.064453125,0.06676691729323309,,-0.06523437500000001,-0.06675438596491227,
