task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,399,0,4,-0.010025062656641603,0.125,False,0.0015625,-0.13029400828693197,,-0.0015625,-0.13408863110690572,
connected_nodes,clustering,400,0,0,0.0,1.0,False,0.0015625,-0.1130467245426765,,-0.0015625,-0.11254348201507366,
connected_nodes,components,400,1,0,0.0025,1.0,False,0.0015625,-0.11975726797351917,,-0.0015625,-0.1239095046039481,
connected_nodes,degree,400,0,0,0.0,1.0,False,0.0015625,-0.110435654045543,,-0.0015625,-0.10911580482023941,
connected_nodes,none,400,1,1,0.0,1.0,False,0.0015625,-0.12339666775381979,,-0.0015625,-0.1239640383045188,
connected_nodes,rwse,400,1,0,0.0025,1.0,False,0.0015625,-0.10665601696262333,,-0.0015625,-0.11647459908496084,
cycle_check,all,371,0,4,-0.01078167115902965,0.125,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.025390835579514826,
cycle_check,clustering,373,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.02230563002680965,
cycle_check,components,351,0,3,-0.008547008547008548,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021652421652421653,
cycle_check,degree,308,0,36,-0.11688311688311688,2.9103830456733704e-11,True,,,,,,
cycle_check,none,341,0,1,-0.002932551319648094,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02287390029325513,
cycle_check,rwse,368,0,28,-0.07608695652173914,7.450580596923828e-09,True,,,,,,
edge_count,all,223,6,3,0.013452914798206279,0.5078125,False,0.03906250000000001,0.03811659192825112,,,-0.012825112107623318,MDE exceeds 1.0 at this power target
edge_count,clustering,252,0,1,-0.003968253968253968,1.0,False,0.028125,0.028174603174603175,,,-0.010873015873015873,MDE exceeds 1.0 at this power target
edge_count,components,230,1,2,-0.004347826086956522,1.0,False,0.03906250000000001,0.038,,,-0.00826086956521739,MDE exceeds 1.0 at this power target
edge_count,degree,269,14,2,0.04460966542750929,0.004180908203125,True,,,,,,
edge_count,none,224,3,2,0.004464285714285714,1.0,False,0.037500000000000006,0.03526785714285714,,,-0.01125,MDE exceeds 1.0 at this power target
edge_count,rwse,250,1,2,-0.004,1.0,False,0.034375,0.03488,,,-0.01208,MDE exceeds 1.0 at this power target
edge_existence,all,400,119,10,0.2725,7.8767353111993805e-25,True,,,,,,
edge_existence,clustering,400,87,9,0.195,3.640258907444359e-17,True,,,,,,
edge_existence,components,400,38,8,0.075,9.24769992138863e-06,True,,,,,,
edge_existence,degree,400,91,12,0.1975,3.4610428636474895e-16,True,,,,,,
edge_existence,none,400,73,10,0.1575,5.800664942039543e-13,True,,,,,,
edge_existence,rwse,399,96,12,0.21052631578947367,1.9577499834912437e-17,True,,,,,,
node_count,all,400,73,44,0.0725,0.009340760589436515,True,,,,,,
node_count,clustering,400,110,0,0.275,1.5407439555097887e-33,True,,,,,,
node_count,components,400,28,102,-0.185,4.425373846892057e-11,True,,,,,,
node_count,degree,400,7,139,-0.33,5.719725898594834e-33,True,,,,,,
node_count,none,400,2,161,-0.3975,2.2865181363073523e-45,True,,,,,,
node_count,rwse,400,25,176,-0.3775,3.7376088381330445e-29,True,,,,,,
node_degree,all,400,74,31,0.1075,3.275535268744219e-05,True,,,,,,
node_degree,clustering,400,55,41,0.035,0.18428587288036472,False,0.06875,0.0687,,-0.07187500000000001,-0.0692,
node_degree,components,400,39,30,0.0225,0.33555761823401514,False,0.065625,0.0685,,-0.05625,-0.06335,
node_degree,degree,400,61,29,0.08,0.0009727607079513675,True,,,,,,
node_degree,none,400,34,32,0.005,0.9021585000966993,False,0.059375,0.05955,,-0.059375,-0.05925,
node_degree,rwse,399,53,34,0.047619047619047616,0.05300311301096222,False,0.07187500000000001,0.07258145363408522,,-0.065625,-0.06847117794486215,
