task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,400,0,1,-0.0025,1.0,False,0.0001953125,-0.09447419431632982,,-0.0001953125,-0.09375422277095088,
connected_nodes,clustering,400,0,1,-0.0025,1.0,False,0.0001953125,-0.07766007099335955,,-0.0001953125,-0.07652481760224923,
connected_nodes,components,400,0,0,0.0,1.0,False,0.0001953125,-0.05892528158561858,,-0.0001953125,-0.06183706469417637,
connected_nodes,degree,400,0,1,-0.0025,1.0,False,0.0001953125,-0.0925154824361413,,-0.0001953125,-0.0915569616102741,
connected_nodes,filler,400,0,1,-0.0025,1.0,False,0.0001953125,-0.11898145840355824,,-0.0001953125,-0.11626009945041813,
connected_nodes,rwse,400,0,1,-0.0025,1.0,False,0.0001953125,-0.08301247479201608,,-0.0001953125,-0.0854924146135534,
cycle_check,all,395,1,3,-0.005063291139240506,0.625,False,,0.0023417721518987343,MDE exceeds 1.0 at this power target,-0.020117187500000005,-0.0200126582278481,
cycle_check,clustering,395,1,0,0.002531645569620253,1.0,False,,0.0027721518987341774,MDE exceeds 1.0 at this power target,-0.020898437500000002,-0.020696202531645568,
cycle_check,components,391,1,6,-0.01278772378516624,0.125,False,,0.0025703324808184144,MDE exceeds 1.0 at this power target,-0.020507812500000003,-0.02049872122762148,
cycle_check,degree,391,0,6,-0.015345268542199489,0.03125,False,,0.002659846547314578,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01956521739130435,
cycle_check,filler,392,0,1,-0.002551020408163265,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.019140625,-0.020127551020408162,
cycle_check,rwse,392,1,0,0.002551020408163265,1.0,False,,0.0025637755102040816,MDE exceeds 1.0 at this power target,-0.020507812500000003,-0.021364795918367346,
edge_count,all,397,21,6,0.037783375314861464,0.005924612283706665,True,,,,,,
edge_count,clustering,399,3,8,-0.012531328320802004,0.2265625,False,0.022851562500000002,0.02362155388471178,,-0.02734375,-0.01967418546365915,
edge_count,components,397,2,7,-0.012594458438287154,0.1796875,False,0.0220703125,0.022115869017632243,,-0.022656250000000003,-0.018765743073047857,
edge_count,degree,393,114,5,0.27735368956743,5.743453631889443e-28,True,,,,,,
edge_count,filler,400,10,5,0.0125,0.3017578125,False,0.0275390625,0.0272125,,-0.03710937500000001,-0.0205375,
edge_count,rwse,398,1,7,-0.01507537688442211,0.0703125,False,0.019531250000000003,0.020439698492462313,,-0.022265625000000004,-0.018567839195979898,
edge_existence,all,399,15,54,-0.09774436090225563,2.612848003590018e-06,True,,,,,,
edge_existence,clustering,400,28,12,0.04,0.01658900337497471,True,,,,,,
edge_existence,components,400,16,27,-0.0275,0.12628947438543037,False,0.043750000000000004,0.0435,,-0.046484375,-0.0470625,
edge_existence,degree,398,15,32,-0.04271356783919598,0.01862383661500644,True,,,,,,
edge_existence,filler,400,14,42,-0.07,0.00023444586091919684,True,,,,,,
edge_existence,rwse,400,13,53,-0.1,7.237175237417024e-07,True,,,,,,
node_count,all,400,39,0,0.0975,3.637978807091713e-12,True,,,,,,
node_count,clustering,400,38,3,0.0875,1.0479197953827679e-08,True,,,,,,
node_count,components,400,37,1,0.09,2.837623469531536e-10,True,,,,,,
node_count,degree,400,37,5,0.08,4.4337048166198656e-07,True,,,,,,
node_count,filler,400,37,0,0.0925,1.4551915228366852e-11,True,,,,,,
node_count,rwse,400,39,2,0.0925,7.839844329282641e-10,True,,,,,,
node_degree,all,400,2,34,-0.08,1.941225491464138e-08,True,,,,,,
node_degree,clustering,400,3,5,-0.005,0.7265625,False,,0.0074125,MDE exceeds 1.0 at this power target,-0.019726562500000003,-0.0197875,
node_degree,components,400,1,0,0.0025,1.0,False,,0.007625,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.0193625,
node_degree,degree,400,3,29,-0.065,2.5560148060321808e-06,True,,,,,,
node_degree,filler,400,3,5,-0.005,0.7265625,False,,0.00755,MDE exceeds 1.0 at this power target,-0.019531250000000003,-0.0196875,
node_degree,rwse,400,2,11,-0.0225,0.0224609375,True,,,,,,
