arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,within_graph_icc,delta,ci_low,ci_high,p_value,n_perm,seed,bh_significant,near_threshold,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/excluded,600,300,0.0,1.0,0.0,False,False,0.43333333333333335,-0.03333333333333333,0.013333333333333334,-0.07650765076507654,-0.01,-0.03333333333333333,0.011666666666666667,0.47417629118544075,20000.0,1234:main_sweep:qwen3-1.7b:excluded:clustering,False,False,,,,,,False,
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/excluded,600,300,0.0,1.0,0.0,False,False,0.43333333333333335,-0.01,0.0033333333333333335,0.0014610728449175017,-0.0033333333333333335,-0.021666666666666667,0.015,0.8585070746462676,20000.0,1234:main_sweep:qwen3-1.7b:excluded:components,False,False,,,,,,False,
main_sweep,qwen3-1.7b,exact,degree,,False,excluded,main_sweep/qwen3-1.7b/excluded,600,300,0.0,5.0,0.0,False,False,0.43333333333333335,0.0033333333333333335,0.02,-0.052816901408450585,0.011666666666666667,-0.016666666666666666,0.03833333333333333,0.47392630368481575,20000.0,1234:main_sweep:qwen3-1.7b:excluded:degree,False,False,,,,,,False,
main_sweep,qwen3-1.7b,exact,filler,,False,excluded,main_sweep/qwen3-1.7b/excluded,600,300,0.0,1.0,0.0,False,False,0.43333333333333335,-0.05333333333333334,-0.013333333333333334,-0.01445997253413032,-0.03333333333333333,-0.055,-0.013333333333333334,0.0030998450077496125,20000.0,1234:main_sweep:qwen3-1.7b:excluded:filler,True,False,,,,,,True,
main_sweep,qwen3-1.7b,exact,rwse,,False,excluded,main_sweep/qwen3-1.7b/excluded,600,300,0.0,1.0,0.0,False,False,0.43333333333333335,-0.05333333333333334,0.01,-0.05174704916751347,-0.021666666666666667,-0.041666666666666664,-0.0016666666666666668,0.06149692515374231,20000.0,1234:main_sweep:qwen3-1.7b:excluded:rwse,False,False,,,,,,False,
main_sweep,qwen3-1.7b,exact,all,,True,excluded,main_sweep/qwen3-1.7b/excluded/derived,600,300,0.0,1.0,0.0,False,False,0.43333333333333335,0.02666666666666667,0.06666666666666667,-0.01493550577053638,0.04666666666666667,0.018333333333333333,0.075,0.0024998750062496873,20000.0,1234:main_sweep:qwen3-1.7b:excluded:all,True,False,,,,,,,
main_sweep,qwen3-4b,exact,clustering,,False,excluded,main_sweep/qwen3-4b/excluded,600,300,0.0,0.0,0.0,False,False,0.275,0.05333333333333334,0.11333333333333333,-0.022450193279809644,0.08333333333333333,0.05333333333333334,0.115,4.999750012499375e-05,20000.0,1234:main_sweep:qwen3-4b:excluded:clustering,True,False,,,,,,True,
main_sweep,qwen3-4b,exact,components,,False,excluded,main_sweep/qwen3-4b/excluded,600,300,0.0,1.0,0.0,False,False,0.275,-0.03333333333333333,-0.01,-0.00220395794113596,-0.021666666666666667,-0.05,0.005,0.16204189790510473,20000.0,1234:main_sweep:qwen3-4b:excluded:components,False,False,,,,,,False,
main_sweep,qwen3-4b,exact,degree,,False,excluded,main_sweep/qwen3-4b/excluded,600,300,0.0,1.0,0.0,False,False,0.275,-0.03333333333333333,0.09333333333333334,-0.013869880502502216,0.03,-0.011666666666666667,0.07166666666666667,0.17854107294635269,20000.0,1234:main_sweep:qwen3-4b:excluded:degree,False,False,,,,,,False,
main_sweep,qwen3-4b,exact,filler,,False,excluded,main_sweep/qwen3-4b/excluded,600,300,0.0,0.0,0.0,False,False,0.275,-0.06333333333333334,0.02,-0.0020020020020018645,-0.021666666666666667,-0.05,0.006666666666666667,0.16989150542472875,20000.0,1234:main_sweep:qwen3-4b:excluded:filler,False,False,,,,,,False,
main_sweep,qwen3-4b,exact,rwse,,False,excluded,main_sweep/qwen3-4b/excluded,600,300,0.0,0.0,0.0,False,False,0.275,-0.006666666666666667,0.07666666666666666,-0.04965437371068726,0.035,0.005,0.065,0.03239838008099595,20000.0,1234:main_sweep:qwen3-4b:excluded:rwse,False,False,,,,,,False,
main_sweep,qwen3-4b,exact,all,,True,excluded,main_sweep/qwen3-4b/excluded/derived,600,300,0.0,1.0,0.0,False,False,0.275,-0.21333333333333335,-0.023333333333333334,-0.05268046135902199,-0.11833333333333333,-0.15666666666666668,-0.07833333333333334,4.999750012499375e-05,20000.0,1234:main_sweep:qwen3-4b:excluded:all,True,False,,,,,,,
main_sweep,pooled across all models,exact,clustering,,False,excluded,main_sweep/pooled across all models/excluded,1200,600,0.0,1.0,0.0,False,False,0.4208333333333333,0.03333333333333333,0.04,-0.02419187134638057,0.03666666666666667,0.0175,0.056666666666666664,0.00039998000099995,20000.0,1234:main_sweep:pooled across all models:excluded:clustering,True,False,,,,,,,
main_sweep,pooled across all models,exact,components,,False,excluded,main_sweep/pooled across all models/excluded,1200,600,0.0,2.0,0.0,False,False,0.4208333333333333,-0.021666666666666667,-0.0033333333333333335,-0.0009548818333731005,-0.0125,-0.029166666666666667,0.004166666666666667,0.17229138543072847,20000.0,1234:main_sweep:pooled across all models:excluded:components,False,False,,,,,,,
main_sweep,pooled across all models,exact,degree,,False,excluded,main_sweep/pooled across all models/excluded,1200,600,0.0,6.0,0.0,False,False,0.4208333333333333,-0.006666666666666667,0.04833333333333333,-0.026509984961354063,0.020833333333333332,-0.004166666666666667,0.04583333333333333,0.11399430028498575,20000.0,1234:main_sweep:pooled across all models:excluded:degree,False,False,,,,,,,
main_sweep,pooled across all models,exact,filler,,False,excluded,main_sweep/pooled across all models/excluded,1200,600,0.0,1.0,0.0,False,False,0.4208333333333333,-0.03833333333333333,-0.016666666666666666,-0.006850669529351993,-0.0275,-0.045,-0.009166666666666667,0.00279986000699965,20000.0,1234:main_sweep:pooled across all models:excluded:filler,True,False,,,,,,,
main_sweep,pooled across all models,exact,rwse,,False,excluded,main_sweep/pooled across all models/excluded,1200,600,0.0,1.0,0.0,False,False,0.4208333333333333,0.0016666666666666668,0.011666666666666667,-0.04369485993349442,0.006666666666666667,-0.011666666666666667,0.025,0.5422228888555573,20000.0,1234:main_sweep:pooled across all models:excluded:rwse,False,False,,,,,,,
main_sweep,pooled across all models,exact,all,,True,excluded,main_sweep/pooled across all models/excluded/derived,1200,600,0.0,2.0,0.0,False,False,0.4208333333333333,-0.09333333333333334,0.021666666666666667,-0.005547342387775085,-0.035833333333333335,-0.060833333333333336,-0.01,0.0058497075146242685,20000.0,1234:main_sweep:pooled across all models:excluded:all,True,False,,,,,,,
main_sweep,qwen3-1.7b,exact,clustering,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,300,300,,,,,,,,,,0.013333333333333334,-0.01,0.04,0.42427878606069697,,,False,,,,,,,False,edge_existence
main_sweep,qwen3-1.7b,exact,components,,False,excluded,main_sweep/qwen3-1.7b/task/edge_existence,300,300,,,,,,,,,,-0.01,,,0.24828758562071895,,,False,,,,,,,False,edge_existence
