arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/excluded,3000,3000,0.0,36.0,2.0,False,False,0.135,0.002,0.32,0.06666666666666667,0.05533333333333333,0.07833333333333334,9.999000099990002e-05,True,,,,,,True,,,
main_sweep,pooled across all models,exact,degree,exploratory,False,excluded,main_sweep/pooled across all models/excluded,3000,3000,0.0,36.0,2.0,False,False,0.135,0.002,0.32,0.06666666666666667,0.055,0.07833333333333334,9.999000099990002e-05,True,,,,,,,,,
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/task/connected_nodes,500,500,,,,,,,,,0.012,-0.02,0.044,0.5516448355164484,False,,,,,,False,connected_nodes,,
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/task/cycle_check,500,500,,,,,,,,,0.046,0.02,0.072,0.0006999300069993001,True,,,,,,True,cycle_check,,
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/task/edge_count,500,500,,,,,,,,,0.32,0.272,0.368,9.999000099990002e-05,True,,,,,,True,edge_count,,
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/task/edge_existence,500,500,,,,,,,,,0.006,0.0,0.014,0.25277472252774724,False,,,,,,False,edge_existence,,
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/task/node_count,500,500,,,,,,,,,0.002,-0.004,0.01,1.0,False,,,,,,False,node_count,,
main_sweep,qwen3-8b,exact,degree,confirmatory,False,excluded,main_sweep/qwen3-8b/task/node_degree,500,500,,,,,,,,,0.014,0.004,0.026,0.0397960203979602,True,,,,,,False,node_degree,,
main_sweep,qwen3-8b,mae,degree,exploratory,False,excluded,mae/qwen3-8b/node_count,500,500,,,,,,,,,,-0.004,0.014,0.7550244975502449,False,,,,,,False,node_count,0.0,0.004
main_sweep,qwen3-8b,mae,degree,exploratory,False,excluded,mae/qwen3-8b/edge_count,500,500,,,,,,,,,,-0.04,2.412,0.05039496050394961,False,,,,,,False,edge_count,25.0,1.236
main_sweep,qwen3-8b,mae,degree,exploratory,False,excluded,mae/qwen3-8b/node_degree,500,500,,,,,,,,,,0.016,0.18,0.0143985601439856,True,,,,,,True,node_degree,0.0,0.086
