instance_id,task,condition,style,gold,model,model_family,is_think,node_naming,predicted,predicted_first,looped_on_correct_answer,parsed,exact,primary,truncated_but_correct,truncated_but_partial_credit,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/0,node_count,filler,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,integer,18,0,,True,1.0,1.0,False,False,0.0,False,generator,600,revised,False,1.0,1249,correct,False
node_count/2,node_count,filler,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,integer,9,0,,True,1.0,1.0,False,False,0.0,False,generator,526,revised,False,1.0,1322,correct,False
node_count/4,node_count,filler,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,integer,8,0,,True,1.0,1.0,False,False,0.0,False,generator,800,revised,True,1.0,1875,correct,False
node_count/6,node_count,filler,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,integer,19,0,,True,1.0,1.0,False,False,0.0,False,generator,744,revised,False,1.0,1719,correct,False
node_count/8,node_count,filler,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,integer,18,0,,True,1.0,1.0,False,False,0.0,False,generator,799,revised,False,1.0,1637,correct,False
node_count/10,node_count,filler,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,integer,9,0,,True,1.0,1.0,False,False,0.0,False,generator,720,revised,False,1.0,1543,correct,False
node_count/12,node_count,filler,zero_shot, 12.,gemma4-12b-think,gemma4-12b,True,integer,12,0,,True,1.0,1.0,False,False,0.0,False,generator,610,revised,False,1.0,1429,correct,False
node_count/14,node_count,filler,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,integer,9,0,,True,1.0,1.0,False,False,0.0,False,generator,439,revised,False,1.0,1024,correct,False
node_count/16,node_count,filler,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,integer,18,0,,True,1.0,1.0,False,False,0.0,False,generator,1233,revised,False,1.0,2151,correct,False
node_count/18,node_count,filler,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,integer,14,0,,True,1.0,1.0,False,False,0.0,False,generator,570,revised,False,1.0,1187,correct,False
node_count/20,node_count,filler,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,integer,14,0,,True,1.0,1.0,False,False,0.0,False,generator,691,revised,False,1.0,1353,correct,False
node_count/22,node_count,filler,zero_shot, 14.,gemma4-12b-think,gemma4-12b,True,integer,14,0,,True,1.0,1.0,False,False,0.0,False,generator,776,revised,False,1.0,2113,correct,False
node_count/24,node_count,filler,zero_shot, 10.,gemma4-12b-think,gemma4-12b,True,integer,10,0,,True,1.0,1.0,False,False,0.0,False,generator,589,revised,False,1.0,1420,correct,False
node_count/26,node_count,filler,zero_shot, 13.,gemma4-12b-think,gemma4-12b,True,integer,13,0,,True,1.0,1.0,False,False,0.0,False,generator,498,revised,False,1.0,1087,correct,False
node_count/28,node_count,filler,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,integer,19,0,,True,1.0,1.0,False,False,0.0,False,generator,682,revised,False,1.0,1334,correct,False
edge_count/0,edge_count,filler,zero_shot, 115.,gemma4-12b-think,gemma4-12b,True,integer,17,0,False,True,0.0,0.0,False,False,98.0,True,generator,8192,revised,False,0.018,12320,non_terminating,False
edge_count/2,edge_count,filler,zero_shot, 2.,gemma4-12b-think,gemma4-12b,True,integer,2,0,,True,1.0,1.0,False,False,0.0,False,generator,714,revised,False,0.018,1806,correct,False
edge_count/4,edge_count,filler,zero_shot, 11.,gemma4-12b-think,gemma4-12b,True,integer,5,0,False,True,0.0,0.0,False,False,6.0,True,generator,8192,revised,False,0.018,17750,non_terminating,False
edge_count/6,edge_count,filler,zero_shot, 37.,gemma4-12b-think,gemma4-12b,True,integer,37,0,,True,1.0,1.0,False,False,0.0,False,generator,7835,revised,False,0.018,13889,correct,False
edge_count/8,edge_count,filler,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,integer,7,0,False,True,0.0,0.0,False,False,25.0,True,generator,8192,revised,False,0.018,13017,non_terminating,False
edge_count/10,edge_count,filler,zero_shot, 36.,gemma4-12b-think,gemma4-12b,True,integer,36,0,,True,1.0,1.0,False,False,0.0,False,generator,1438,revised,False,0.018,3153,correct,False
edge_count/12,edge_count,filler,zero_shot, 51.,gemma4-12b-think,gemma4-12b,True,integer,3,0,False,True,0.0,0.0,False,False,48.0,True,generator,8192,revised,False,0.018,15336,non_terminating,False
edge_count/14,edge_count,filler,zero_shot, 3.,gemma4-12b-think,gemma4-12b,True,integer,3,0,,True,1.0,1.0,False,False,0.0,False,generator,804,revised,False,0.018,1974,correct,False
edge_count/16,edge_count,filler,zero_shot, 45.,gemma4-12b-think,gemma4-12b,True,integer,15,0,False,True,0.0,0.0,False,False,30.0,True,generator,8192,revised,False,0.018,13093,non_terminating,False
edge_count/18,edge_count,filler,zero_shot, 65.,gemma4-12b-think,gemma4-12b,True,integer,-9,0,False,True,0.0,0.0,False,False,74.0,True,generator,8192,revised,False,0.018,11743,non_terminating,False
edge_count/20,edge_count,filler,zero_shot, 37.,gemma4-12b-think,gemma4-12b,True,integer,6,0,False,True,0.0,0.0,False,False,31.0,True,generator,8192,revised,False,0.018,14880,non_terminating,False
edge_count/22,edge_count,filler,zero_shot, 5.,gemma4-12b-think,gemma4-12b,True,integer,5,0,,True,1.0,1.0,False,False,0.0,False,generator,1805,revised,False,0.018,3655,correct,False
edge_count/24,edge_count,filler,zero_shot, 32.,gemma4-12b-think,gemma4-12b,True,integer,6,0,False,True,0.0,0.0,False,False,26.0,True,generator,8192,revised,False,0.018,17380,non_terminating,False
edge_count/26,edge_count,filler,zero_shot, 76.,gemma4-12b-think,gemma4-12b,True,integer,11,0,False,True,0.0,0.0,False,False,65.0,True,generator,8192,revised,False,0.018,14955,non_terminating,False
edge_count/28,edge_count,filler,zero_shot, 35.,gemma4-12b-think,gemma4-12b,True,integer,6,0,False,True,0.0,0.0,False,False,29.0,True,generator,8192,revised,False,0.018,13958,non_terminating,False
node_degree/0,node_degree,filler,zero_shot,13.,gemma4-12b-think,gemma4-12b,True,integer,13,14,,True,1.0,1.0,False,False,0.0,False,generator,3469,revised,False,0.082,5358,correct,False
node_degree/2,node_degree,filler,zero_shot,0.,gemma4-12b-think,gemma4-12b,True,integer,0,0,,True,1.0,1.0,False,False,0.0,False,generator,464,revised,False,0.082,1402,correct,False
node_degree/4,node_degree,filler,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,integer,4,0,,True,1.0,1.0,False,False,0.0,False,generator,630,revised,False,0.082,1551,correct,False
node_degree/6,node_degree,filler,zero_shot,6.,gemma4-12b-think,gemma4-12b,True,integer,6,3,,True,1.0,1.0,False,False,0.0,False,generator,894,revised,False,0.082,1701,correct,False
node_degree/8,node_degree,filler,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,integer,2,7,,True,1.0,1.0,False,False,0.0,False,generator,658,revised,False,0.082,1483,correct,False
node_degree/10,node_degree,filler,zero_shot,8.,gemma4-12b-think,gemma4-12b,True,integer,8,0,,True,1.0,1.0,False,False,0.0,False,generator,812,revised,False,0.082,1884,correct,False
node_degree/12,node_degree,filler,zero_shot,10.,gemma4-12b-think,gemma4-12b,True,integer,10,5,,True,1.0,1.0,False,False,0.0,False,generator,1093,revised,False,0.082,2006,correct,False
node_degree/14,node_degree,filler,zero_shot,2.,gemma4-12b-think,gemma4-12b,True,integer,2,0,,True,1.0,1.0,False,False,0.0,False,generator,671,revised,False,0.082,1821,correct,False
node_degree/16,node_degree,filler,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,integer,4,2,,True,1.0,1.0,False,False,0.0,False,generator,1223,revised,False,0.082,2339,correct,False
node_degree/18,node_degree,filler,zero_shot,9.,gemma4-12b-think,gemma4-12b,True,integer,9,11,,True,1.0,1.0,False,False,0.0,False,generator,1809,revised,False,0.082,2802,correct,False
node_degree/20,node_degree,filler,zero_shot,4.,gemma4-12b-think,gemma4-12b,True,integer,4,13,,True,1.0,1.0,False,False,0.0,False,generator,1165,revised,False,0.082,2197,correct,False
