model,condition,task,n_clusters,delta,ci_low,ci_high,p_value,shortcut_ceiling_treatment,shortcut_ceiling_control,shortcut_flag
qwen3-8b,degree,edge_count,30,0.3666666666666666,0.1666666666666666,0.5666666666666667,0.0029990003332222,1.0,0.018,shortcut
qwen3-14b,degree,edge_count,30,0.3,0.1,0.5,0.0193268910363212,1.0,0.018,shortcut
gemma4-12b,degree,edge_count,30,0.1666666666666666,0.0333333333333333,0.3,0.0619793402199266,1.0,0.018,shortcut
gemma4-e4b,components,node_degree,30,-0.1333333333333333,-0.2666666666666666,-0.0333333333333333,0.1259580139953348,0.082,0.082,none
gemma4-12b,clustering,edge_count,30,0.1,0.0,0.2333333333333333,0.262912362545818,0.148,0.018,partial
qwen3-8b,components,edge_count,30,0.1,-0.0666666666666666,0.2666666666666666,0.4465178273908697,0.018,0.018,none
qwen3-8b,clustering,edge_count,30,0.1,-0.0666666666666666,0.2666666666666666,0.4528490503165611,0.148,0.018,partial
qwen3-14b,components,edge_existence,30,-0.0666666666666666,-0.1666666666666666,0.0,0.4905031656114628,0.498,0.498,none
qwen3-8b,degree,connected_nodes,30,0.0666666666666666,0.0,0.1666666666666666,0.497834055314895,0.208,0.082,partial
gemma4-e4b,clustering,cycle_check,30,0.0666666666666666,0.0,0.1666666666666666,0.497834055314895,0.832,0.832,partial
gemma4-e4b,components,cycle_check,30,0.0666666666666666,0.0,0.1666666666666666,0.4995001666111296,1.0,0.832,shortcut
qwen3-8b,clustering,connected_nodes,30,0.0666666666666666,0.0,0.1666666666666666,0.5014995001666112,0.082,0.082,none
qwen3-8b,filler,edge_existence,30,-0.0666666666666666,-0.1666666666666666,0.0,0.502165944685105,0.498,0.498,none
qwen3-14b,rwse,cycle_check,30,-0.0666666666666666,-0.1666666666666666,0.0,0.5158280573142285,0.832,0.832,partial
gemma4-12b,filler,edge_count,30,0.0666666666666666,0.0,0.1666666666666666,0.5168277240919693,0.018,0.018,none
qwen3-14b,filler,edge_count,30,-0.0666666666666666,-0.2,0.0666666666666666,0.6177940686437854,0.018,0.018,none
qwen3-8b,rwse,edge_count,30,0.0666666666666666,-0.1,0.2333333333333333,0.6754415194935022,0.018,0.018,none
gemma4-e4b,components,edge_count,30,-0.0666666666666666,-0.2333333333333333,0.1333333333333333,0.728423858713762,0.018,0.018,none
gemma4-e4b,degree,edge_count,30,0.0666666666666666,-0.1666666666666666,0.2666666666666666,0.7664111962679107,1.0,0.018,shortcut
gemma4-12b,components,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
gemma4-12b,clustering,node_count,30,0.0,0.0,0.0,1.0,1.0,0.064,shortcut
gemma4-12b,degree,edge_existence,30,0.0,0.0,0.0,1.0,0.794,0.498,partial
gemma4-12b,filler,edge_existence,30,0.0,0.0,0.0,1.0,0.498,0.498,none
gemma4-12b,rwse,edge_existence,30,0.0,0.0,0.0,1.0,0.642,0.498,partial
gemma4-12b,degree,cycle_check,30,0.0,0.0,0.0,1.0,0.946,0.832,partial
gemma4-12b,components,cycle_check,30,0.0,0.0,0.0,1.0,1.0,0.832,shortcut
gemma4-12b,clustering,cycle_check,30,0.0,0.0,0.0,1.0,0.832,0.832,partial
gemma4-12b,clustering,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,rwse,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,components,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,degree,connected_nodes,30,0.0,0.0,0.0,1.0,0.208,0.082,partial
gemma4-12b,filler,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,components,connected_nodes,30,0.0333333333333333,0.0,0.1,1.0,0.082,0.082,none
gemma4-e4b,clustering,connected_nodes,30,0.0333333333333333,0.0,0.1,1.0,0.082,0.082,none
gemma4-12b,rwse,node_degree,30,0.0,0.0,0.0,1.0,0.616,0.082,partial
gemma4-12b,filler,node_degree,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-12b,degree,node_degree,30,-0.0333333333333333,-0.1,0.0,1.0,1.0,0.082,shortcut
gemma4-e4b,rwse,connected_nodes,30,0.0,0.0,0.0,1.0,0.082,0.082,none
gemma4-e4b,filler,connected_nodes,30,-0.0333333333333333,-0.1666666666666666,0.0666666666666666,1.0,0.082,0.082,none
gemma4-e4b,degree,cycle_check,30,0.0333333333333333,-0.0666666666666666,0.1666666666666666,1.0,0.946,0.832,partial
gemma4-e4b,rwse,cycle_check,30,-0.0333333333333333,-0.1666666666666666,0.0666666666666666,1.0,0.832,0.832,partial
