label,n_clusters,delta,ci_low,ci_high,p_value,bh_significant
ALL,3000,0.06466666666666666,0.05333333333333334,0.07633333333333334,9.999000099990002e-05,
task=connected_nodes,500,0.012,-0.02,0.044,0.5394460553944606,False
task=cycle_check,500,0.034,0.01,0.058,0.006299370062993701,True
task=edge_count,500,0.32,0.272,0.368,9.999000099990002e-05,True
task=edge_existence,500,0.006,0.0,0.014,0.2526747325267473,False
task=node_count,500,0.002,-0.004,0.01,1.0,False
task=node_degree,500,0.014,0.004,0.026,0.035396460353964605,True
has_isolated_node=False,2226,0.05525606469002695,0.042228212039532795,0.06828391734052111,9.999000099990002e-05,True
has_isolated_node=True,774,0.0917312661498708,0.06718346253229975,0.11757105943152454,9.999000099990002e-05,True
is_forest=False,2496,0.057291666666666664,0.04567307692307692,0.06931089743589744,9.999000099990002e-05,True
is_forest=True,504,0.10119047619047619,0.06746031746031746,0.1349206349206349,9.999000099990002e-05,True
is_bipartite=False,2448,0.056372549019607844,0.04411764705882353,0.06862745098039216,9.999000099990002e-05,True
is_bipartite=True,552,0.10144927536231885,0.07065217391304347,0.13405797101449277,9.999000099990002e-05,True
size_bucket=small,912,0.049342105263157895,0.03289473684210526,0.0668859649122807,9.999000099990002e-05,True
size_bucket=medium,1038,0.04816955684007707,0.028901734104046242,0.0674373795761079,9.999000099990002e-05,True
size_bucket=large,1050,0.09428571428571429,0.07238095238095238,0.11714285714285715,9.999000099990002e-05,True
degree_std=low,1002,0.06287425149700598,0.04291417165668663,0.08283433133732535,9.999000099990002e-05,True
degree_std=mid,996,0.05220883534136546,0.03313253012048193,0.071285140562249,9.999000099990002e-05,True
degree_std=high,1002,0.07884231536926148,0.05888223552894212,0.0998003992015968,9.999000099990002e-05,True
density=low,1038,0.08092485549132948,0.05973025048169557,0.10211946050096339,9.999000099990002e-05,True
density=mid,966,0.061076604554865424,0.042443064182194616,0.08074534161490683,9.999000099990002e-05,True
density=high,996,0.05120481927710843,0.0321285140562249,0.071285140562249,9.999000099990002e-05,True
