task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,375,0,0,0.0,1.0,False,,0.003957650022492128,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021183366621682412,
connected_nodes,clustering,373,0,0,0.0,1.0,False,,0.001860351021914448,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02038051614910652,
connected_nodes,components,377,0,0,0.0,1.0,False,,0.00359635878105793,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.018452725365750638,
connected_nodes,degree,376,0,0,0.0,1.0,False,,0.0034636227900505614,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020759730564321826,
connected_nodes,filler,379,0,0,0.0,1.0,False,,0.002988484181651798,MDE exceeds 1.0 at this power target,-0.0234375,-0.023818024497374597,
connected_nodes,rwse,379,0,0,0.0,1.0,False,,0.00278561802961192,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021511842598913835,
cycle_check,all,392,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021326530612244897,
cycle_check,clustering,394,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022588832487309644,
cycle_check,components,381,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02131233595800525,
cycle_check,degree,375,0,3,-0.008,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020853333333333335,
cycle_check,filler,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022727272727272728,
cycle_check,rwse,395,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.02050632911392405,
edge_count,all,41,0,17,-0.4146341463414634,1.52587890625e-05,True,,,,,,
edge_count,clustering,59,2,1,0.01694915254237288,1.0,False,,0.03525423728813559,MDE exceeds 1.0 at this power target,-0.125,-0.12135593220338983,
edge_count,components,60,1,0,0.016666666666666666,1.0,False,,0.014666666666666666,MDE exceeds 1.0 at this power target,-0.13125,-0.13533333333333333,
edge_count,degree,34,0,8,-0.23529411764705882,0.0078125,True,,,,,,
edge_count,filler,50,0,1,-0.02,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.15625000000000003,-0.1636,
edge_count,rwse,49,1,1,0.0,1.0,False,,0.02122448979591837,MDE exceeds 1.0 at this power target,-0.16250000000000003,-0.16040816326530613,
edge_existence,all,394,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021725888324873096,
edge_existence,clustering,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022272727272727274,
edge_existence,components,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.02,
edge_existence,degree,398,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.02336683417085427,
edge_existence,filler,399,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.018646616541353384,
edge_existence,rwse,393,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02025445292620865,
node_count,all,400,2,0,0.005,0.5,False,,0.00455,MDE exceeds 1.0 at this power target,-0.0234375,-0.0233,
node_count,clustering,399,2,0,0.005012531328320802,0.5,False,,0.004912280701754386,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.019097744360902256,
node_count,components,400,2,2,0.0,1.0,False,,0.00525,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01905,
node_count,degree,399,2,0,0.005012531328320802,0.5,False,,0.005263157894736842,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02245614035087719,
node_count,filler,400,2,0,0.005,0.5,False,,0.0053,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.0196,
node_count,rwse,399,2,0,0.005012531328320802,0.5,False,,0.004962406015037594,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02080200501253133,
node_degree,all,383,0,3,-0.007832898172323759,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.02031331592689295,
node_degree,clustering,386,1,2,-0.0025906735751295338,1.0,False,,0.002901554404145078,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01849740932642487,
node_degree,components,380,0,1,-0.002631578947368421,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022,
node_degree,degree,388,1,1,0.0,1.0,False,,0.0023711340206185568,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020876288659793813,
node_degree,filler,386,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.019637305699481866,
node_degree,rwse,381,0,8,-0.02099737532808399,0.0078125,True,,,,,,
