arm,condition,metric,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-1.7b,filler,consistent,400,62.25000000000001,62.5,0.25,-4.5,4.750000000000001,46,45,1.0,1.0
qwen3-1.7b,components,consistent,400,62.25000000000001,63.24999999999999,1.0,-3.5000000000000004,5.500000000000001,47,43,0.7520332015985951,0.9251027891245378
qwen3-1.7b,clustering,consistent,400,62.25000000000001,67.0,4.75,-0.25624999999999803,10.25,68,49,0.09567271500960474,0.19134543001920948
qwen3-1.7b,rwse,consistent,400,62.25000000000001,63.24999999999999,1.0,-4.0,6.0,55,51,0.7709189909371148,0.9251027891245378
qwen3-1.7b,degree,consistent,400,62.25000000000001,73.0,10.75,5.75,15.75,76,33,4.655578894552281e-05,0.00027933473367313684
qwen3-1.7b,all,consistent,400,62.25000000000001,68.0,5.75,0.2500000000000002,11.250000000000002,76,53,0.05232353322391859,0.15697059967175578
qwen3-1.7b,filler,joint_success,400,54.0,52.0,-2.0,-5.75,1.7500000000000002,26,34,0.36629400670329104,0.4395528080439492
qwen3-1.7b,components,joint_success,400,54.0,54.50000000000001,0.5,-3.25,4.25,31,29,0.8974218269914307,0.8974218269914308
qwen3-1.7b,clustering,joint_success,400,54.0,57.99999999999999,4.0,-0.5000000000000004,8.75,55,39,0.12137111297242892,0.18205666945864338
qwen3-1.7b,rwse,joint_success,400,54.0,58.25,4.25,-0.25,8.75,51,34,0.08205429958748713,0.16410859917497425
qwen3-1.7b,degree,joint_success,400,54.0,62.5,8.5,4.25,12.75,58,24,0.00022196403499337815,0.001331784209960269
qwen3-1.7b,all,joint_success,400,54.0,61.75000000000001,7.75,2.7500000000000004,12.75,70,39,0.003854108187381302,0.011562324562143907
qwen3-1.7b,filler,consistent_wrong,400,8.25,10.5,2.25,-1.0000000000000002,5.75,29,20,0.2528697301676033,0.4199343577934087
qwen3-1.7b,components,consistent_wrong,400,8.25,8.75,0.5,-2.5,3.5000000000000004,20,18,0.8714146793645341,0.8714146793645341
qwen3-1.7b,clustering,consistent_wrong,400,8.25,9.0,0.75,-2.5,4.25,25,22,0.7708669945730263,0.8714146793645341
qwen3-1.7b,rwse,consistent_wrong,400,8.25,5.0,-3.25,-6.25,-0.2499999999999999,13,26,0.05325191409792752,0.3195114845875651
qwen3-1.7b,degree,consistent_wrong,400,8.25,10.5,2.25,-1.2499999999999998,5.75,30,21,0.2624375357110438,0.4199343577934087
qwen3-1.7b,all,consistent_wrong,400,8.25,6.25,-2.0,-5.25,1.0000000000000002,17,25,0.27995623852893914,0.4199343577934087
qwen3-1.7b-think,filler,consistent,400,81.0,77.25,-3.75,-8.0,0.5,31,46,0.11001559898513334,0.6600935939108
qwen3-1.7b-think,components,consistent,400,81.0,80.75,-0.25,-4.5,4.5,39,40,1.0,1.0
qwen3-1.7b-think,clustering,consistent,400,81.0,83.25,2.25,-2.0062499999999983,6.75,44,35,0.3681876338306311,0.7363752676612622
qwen3-1.7b-think,rwse,consistent,400,81.0,80.25,-0.75,-5.250000000000001,3.75,43,46,0.8322577540225791,1.0
qwen3-1.7b-think,degree,consistent,400,81.0,81.0,0.0,-4.75,4.75,47,47,1.0,1.0
qwen3-1.7b-think,all,consistent,400,81.0,83.5,2.5,-1.9999999999999998,7.000000000000001,47,37,0.3261341711919829,0.7363752676612622
qwen3-1.7b-think,filler,joint_success,400,71.0,69.5,-1.5,-5.0,2.0000000000000004,26,32,0.5118423084381691,0.7677634626572537
qwen3-1.7b-think,components,joint_success,400,71.0,71.75,0.75,-2.5,4.25,26,23,0.7754496546815659,0.8264047244491927
qwen3-1.7b-think,clustering,joint_success,400,71.0,72.75,1.7500000000000002,-2.2500000000000004,5.75,37,30,0.46381761789686937,0.7677634626572537
qwen3-1.7b-think,rwse,joint_success,400,71.0,71.75,0.75,-3.75,5.25,43,40,0.8264047244491927,0.8264047244491927
qwen3-1.7b-think,degree,joint_success,400,71.0,76.5,5.5,1.0000000000000002,10.0,56,34,0.026301665131122268,0.0789049953933668
qwen3-1.7b-think,all,joint_success,400,71.0,79.5,8.5,4.25,12.75,56,22,0.00014948153872377523,0.0008968892323426513
qwen3-1.7b-think,filler,consistent_wrong,400,10.0,7.75,-2.25,-5.250000000000001,0.7500000000000001,15,24,0.19959086691960698,0.399181733839214
qwen3-1.7b-think,components,consistent_wrong,400,10.0,9.0,-1.0,-4.0,2.0,17,21,0.6271025701571489,0.7525230841885786
qwen3-1.7b-think,clustering,consistent_wrong,400,10.0,10.5,0.5,-3.0,4.0,26,24,0.887724827340783,0.887724827340783
qwen3-1.7b-think,rwse,consistent_wrong,400,10.0,8.5,-1.5,-4.75,1.7562500000000227,19,25,0.4513808323961257,0.6770712485941885
qwen3-1.7b-think,degree,consistent_wrong,400,10.0,4.5,-5.5,-8.75,-2.25,11,33,0.0012600338162656044,0.003780101448796813
qwen3-1.7b-think,all,consistent_wrong,400,10.0,4.0,-6.0,-9.25,-3.0,10,34,0.00038813090293388086,0.002328785417603285
qwen3-4b,filler,consistent,400,87.0,75.5,-11.5,-16.0,-7.000000000000001,22,68,1.249258128763103e-06,6.113309583888338e-06
qwen3-4b,components,consistent,400,87.0,95.5,8.5,5.243750000000001,12.0,43,9,2.0377698612961126e-06,6.113309583888338e-06
qwen3-4b,clustering,consistent,400,87.0,89.5,2.5,-1.5,6.5,37,27,0.26043547657665356,0.3125225718919843
qwen3-4b,rwse,consistent,400,87.0,85.25,-1.7500000000000002,-6.0,2.25,33,40,0.48278855684402133,0.48278855684402133
qwen3-4b,degree,consistent,400,87.0,81.0,-6.0,-10.500000000000002,-1.5,31,55,0.012672513952314862,0.019008770928472293
qwen3-4b,all,consistent,400,87.0,80.0,-7.000000000000001,-11.250000000000002,-2.75,27,55,0.0026424928957725444,0.005284985791545089
qwen3-4b,filler,joint_success,400,85.75,72.5,-13.25,-18.0,-8.75,21,74,4.24989199238447e-08,2.549935195430682e-07
qwen3-4b,components,joint_success,400,85.75,95.0,9.25,6.000000000000001,12.75,44,7,1.2115257419509362e-07,3.6345772258528086e-07
qwen3-4b,clustering,joint_success,400,85.75,86.25,0.5,-3.5000000000000004,4.5,34,32,0.9021585000966994,0.9021585000966995
qwen3-4b,rwse,joint_success,400,85.75,83.75,-2.0,-6.25,2.25,33,41,0.4159851975073046,0.4991822370087656
qwen3-4b,degree,joint_success,400,85.75,76.5,-9.25,-13.750000000000002,-4.75,28,65,0.0001575707877910854,0.0003151415755821708
qwen3-4b,all,joint_success,400,85.75,77.5,-8.25,-12.756249999999996,-3.7500000000000004,27,60,0.0005243546737950249,0.0007865320106925373
