arm,task,control,condition,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-1.7b,connected_nodes,none,filler,400,72.5,66.25,-6.25,-10.25,-2.25,23,48,0.004065116124638666,0.024390696747831998
qwen3-1.7b,connected_nodes,none,components,400,72.5,73.25,0.75,-3.0,4.5,29,26,0.7877061896700431,0.7877061896700431
qwen3-1.7b,connected_nodes,none,clustering,400,72.5,73.75,1.25,-3.0062499999999983,5.499999999999999,41,36,0.6487911623106449,0.7877061896700431
qwen3-1.7b,connected_nodes,none,rwse,400,72.5,73.5,1.0,-3.25,5.499999999999999,41,37,0.7343420330298466,0.7877061896700431
qwen3-1.7b,connected_nodes,none,degree,400,72.5,76.0,3.5000000000000004,-0.49999999999999994,7.75,42,28,0.11960933562988493,0.35882800688965477
qwen3-1.7b,connected_nodes,none,all,400,72.5,74.5,2.0,-2.5,6.5,50,42,0.465707445773062,0.7877061896700431
qwen3-1.7b,connected_nodes,filler,none,400,66.25,72.5,6.25,2.25,10.25,48,23,0.004065116124638666,0.004065116124638666
qwen3-1.7b,connected_nodes,filler,components,400,66.25,73.25,7.000000000000001,2.7500000000000004,11.25,52,24,0.001761872002940625,0.00211424640352875
qwen3-1.7b,connected_nodes,filler,clustering,400,66.25,73.75,7.5,3.75,11.25,48,18,0.00028711844966164033,0.0007824191352172739
qwen3-1.7b,connected_nodes,filler,rwse,400,66.25,73.5,7.249999999999999,3.4937500000000017,11.0,48,19,0.000521612756811516,0.0007824191352172739
qwen3-1.7b,connected_nodes,filler,degree,400,66.25,76.0,9.75,5.75,13.750000000000002,54,15,2.612848003590018e-06,1.567708802154011e-05
qwen3-1.7b,connected_nodes,filler,all,400,66.25,74.5,8.25,4.0,12.5,59,26,0.0004471991792769285,0.0007824191352172739
qwen3-1.7b,cycle_check,none,filler,400,90.75,93.75,3.0,-0.5062499999999981,6.75,35,23,0.14800580076020603,0.22200870114030904
qwen3-1.7b,cycle_check,none,components,400,90.75,92.75,2.0,-1.5,5.5,30,22,0.3317497633694906,0.3980997160433887
qwen3-1.7b,cycle_check,none,clustering,400,90.75,99.25,8.5,5.75,11.250000000000002,36,2,5.398760549724102e-09,1.6196281649172306e-08
qwen3-1.7b,cycle_check,none,rwse,400,90.75,90.5,-0.25,-4.25,3.7500000000000004,33,34,1.0,1.0
qwen3-1.7b,cycle_check,none,degree,400,90.75,73.25,-17.5,-22.50625,-12.5,30,100,5.421168026537841e-10,3.252700815922705e-09
qwen3-1.7b,cycle_check,none,all,400,90.75,97.75,7.000000000000001,4.0,10.0,35,7,1.5097200957825409e-05,3.0194401915650818e-05
qwen3-1.7b,cycle_check,filler,none,400,93.75,90.75,-3.0,-6.75,0.75,23,35,0.14800580076020603,0.17760696091224723
qwen3-1.7b,cycle_check,filler,components,400,93.75,92.75,-1.0,-4.25,2.5,23,27,0.6718110337653656,0.6718110337653656
qwen3-1.7b,cycle_check,filler,clustering,400,93.75,99.25,5.5,3.25,8.0,24,2,1.049041748046875e-05,3.147125244140625e-05
qwen3-1.7b,cycle_check,filler,rwse,400,93.75,90.5,-3.25,-6.999999999999999,0.5000000000000001,22,35,0.11116111910399346,0.16674167865599018
qwen3-1.7b,cycle_check,filler,degree,400,93.75,73.25,-20.5,-25.5,-15.75,21,103,3.495517142189367e-14,2.09731028531362e-13
