arm,task,condition,n,success,exact,cap,f1
qwen3-1.7b,connected_nodes,all,400,0.745,0.745,0.0025,0.9626249528793099
qwen3-1.7b,connected_nodes,clustering,400,0.7375,0.7375,0.0,0.9724150125400035
qwen3-1.7b,connected_nodes,components,400,0.7325,0.7325,0.0,0.9716353641496941
qwen3-1.7b,connected_nodes,degree,400,0.76,0.76,0.0,0.9794238963572022
qwen3-1.7b,connected_nodes,filler,400,0.6625,0.6625,0.0,0.9624254922425276
qwen3-1.7b,connected_nodes,none,400,0.725,0.725,0.0,0.9720688334623715
qwen3-1.7b,connected_nodes,rwse,400,0.735,0.735,0.0,0.9702359915499151
qwen3-1.7b,cycle_check,all,400,0.9775,0.98,0.01,
qwen3-1.7b,cycle_check,clustering,400,0.9925,0.9925,0.0075,
qwen3-1.7b,cycle_check,components,400,0.9275,0.9375,0.065,
qwen3-1.7b,cycle_check,degree,400,0.7325,0.7325,0.1725,
qwen3-1.7b,cycle_check,filler,400,0.9375,0.94,0.0625,
qwen3-1.7b,cycle_check,none,400,0.9075,0.9225,0.09,
qwen3-1.7b,cycle_check,rwse,400,0.905,0.9175,0.0175,
qwen3-1.7b,edge_count,all,400,0.02,0.02,0.28,
qwen3-1.7b,edge_count,clustering,400,0.0075,0.0075,0.18,
qwen3-1.7b,edge_count,components,400,0.0025,0.0025,0.2725,
qwen3-1.7b,edge_count,degree,400,0.0425,0.0425,0.095,
qwen3-1.7b,edge_count,filler,400,0.0075,0.0075,0.2625,
qwen3-1.7b,edge_count,none,400,0.0125,0.0125,0.2975,
qwen3-1.7b,edge_count,rwse,400,0.005,0.005,0.18,
qwen3-1.7b,edge_existence,all,400,0.82,0.82,0.0,
qwen3-1.7b,edge_existence,clustering,400,0.7425,0.7425,0.0,
qwen3-1.7b,edge_existence,components,400,0.6225,0.6225,0.0,
qwen3-1.7b,edge_existence,degree,400,0.745,0.745,0.0,
qwen3-1.7b,edge_existence,filler,400,0.5475,0.5475,0.0,
qwen3-1.7b,edge_existence,none,400,0.705,0.705,0.0,
qwen3-1.7b,edge_existence,rwse,400,0.755,0.755,0.0025,
qwen3-1.7b,node_count,all,400,0.785,0.785,0.0,
qwen3-1.7b,node_count,clustering,400,0.9875,0.9875,0.0,
qwen3-1.7b,node_count,components,400,0.5275,0.5275,0.0,
qwen3-1.7b,node_count,degree,400,0.3825,0.3825,0.0,
qwen3-1.7b,node_count,filler,400,0.7125,0.7125,0.0,
qwen3-1.7b,node_count,none,400,0.315,0.315,0.0,
qwen3-1.7b,node_count,rwse,400,0.335,0.335,0.0,
qwen3-1.7b,node_degree,all,400,0.7075,0.7075,0.0,
qwen3-1.7b,node_degree,clustering,400,0.635,0.635,0.0,
qwen3-1.7b,node_degree,components,400,0.6225,0.6225,0.0,
qwen3-1.7b,node_degree,degree,400,0.68,0.68,0.0,
qwen3-1.7b,node_degree,filler,400,0.6,0.6,0.0,
qwen3-1.7b,node_degree,none,400,0.605,0.605,0.0,
qwen3-1.7b,node_degree,rwse,400,0.645,0.645,0.0025,
qwen3-1.7b-think,connected_nodes,all,400,0.85,0.85,0.0075,0.9743903640683272
qwen3-1.7b-think,connected_nodes,clustering,400,0.8075,0.81,0.0025,0.9855444806360655
qwen3-1.7b-think,connected_nodes,components,400,0.8125,0.815,0.01,0.9789496311938474
qwen3-1.7b-think,connected_nodes,degree,400,0.85,0.85,0.015,0.9667914250779446
