p,index,graph_id,n_edges,mean_degree,components,triangles,mean_clustering,target,target_degree,target_clustering,edge_u,edge_v,rwse_unique,rwse_modal_share,rwse_unique_4dp,rwse_unique_6dp,degree_unique,clustering_unique
0.1,0,p0.1/0,72,3.6,4,11,0.13839285714285715,16,2,1.0,16,11,31,0.075,36,36,8,9
0.1,1,p0.1/1,88,4.4,1,13,0.1163095238095238,5,3,0.3333333333333333,5,38,30,0.075,38,38,8,11
0.1,2,p0.1/2,52,2.6,4,4,0.08249999999999999,23,3,0.0,23,3,25,0.15,29,29,6,6
0.1,3,p0.1/3,86,4.3,2,8,0.07626984126984127,6,3,0.0,6,0,29,0.075,37,37,10,6
0.1,4,p0.1/4,80,4.0,1,10,0.07416666666666666,18,2,0.0,18,3,27,0.1,36,36,8,9
0.1,5,p0.1/5,80,4.0,2,11,0.08422619047619047,2,5,0.3,2,12,31,0.1,36,36,9,11
0.1,6,p0.1/6,77,3.85,2,10,0.07619047619047618,31,2,0.0,31,7,28,0.1,34,34,8,10
0.1,7,p0.1/7,79,3.95,3,10,0.11946428571428572,15,3,0.0,15,24,32,0.075,36,36,9,12
0.1,8,p0.1/8,85,4.25,1,12,0.10051587301587302,6,6,0.13333333333333333,6,28,31,0.05,39,39,9,11
0.1,9,p0.1/9,62,3.1,4,9,0.12904761904761902,4,4,0.16666666666666666,4,11,32,0.075,34,34,8,11
0.1,10,p0.1/10,87,4.35,1,14,0.1136309523809524,12,5,0.0,12,23,25,0.125,34,34,8,15
0.1,11,p0.1/11,88,4.4,1,7,0.06089285714285714,21,4,0.0,21,22,27,0.1,38,38,8,9
0.1,12,p0.1/12,75,3.75,1,12,0.13404761904761903,20,1,0.0,20,39,34,0.075,36,36,8,12
0.1,13,p0.1/13,84,4.2,1,13,0.11714285714285713,25,4,0.0,25,26,29,0.075,36,36,8,11
0.1,14,p0.1/14,75,3.75,1,11,0.11218253968253969,13,5,0.0,13,39,31,0.125,35,35,9,10
0.1,15,p0.1/15,85,4.25,2,15,0.08541666666666667,14,5,0.1,14,37,34,0.075,39,39,9,11
0.1,16,p0.1/16,70,3.5,1,4,0.08321428571428571,3,2,0.0,3,2,25,0.1,32,32,7,8
0.1,17,p0.1/17,76,3.8,3,6,0.0763095238095238,27,4,0.16666666666666666,27,1,29,0.075,38,38,9,9
0.1,18,p0.1/18,80,4.0,2,13,0.13845238095238094,2,4,0.0,2,9,30,0.075,38,38,8,8
0.1,19,p0.1/19,90,4.5,1,17,0.11768939393939393,23,4,0.3333333333333333,23,16,32,0.075,40,40,9,14
0.1,20,p0.1/20,76,3.8,1,5,0.04875,16,5,0.0,16,38,28,0.1,36,36,8,6
0.1,21,p0.1/21,73,3.65,3,12,0.10253968253968256,37,2,1.0,37,25,34,0.05,36,36,10,10
0.1,22,p0.1/22,100,5.0,2,26,0.17109126984126982,27,7,0.047619047619047616,27,23,30,0.075,40,40,11,15
0.1,23,p0.1/23,74,3.7,3,11,0.09999999999999998,38,1,0.0,38,20,31,0.1,35,35,9,9
0.1,24,p0.1/24,90,4.5,2,15,0.10533730158730159,9,4,0.0,9,7,29,0.075,39,39,10,12
0.1,25,p0.1/25,70,3.5,2,4,0.027337662337662338,27,6,0.06666666666666667,27,34,30,0.1,38,38,9,7
0.1,26,p0.1/26,87,4.35,2,21,0.15892857142857142,10,4,0.0,10,12,33,0.05,36,36,8,12
0.1,27,p0.1/27,88,4.4,1,16,0.12482142857142856,37,7,0.047619047619047616,37,21,32,0.075,38,38,8,13
0.1,28,p0.1/28,84,4.2,1,12,0.08456349206349205,1,6,0.06666666666666667,1,20,34,0.05,39,39,9,9
0.1,29,p0.1/29,88,4.4,2,18,0.13793650793650794,9,3,0.0,9,19,33,0.05,40,40,10,13
0.1,30,p0.1/30,71,3.55,1,4,0.058690476190476196,14,4,0.16666666666666666,14,35,29,0.1,33,33,7,8
0.1,31,p0.1/31,82,4.1,1,10,0.09573412698412698,30,2,0.0,30,15,31,0.075,36,36,9,9
0.1,32,p0.1/32,79,3.95,3,12,0.16726190476190478,11,7,0.19047619047619047,11,36,29,0.1,35,35,8,12
0.1,33,p0.1/33,73,3.65,3,7,0.07297619047619047,35,0,0.0,35,39,26,0.1,34,34,8,9
0.1,34,p0.1/34,92,4.6,2,18,0.11142857142857143,4,10,0.13333333333333333,4,26,33,0.075,39,39,10,11
