family,cell,condition,control,n,win,lose,delta,p_value,bh_significant
pooled,POOLED,clustering,none,3200,117,150,-0.0103125,0.04998317639678605,True
mean_degree_block,d~8 pooled,clustering,none,1600,36,49,-0.008125,0.19276043534155876,False
mean_degree_block,d~16 pooled,clustering,none,1600,81,101,-0.0125,0.15883333227242,False
per_cell,size=20 p=0.421 (d~8),clustering,none,400,1,0,0.0025,1.0,False
per_cell,size=40 p=0.205 (d~8),clustering,none,400,1,1,0.0,1.0,False
per_cell,size=80 p=0.101 (d~8),clustering,none,400,10,13,-0.0075,0.6776394844055176,False
per_cell,size=160 p=0.05 (d~8),clustering,none,400,24,35,-0.0275,0.19252645776146274,False
per_cell,size=20 p=0.842 (d~16),clustering,none,400,2,3,-0.0025,1.0,False
per_cell,size=40 p=0.41 (d~16),clustering,none,400,6,2,0.01,0.2890625,False
per_cell,size=80 p=0.203 (d~16),clustering,none,400,30,37,-0.0175,0.4638176178968696,False
per_cell,size=160 p=0.101 (d~16),clustering,none,400,43,59,-0.04,0.13709880575603417,False
