density,condition,kept,capped,parsed,unparsable,mean_score,mean_abs_error,blind_bar_answer,blind_bar_score
0.05,clustering,400,0,400,0,0.685,1.175,7,0.163727959697733
0.05,none,394,6,394,0,0.6243654822335025,0.9390862944162437,7,0.163727959697733
0.101,clustering,800,0,800,0,0.48125,8.99875,8,0.07884856070087609
0.101,none,798,2,798,0,0.4348370927318296,3.4022556390977443,8,0.07884856070087609
0.203,clustering,400,0,400,0,0.3225,2.4625,17,0.115
0.203,none,400,0,400,0,0.225,2.3225,17,0.115
0.205,clustering,400,0,400,0,0.77,0.285,9,0.145
0.205,none,400,0,400,0,0.7275,0.3575,9,0.145
0.41,clustering,400,0,400,0,0.475,1.0,15,0.1276595744680851
0.41,none,399,1,399,0,0.39849624060150374,1.2406015037593985,15,0.1276595744680851
0.421,clustering,400,0,400,0,0.865,0.135,8,0.2025
0.421,none,400,0,400,0,0.9125,0.09,8,0.2025
0.842,clustering,400,0,400,0,0.74,0.325,16,0.27
0.842,none,400,0,400,0,0.575,0.49,16,0.27
