arm,density,condition,n,acc,balanced_acc,recall_yes,recall_no,pred_yes_rate,gold_yes_rate,majority_baseline
qwen3-1.7b,0.1,none,100,0.89,0.9388888888888889,1.0,0.8777777777777778,0.21,0.1,0.9
qwen3-1.7b,0.1,filler,100,0.84,0.9111111111111111,1.0,0.8222222222222222,0.26,0.1,0.9
qwen3-1.7b,0.1,degree,100,0.83,0.9055555555555556,1.0,0.8111111111111111,0.27,0.1,0.9
qwen3-1.7b,0.1,clustering,100,0.84,0.9111111111111111,1.0,0.8222222222222222,0.26,0.1,0.9
qwen3-1.7b,0.1,rwse,100,0.91,0.95,1.0,0.9,0.18,0.1,0.9
qwen3-1.7b,0.1,components,100,0.86,0.9222222222222223,1.0,0.8444444444444444,0.24,0.1,0.9
qwen3-1.7b,0.1,all,100,0.89,0.9388888888888889,1.0,0.8777777777777778,0.21,0.1,0.9
qwen3-1.7b,0.2,none,100,0.73,0.8353658536585367,1.0,0.6707317073170732,0.45,0.18,0.8200000000000001
qwen3-1.7b,0.2,filler,100,0.53,0.7134146341463414,1.0,0.4268292682926829,0.65,0.18,0.8200000000000001
qwen3-1.7b,0.2,degree,100,0.7,0.8170731707317074,1.0,0.6341463414634146,0.48,0.18,0.8200000000000001
qwen3-1.7b,0.2,clustering,100,0.74,0.8414634146341464,1.0,0.6829268292682927,0.44,0.18,0.8200000000000001
qwen3-1.7b,0.2,rwse,100,0.68,0.7831978319783197,0.9444444444444444,0.6219512195121951,0.48,0.18,0.8200000000000001
qwen3-1.7b,0.2,components,100,0.62,0.7682926829268293,1.0,0.5365853658536586,0.56,0.18,0.8200000000000001
qwen3-1.7b,0.2,all,100,0.81,0.8841463414634146,1.0,0.7682926829268293,0.37,0.18,0.8200000000000001
qwen3-1.7b,0.35,none,100,0.66,0.7536231884057971,1.0,0.5072463768115942,0.65,0.31,0.69
qwen3-1.7b,0.35,filler,100,0.34,0.5217391304347826,1.0,0.043478260869565216,0.97,0.31,0.69
qwen3-1.7b,0.35,degree,100,0.67,0.7608695652173914,1.0,0.5217391304347826,0.64,0.31,0.69
qwen3-1.7b,0.35,clustering,100,0.72,0.7971014492753623,1.0,0.5942028985507246,0.59,0.31,0.69
qwen3-1.7b,0.35,rwse,100,0.76,0.8172043010752688,0.967741935483871,0.6666666666666666,0.53,0.31,0.69
qwen3-1.7b,0.35,components,100,0.5,0.6376811594202898,1.0,0.2753623188405797,0.81,0.31,0.69
qwen3-1.7b,0.35,all,100,0.78,0.8405797101449275,1.0,0.6811594202898551,0.53,0.31,0.69
qwen3-1.7b,0.5,none,100,0.54,0.5576923076923077,1.0,0.11538461538461539,0.94,0.48,0.52
qwen3-1.7b,0.5,filler,100,0.48,0.5,1.0,0.0,1.0,0.48,0.52
qwen3-1.7b,0.5,degree,100,0.78,0.7876602564102564,0.9791666666666666,0.5961538461538461,0.68,0.48,0.52
qwen3-1.7b,0.5,clustering,100,0.67,0.6826923076923077,1.0,0.36538461538461536,0.81,0.48,0.52
qwen3-1.7b,0.5,rwse,100,0.67,0.6826923076923077,1.0,0.36538461538461536,0.81,0.48,0.52
qwen3-1.7b,0.5,components,100,0.51,0.5288461538461539,1.0,0.057692307692307696,0.97,0.48,0.52
qwen3-1.7b,0.5,all,100,0.8,0.8076923076923077,1.0,0.6153846153846154,0.68,0.48,0.52
qwen3-1.7b,0.65,none,100,0.68,0.5294117647058824,1.0,0.058823529411764705,0.98,0.66,0.66
qwen3-1.7b,0.65,filler,100,0.66,0.5,1.0,0.0,1.0,0.66,0.66
qwen3-1.7b,0.65,degree,100,0.71,0.5735294117647058,1.0,0.14705882352941177,0.95,0.66,0.66
qwen3-1.7b,0.65,clustering,100,0.67,0.5147058823529411,1.0,0.029411764705882353,0.99,0.66,0.66
qwen3-1.7b,0.65,rwse,100,0.7,0.5588235294117647,1.0,0.11764705882352941,0.96,0.66,0.66
qwen3-1.7b,0.65,components,100,0.66,0.5,1.0,0.0,1.0,0.66,0.66
qwen3-1.7b,0.65,all,100,0.76,0.6470588235294118,1.0,0.29411764705882354,0.9,0.66,0.66
qwen3-1.7b,0.75,none,100,0.77,0.5208333333333334,1.0,0.041666666666666664,0.99,0.76,0.76
qwen3-1.7b,0.75,filler,100,0.76,0.5,1.0,0.0,1.0,0.76,0.76
qwen3-1.7b,0.75,degree,100,0.78,0.6414473684210527,0.9078947368421053,0.375,0.84,0.76,0.76
qwen3-1.7b,0.75,clustering,100,0.82,0.6535087719298246,0.9736842105263158,0.3333333333333333,0.9,0.76,0.76
qwen3-1.7b,0.75,rwse,100,0.77,0.5208333333333334,1.0,0.041666666666666664,0.99,0.76,0.76
qwen3-1.7b,0.75,components,100,0.77,0.5208333333333334,1.0,0.041666666666666664,0.99,0.76,0.76
qwen3-1.7b,0.75,all,100,0.86,0.7225877192982456,0.9868421052631579,0.4583333333333333,0.88,0.76,0.76
qwen3-1.7b,0.85,none,100,0.86,0.5333333333333333,1.0,0.06666666666666667,0.99,0.85,0.85
qwen3-1.7b,0.85,filler,100,0.85,0.5,1.0,0.0,1.0,0.85,0.85
qwen3-1.7b,0.85,degree,100,0.88,0.6274509803921569,0.9882352941176471,0.26666666666666666,0.95,0.85,0.85
qwen3-1.7b,0.85,clustering,100,0.86,0.5333333333333333,1.0,0.06666666666666667,0.99,0.85,0.85
qwen3-1.7b,0.85,rwse,100,0.87,0.5666666666666667,1.0,0.13333333333333333,0.98,0.85,0.85
qwen3-1.7b,0.85,components,100,0.85,0.5,1.0,0.0,1.0,0.85,0.85
qwen3-1.7b,0.85,all,100,0.89,0.6607843137254902,0.9882352941176471,0.3333333333333333,0.94,0.85,0.85
qwen3-1.7b-think,0.1,none,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-1.7b-think,0.1,filler,100,0.97,0.9833333333333334,1.0,0.9666666666666667,0.13,0.1,0.9
qwen3-1.7b-think,0.1,degree,100,0.97,0.9833333333333334,1.0,0.9666666666666667,0.13,0.1,0.9
qwen3-1.7b-think,0.1,clustering,100,0.98,0.9888888888888889,1.0,0.9777777777777777,0.12,0.1,0.9
qwen3-1.7b-think,0.1,rwse,100,1.0,1.0,1.0,1.0,0.1,0.1,0.9
qwen3-1.7b-think,0.1,components,100,0.99,0.9944444444444445,1.0,0.9888888888888889,0.11,0.1,0.9
qwen3-1.7b-think,0.1,all,100,0.96,0.9777777777777779,1.0,0.9555555555555556,0.14,0.1,0.9
qwen3-1.7b-think,0.2,none,100,1.0,1.0,1.0,1.0,0.18,0.18,0.8200000000000001
qwen3-1.7b-think,0.2,filler,100,0.98,0.9878048780487805,1.0,0.975609756097561,0.2,0.18,0.8200000000000001
qwen3-1.7b-think,0.2,degree,100,0.95,0.9695121951219512,1.0,0.9390243902439024,0.23,0.18,0.8200000000000001
qwen3-1.7b-think,0.2,clustering,100,0.98,0.9878048780487805,1.0,0.975609756097561,0.2,0.18,0.8200000000000001
qwen3-1.7b-think,0.2,rwse,100,0.95,0.9478319783197832,0.9444444444444444,0.9512195121951219,0.21,0.18,0.8200000000000001
qwen3-1.7b-think,0.2,components,100,0.97,0.9817073170731707,1.0,0.9634146341463414,0.21,0.18,0.8200000000000001
qwen3-1.7b-think,0.2,all,100,0.96,0.975609756097561,1.0,0.9512195121951219,0.22,0.18,0.8200000000000001
qwen3-1.7b-think,0.35,none,100,0.97,0.969378214118747,0.967741935483871,0.9710144927536232,0.32,0.31,0.69
qwen3-1.7b-think,0.35,filler,100,1.0,1.0,1.0,1.0,0.31,0.31,0.69
qwen3-1.7b-think,0.35,degree,100,0.97,0.9782608695652174,1.0,0.9565217391304348,0.34,0.31,0.69
qwen3-1.7b-think,0.35,clustering,100,0.99,0.9927536231884058,1.0,0.9855072463768116,0.32,0.31,0.69
qwen3-1.7b-think,0.35,rwse,100,0.97,0.9782608695652174,1.0,0.9565217391304348,0.34,0.31,0.69
