arm,task,density,condition,n,n_wrong,median_abs_error,median_signed_error,frac_undercount,median_rel_error
qwen3-1.7b,edge_count,0.1,none,100,97,35.0,-3.0,0.5257731958762887,0.4318181818181818
qwen3-1.7b,edge_count,0.1,filler,100,100,45.0,26.0,0.42,0.6059012301658049
qwen3-1.7b,edge_count,0.1,degree,100,94,10.0,-7.0,0.7127659574468085,0.13293172690763053
qwen3-1.7b,edge_count,0.1,clustering,100,100,32.5,30.5,0.13,0.4295634920634921
qwen3-1.7b,edge_count,0.1,rwse,100,100,37.5,32.5,0.27,0.48765534382767195
qwen3-1.7b,edge_count,0.1,components,100,100,39.5,16.5,0.43,0.5324016563146998
qwen3-1.7b,edge_count,0.1,all,100,100,66.5,44.0,0.31,0.8426190476190476
qwen3-1.7b,edge_count,0.2,none,100,98,74.5,63.5,0.2755102040816326,0.45933434899800774
qwen3-1.7b,edge_count,0.2,filler,100,97,42.0,8.0,0.38144329896907214,0.2727272727272727
qwen3-1.7b,edge_count,0.2,degree,100,97,16.0,6.0,0.3711340206185567,0.1111111111111111
qwen3-1.7b,edge_count,0.2,clustering,100,97,37.0,29.0,0.16494845360824742,0.23255813953488372
qwen3-1.7b,edge_count,0.2,rwse,100,98,45.5,20.0,0.3673469387755102,0.30016941321423074
qwen3-1.7b,edge_count,0.2,components,100,99,39.0,-7.0,0.5353535353535354,0.25333333333333335
qwen3-1.7b,edge_count,0.2,all,100,99,20.0,8.0,0.41414141414141414,0.13414634146341464
qwen3-1.7b,edge_count,0.35,none,100,100,250.5,-9.0,0.51,0.9451537433155079
qwen3-1.7b,edge_count,0.35,filler,100,100,236.0,-23.5,0.52,0.8485396182764604
qwen3-1.7b,edge_count,0.35,degree,100,99,52.0,-43.0,0.7070707070707071,0.19678714859437751
qwen3-1.7b,edge_count,0.35,clustering,100,100,142.5,63.0,0.31,0.513518427135548
qwen3-1.7b,edge_count,0.35,rwse,100,100,95.5,57.0,0.38,0.35779409152803265
qwen3-1.7b,edge_count,0.35,components,100,100,219.5,52.0,0.39,0.832502038597445
qwen3-1.7b,edge_count,0.35,all,100,96,225.0,42.0,0.3958333333333333,0.8157166574432761
qwen3-1.7b,edge_count,0.5,none,100,100,274.0,55.5,0.33,0.6876944489929588
qwen3-1.7b,edge_count,0.5,filler,100,100,372.0,6.0,0.5,0.9473684210526315
qwen3-1.7b,edge_count,0.5,degree,100,93,121.0,-21.0,0.5806451612903226,0.31443298969072164
qwen3-1.7b,edge_count,0.5,clustering,100,100,166.5,-126.5,0.66,0.4352508016944455
qwen3-1.7b,edge_count,0.5,rwse,100,100,165.0,-116.0,0.62,0.41405446375399274
qwen3-1.7b,edge_count,0.5,components,100,100,208.5,35.5,0.42,0.5239209371349184
qwen3-1.7b,edge_count,0.5,all,100,97,351.0,-16.0,0.5463917525773195,0.92
qwen3-1.7b,node_degree,0.1,none,100,9,1.0,-1.0,0.7777777777777778,0.2
