arm,density,condition,acc_node_degree,n_node_degree,acc_connected_nodes,n_connected_nodes,acc_edge_existence,n_edge_existence,count_minus_list
qwen3-1.7b,0.1,none,0.91,100,0.92,100,0.89,100,-0.010000000000000009
qwen3-1.7b,0.1,filler,0.96,100,0.92,100,0.84,100,0.039999999999999925
qwen3-1.7b,0.1,degree,0.94,100,0.97,100,0.83,100,-0.030000000000000027
qwen3-1.7b,0.1,clustering,0.93,100,0.9,100,0.84,100,0.030000000000000027
qwen3-1.7b,0.1,rwse,0.94,100,0.98,100,0.91,100,-0.040000000000000036
qwen3-1.7b,0.1,components,0.92,100,0.92,100,0.86,100,0.0
qwen3-1.7b,0.1,all,0.97,100,0.9,100,0.89,100,0.06999999999999995
qwen3-1.7b,0.2,none,0.8,100,0.91,100,0.73,100,-0.10999999999999999
qwen3-1.7b,0.2,filler,0.73,100,0.86,100,0.53,100,-0.13
qwen3-1.7b,0.2,degree,0.9,100,0.92,100,0.7,100,-0.020000000000000018
qwen3-1.7b,0.2,clustering,0.82,100,0.9,100,0.74,100,-0.08000000000000007
qwen3-1.7b,0.2,rwse,0.84,100,0.86,100,0.68,100,-0.020000000000000018
qwen3-1.7b,0.2,components,0.82,100,0.9,100,0.62,100,-0.08000000000000007
qwen3-1.7b,0.2,all,0.9,100,0.84,100,0.81,100,0.06000000000000005
qwen3-1.7b,0.35,none,0.41,100,0.59,100,0.66,100,-0.18
qwen3-1.7b,0.35,filler,0.41,100,0.49,100,0.34,100,-0.08000000000000002
qwen3-1.7b,0.35,degree,0.59,100,0.64,100,0.67,100,-0.050000000000000044
qwen3-1.7b,0.35,clustering,0.47,100,0.63,100,0.72,100,-0.16000000000000003
qwen3-1.7b,0.35,rwse,0.47,100,0.61,100,0.76,100,-0.14
qwen3-1.7b,0.35,components,0.44,100,0.64,100,0.5,100,-0.2
qwen3-1.7b,0.35,all,0.58,100,0.74,100,0.78,100,-0.16000000000000003
qwen3-1.7b,0.5,none,0.3,100,0.48,100,0.54,100,-0.18
qwen3-1.7b,0.5,filler,0.3,100,0.38,100,0.48,100,-0.08000000000000002
qwen3-1.7b,0.5,degree,0.29,100,0.51,100,0.78,100,-0.22000000000000003
qwen3-1.7b,0.5,clustering,0.32,100,0.52,100,0.67,100,-0.2
qwen3-1.7b,0.5,rwse,0.33,100,0.49,100,0.67,100,-0.15999999999999998
qwen3-1.7b,0.5,components,0.31,100,0.47,100,0.51,100,-0.15999999999999998
qwen3-1.7b,0.5,all,0.38,100,0.5,100,0.8,100,-0.12
qwen3-1.7b-think,0.1,none,0.9,100,0.92,100,1.0,100,-0.020000000000000018
qwen3-1.7b-think,0.1,filler,0.97,100,0.95,100,0.97,100,0.020000000000000018
qwen3-1.7b-think,0.1,degree,0.98,100,0.92,100,0.97,100,0.05999999999999994
qwen3-1.7b-think,0.1,clustering,0.94,100,0.95,100,0.98,100,-0.010000000000000009
qwen3-1.7b-think,0.1,rwse,0.96,100,0.98,100,1.0,100,-0.020000000000000018
qwen3-1.7b-think,0.1,components,0.92,100,0.94,100,0.99,100,-0.019999999999999907
qwen3-1.7b-think,0.1,all,0.98,100,1.0,100,0.96,100,-0.020000000000000018
qwen3-1.7b-think,0.2,none,0.95,100,0.96,100,1.0,100,-0.010000000000000009
qwen3-1.7b-think,0.2,filler,0.85,100,0.97,100,0.98,100,-0.12
qwen3-1.7b-think,0.2,degree,0.94,100,0.92,100,0.95,100,0.019999999999999907
qwen3-1.7b-think,0.2,clustering,0.97,100,0.96,100,0.98,100,0.010000000000000009
qwen3-1.7b-think,0.2,rwse,0.91,100,0.88,100,0.95,100,0.030000000000000027
qwen3-1.7b-think,0.2,components,0.89,100,0.94,100,0.97,100,-0.04999999999999993
qwen3-1.7b-think,0.2,all,0.97,100,0.94,100,0.96,100,0.030000000000000027
qwen3-1.7b-think,0.35,none,0.6,100,0.68,100,0.97,100,-0.08000000000000007
qwen3-1.7b-think,0.35,filler,0.56,100,0.72,100,1.0,100,-0.15999999999999992
qwen3-1.7b-think,0.35,degree,0.83,100,0.81,100,0.97,100,0.019999999999999907
qwen3-1.7b-think,0.35,clustering,0.61,100,0.66,100,0.99,100,-0.050000000000000044
qwen3-1.7b-think,0.35,rwse,0.65,100,0.72,100,0.97,100,-0.06999999999999995
qwen3-1.7b-think,0.35,components,0.62,100,0.71,100,0.98,100,-0.08999999999999997
qwen3-1.7b-think,0.35,all,0.82,100,0.78,100,0.97,100,0.039999999999999925
qwen3-1.7b-think,0.5,none,0.6,100,0.59,100,1.0,100,0.010000000000000009
qwen3-1.7b-think,0.5,filler,0.55,100,0.61,100,0.99,100,-0.05999999999999994
qwen3-1.7b-think,0.5,degree,0.79,100,0.75,100,0.99,100,0.040000000000000036
qwen3-1.7b-think,0.5,clustering,0.59,100,0.67,100,0.98,100,-0.08000000000000007
qwen3-1.7b-think,0.5,rwse,0.64,100,0.58,100,1.0,100,0.06000000000000005
qwen3-1.7b-think,0.5,components,0.58,100,0.67,100,1.0,100,-0.09000000000000008
qwen3-1.7b-think,0.5,all,0.78,100,0.68,100,1.0,100,0.09999999999999998
qwen3-4b,0.1,none,1.0,100,0.93,100,0.96,100,0.06999999999999995
qwen3-4b,0.1,filler,1.0,100,0.72,100,0.96,100,0.28
qwen3-4b,0.1,degree,0.94,100,0.86,100,0.99,100,0.07999999999999996
qwen3-4b,0.1,clustering,1.0,100,0.85,100,0.97,100,0.15000000000000002
qwen3-4b,0.1,rwse,1.0,100,0.83,100,0.96,100,0.17000000000000004
qwen3-4b,0.1,components,1.0,100,1.0,100,0.99,100,0.0
qwen3-4b,0.1,all,0.93,100,0.82,100,0.95,100,0.1100000000000001
qwen3-4b,0.2,none,0.99,100,0.88,100,0.93,100,0.10999999999999999
qwen3-4b,0.2,filler,0.99,100,0.74,100,0.84,100,0.25
qwen3-4b,0.2,degree,0.98,100,0.9,100,0.91,100,0.07999999999999996
qwen3-4b,0.2,clustering,1.0,100,0.97,100,0.98,100,0.030000000000000027
qwen3-4b,0.2,rwse,0.97,100,0.83,100,0.89,100,0.14
qwen3-4b,0.2,components,0.99,100,0.99,100,0.94,100,0.0
qwen3-4b,0.2,all,0.96,100,0.88,100,0.84,100,0.07999999999999996
qwen3-4b,0.35,none,0.99,100,0.84,100,0.83,100,0.15000000000000002
qwen3-4b,0.35,filler,0.99,100,0.78,100,0.75,100,0.20999999999999996
qwen3-4b,0.35,degree,0.92,100,0.8,100,0.79,100,0.12
qwen3-4b,0.35,clustering,0.99,100,0.89,100,0.89,100,0.09999999999999998
qwen3-4b,0.35,rwse,0.96,100,0.89,100,0.7,100,0.06999999999999995
qwen3-4b,0.35,components,0.99,100,0.94,100,0.75,100,0.050000000000000044
qwen3-4b,0.35,all,0.92,100,0.87,100,0.7,100,0.050000000000000044
qwen3-4b,0.5,none,0.99,100,0.79,100,0.9,100,0.19999999999999996
