arm,task,density,condition,n,baseline,delta,acc,bar,bar_none,carries,p,q
qwen3-1.7b,connected_nodes,0.1,components,100,0.92,0.0,0.92,0.0,0.0,False,1.0,1.0
qwen3-1.7b,connected_nodes,0.1,clustering,100,0.92,-2.0000000000000018,0.9,0.0,0.0,False,0.79052734375,1.0
qwen3-1.7b,connected_nodes,0.1,rwse,100,0.92,5.999999999999995,0.98,0.0014285714285714286,0.0,False,0.0703125,0.703125
qwen3-1.7b,connected_nodes,0.1,degree,100,0.92,4.999999999999993,0.97,0.0014285714285714286,0.0,False,0.1796875,0.8984375
qwen3-1.7b,connected_nodes,0.1,all,99,0.9292929292929293,-2.020202020202022,0.9090909090909091,0.008095238095238096,0.0,False,0.7744140625,1.0
qwen3-1.7b,connected_nodes,0.2,components,100,0.91,-1.0000000000000009,0.9,0.0,0.0,False,1.0,1.0
qwen3-1.7b,connected_nodes,0.2,clustering,100,0.91,-1.0000000000000009,0.9,0.0,0.0,False,1.0,1.0
qwen3-1.7b,connected_nodes,0.2,rwse,100,0.91,-5.000000000000004,0.86,0.0014285714285714286,0.0,False,0.266845703125,1.0
qwen3-1.7b,connected_nodes,0.2,degree,100,0.91,1.0000000000000009,0.92,0.0014285714285714286,0.0,False,1.0,1.0
qwen3-1.7b,connected_nodes,0.2,all,100,0.91,-7.000000000000006,0.84,0.008095238095238096,0.0,False,0.1670684814453125,0.8984375
qwen3-1.7b,connected_nodes,0.35,components,100,0.59,5.000000000000004,0.64,0.0,0.0,False,0.4048728942871094,1.0
qwen3-1.7b,connected_nodes,0.35,clustering,100,0.59,4.0000000000000036,0.63,0.0,0.0,False,0.557197093963623,1.0
qwen3-1.7b,connected_nodes,0.35,rwse,100,0.59,2.0000000000000018,0.61,0.0014285714285714286,0.0,False,0.8505540192127228,1.0
qwen3-1.7b,connected_nodes,0.35,degree,100,0.59,5.000000000000004,0.64,0.0014285714285714286,0.0,False,0.44206833839416504,1.0
qwen3-1.7b,connected_nodes,0.35,all,100,0.59,15.000000000000002,0.74,0.008095238095238096,0.0,False,0.005924612283706665,0.1184922456741333
qwen3-1.7b,connected_nodes,0.5,components,100,0.48,-1.0000000000000009,0.47,0.0,0.0,False,1.0,1.0
qwen3-1.7b,connected_nodes,0.5,clustering,100,0.48,4.0000000000000036,0.52,0.0,0.0,False,0.5412561893463135,1.0
qwen3-1.7b,connected_nodes,0.5,rwse,100,0.48,1.0000000000000009,0.49,0.0014285714285714286,0.0,False,1.0,1.0
qwen3-1.7b,connected_nodes,0.5,degree,100,0.48,3.0000000000000027,0.51,0.0014285714285714286,0.0,False,0.6776394844055176,1.0
qwen3-1.7b,connected_nodes,0.5,all,100,0.48,2.0000000000000018,0.5,0.008095238095238096,0.0,False,0.8641662404406816,1.0
qwen3-1.7b,edge_count,0.1,components,56,0.03571428571428571,-3.571428571428571,0.0,0.03047619047619048,0.03047619047619048,False,0.5,1.0
qwen3-1.7b,edge_count,0.1,clustering,62,0.03225806451612903,-3.225806451612903,0.0,0.10428571428571429,0.03047619047619048,False,0.5,1.0
qwen3-1.7b,edge_count,0.1,rwse,63,0.031746031746031744,-3.1746031746031744,0.0,0.03047619047619048,0.03047619047619048,False,0.5,1.0
qwen3-1.7b,edge_count,0.1,degree,62,0.016129032258064516,6.451612903225806,0.08064516129032258,1.0,0.03047619047619048,True,0.21875,1.0
qwen3-1.7b,edge_count,0.1,all,52,0.019230769230769232,-1.9230769230769231,0.0,1.0,0.03047619047619048,True,1.0,1.0
qwen3-1.7b,edge_count,0.2,components,73,0.0273972602739726,-1.36986301369863,0.0136986301369863,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.2,clustering,89,0.02247191011235955,1.1235955056179776,0.033707865168539325,0.10428571428571429,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.2,rwse,84,0.023809523809523808,0.0,0.023809523809523808,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.2,degree,86,0.023255813953488372,1.1627906976744187,0.03488372093023256,1.0,0.03047619047619048,True,1.0,1.0
qwen3-1.7b,edge_count,0.2,all,83,0.024096385542168676,-1.2048192771084338,0.012048192771084338,1.0,0.03047619047619048,True,1.0,1.0
qwen3-1.7b,edge_count,0.5,clustering,51,0.0,0.0,0.0,0.10428571428571429,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.5,rwse,51,0.0,0.0,0.0,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b,edge_count,0.5,degree,56,0.0,8.928571428571429,0.08928571428571429,1.0,0.03047619047619048,True,0.0625,0.8125
qwen3-1.7b,edge_existence,0.1,components,100,0.89,-3.0000000000000027,0.86,0.7352380952380952,0.7352380952380952,False,0.453125,0.7552083333333334
qwen3-1.7b,edge_existence,0.1,clustering,100,0.89,-5.000000000000004,0.84,0.7266666666666667,0.7352380952380952,False,0.266845703125,0.5837249755859375
qwen3-1.7b,edge_existence,0.1,rwse,99,0.8888888888888888,3.0303030303030387,0.9191919191919192,0.5538095238095239,0.7352380952380952,False,0.5078125,0.7727581521739131
qwen3-1.7b,edge_existence,0.1,degree,100,0.89,-6.000000000000005,0.83,0.7457142857142857,0.7352380952380952,False,0.0703125,0.2734375
qwen3-1.7b,edge_existence,0.1,all,100,0.89,0.0,0.89,0.7409523809523809,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.2,components,100,0.73,-10.999999999999998,0.62,0.7352380952380952,0.7352380952380952,False,0.03468966484069824,0.1517672836780548
qwen3-1.7b,edge_existence,0.2,clustering,100,0.73,1.0000000000000009,0.74,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.2,rwse,100,0.73,-4.999999999999993,0.68,0.5538095238095239,0.7352380952380952,False,0.44206833839416504,0.7552083333333334
qwen3-1.7b,edge_existence,0.2,degree,100,0.73,-3.0000000000000027,0.7,0.7457142857142857,0.7352380952380952,False,0.7011080384254456,0.9437992824957921
qwen3-1.7b,edge_existence,0.2,all,100,0.73,8.000000000000007,0.81,0.7409523809523809,0.7352380952380952,False,0.15158963203430176,0.44213642676671344
qwen3-1.7b,edge_existence,0.35,components,100,0.66,-16.000000000000004,0.5,0.7352380952380952,0.7352380952380952,False,0.0004024505615234375,0.0046952565511067705
qwen3-1.7b,edge_existence,0.35,clustering,100,0.66,5.999999999999995,0.72,0.7266666666666667,0.7352380952380952,False,0.28627872467041016,0.5893973743214327
qwen3-1.7b,edge_existence,0.35,rwse,100,0.66,9.999999999999998,0.76,0.5538095238095239,0.7352380952380952,False,0.13249816396273673,0.42158506715416233
qwen3-1.7b,edge_existence,0.35,degree,100,0.66,1.0000000000000009,0.67,0.7457142857142857,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.35,all,100,0.66,12.0,0.78,0.7409523809523809,0.7352380952380952,False,0.0806904677519924,0.2824166371319734
qwen3-1.7b,edge_existence,0.5,components,100,0.54,-3.0000000000000027,0.51,0.7352380952380952,0.7352380952380952,False,0.375,0.7291666666666666
qwen3-1.7b,edge_existence,0.5,clustering,100,0.54,13.0,0.67,0.7266666666666667,0.7352380952380952,False,0.0009765625,0.008544921875
qwen3-1.7b,edge_existence,0.5,rwse,100,0.54,13.0,0.67,0.5538095238095239,0.7352380952380952,False,0.002349853515625,0.016448974609375
qwen3-1.7b,edge_existence,0.5,degree,100,0.54,24.0,0.78,0.7457142857142857,0.7352380952380952,False,8.046627044677734e-07,1.4081597328186035e-05
qwen3-1.7b,edge_existence,0.5,all,100,0.54,26.0,0.8,0.7409523809523809,0.7352380952380952,False,2.1606683731079102e-07,7.5623393058776855e-06
qwen3-1.7b,edge_existence,0.65,components,100,0.68,-2.0000000000000018,0.66,0.7352380952380952,0.7352380952380952,False,0.5,0.7727581521739131
qwen3-1.7b,edge_existence,0.65,clustering,100,0.68,-1.0000000000000009,0.67,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.65,rwse,100,0.68,1.9999999999999907,0.7,0.5538095238095239,0.7352380952380952,False,0.6875,0.9437992824957921
qwen3-1.7b,edge_existence,0.65,degree,100,0.68,2.9999999999999916,0.71,0.7457142857142857,0.7352380952380952,False,0.25,0.5837249755859375
qwen3-1.7b,edge_existence,0.65,all,100,0.68,7.9999999999999964,0.76,0.7409523809523809,0.7352380952380952,False,0.0078125,0.045572916666666664
qwen3-1.7b,edge_existence,0.75,components,100,0.77,0.0,0.77,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.75,clustering,100,0.77,4.999999999999993,0.82,0.7266666666666667,0.7352380952380952,False,0.2265625,0.5837249755859375
qwen3-1.7b,edge_existence,0.75,rwse,100,0.77,0.0,0.77,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.75,degree,96,0.7604166666666666,5.2083333333333375,0.8125,0.7457142857142857,0.7352380952380952,False,0.266845703125,0.5837249755859375
qwen3-1.7b,edge_existence,0.75,all,100,0.77,8.999999999999996,0.86,0.7409523809523809,0.7352380952380952,False,0.01171875,0.05859375
qwen3-1.7b,edge_existence,0.85,components,100,0.86,-1.0000000000000009,0.85,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,clustering,100,0.86,0.0,0.86,0.7266666666666667,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,rwse,100,0.86,1.0000000000000009,0.87,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b,edge_existence,0.85,degree,100,0.86,2.0000000000000018,0.88,0.7457142857142857,0.7352380952380952,False,0.625,0.9114583333333334
qwen3-1.7b,edge_existence,0.85,all,100,0.86,3.0000000000000027,0.89,0.7409523809523809,0.7352380952380952,False,0.453125,0.7552083333333334
