arm,task,density,condition,matched,delta_vs_filler,delta_vs_none
qwen3-1.7b,node_count,0.1,filler,0,0.0,0.14
qwen3-1.7b,node_count,0.1,degree,0,-0.13,0.009999999999999998
qwen3-1.7b,node_count,0.1,clustering,0,0.7899999999999999,0.9299999999999999
qwen3-1.7b,node_count,0.1,rwse,0,0.16,0.3
qwen3-1.7b,node_count,0.1,components,0,0.03,0.17
qwen3-1.7b,node_count,0.1,all,0,0.5399999999999999,0.6799999999999999
qwen3-1.7b,node_count,0.2,filler,0,0.0,0.7
qwen3-1.7b,node_count,0.2,degree,0,-0.6499999999999999,0.05
qwen3-1.7b,node_count,0.2,clustering,0,0.30000000000000004,1.0
qwen3-1.7b,node_count,0.2,rwse,0,-0.5299999999999999,0.17
qwen3-1.7b,node_count,0.2,components,0,-0.29,0.41
qwen3-1.7b,node_count,0.2,all,0,-0.17999999999999994,0.52
qwen3-1.7b,node_count,0.35,filler,0,0.0,0.71
qwen3-1.7b,node_count,0.35,degree,0,-0.54,0.16999999999999998
qwen3-1.7b,node_count,0.35,clustering,0,0.010000000000000009,0.72
qwen3-1.7b,node_count,0.35,rwse,0,-0.43999999999999995,0.27
qwen3-1.7b,node_count,0.35,components,0,-0.29000000000000004,0.41999999999999993
qwen3-1.7b,node_count,0.35,all,0,-0.050000000000000044,0.6599999999999999
qwen3-1.7b,node_count,0.5,filler,0,0.0,0.040000000000000036
qwen3-1.7b,node_count,0.5,degree,0,0.0,0.040000000000000036
qwen3-1.7b,node_count,0.5,clustering,0,0.0,0.040000000000000036
qwen3-1.7b,node_count,0.5,rwse,0,-0.7,-0.6599999999999999
qwen3-1.7b,node_count,0.5,components,0,-0.18999999999999995,-0.1499999999999999
qwen3-1.7b,node_count,0.5,all,0,-0.020000000000000018,0.020000000000000018
qwen3-1.7b,cycle_check,0.1,filler,0,0.0,0.012820512820512775
qwen3-1.7b,cycle_check,0.1,degree,0,-0.011904761904761862,-0.013513513513513487
qwen3-1.7b,cycle_check,0.1,clustering,0,0.0,0.012195121951219523
qwen3-1.7b,cycle_check,0.1,rwse,0,-0.045454545454545414,-0.051948051948051965
qwen3-1.7b,cycle_check,0.1,components,0,-0.02352941176470591,-0.013157894736842146
qwen3-1.7b,cycle_check,0.1,all,0,-0.021739130434782594,-0.024390243902439046
qwen3-1.7b,cycle_check,0.2,filler,0,0.0,0.0
qwen3-1.7b,cycle_check,0.2,degree,0,-0.14814814814814814,-0.15476190476190477
qwen3-1.7b,cycle_check,0.2,clustering,0,0.0,0.0
qwen3-1.7b,cycle_check,0.2,rwse,0,-0.05555555555555558,-0.05494505494505497
qwen3-1.7b,cycle_check,0.2,components,0,0.0,0.0
qwen3-1.7b,cycle_check,0.2,all,0,0.0,0.0
qwen3-1.7b,cycle_check,0.35,filler,0,0.0,0.0
qwen3-1.7b,cycle_check,0.35,degree,0,-0.1515151515151515,-0.16417910447761197
qwen3-1.7b,cycle_check,0.35,clustering,0,0.0,0.0
qwen3-1.7b,cycle_check,0.35,rwse,0,-0.13186813186813184,-0.1208791208791209
qwen3-1.7b,cycle_check,0.35,components,0,-0.011627906976744207,-0.011904761904761862
qwen3-1.7b,cycle_check,0.35,all,0,-0.011111111111111072,-0.011111111111111072
qwen3-1.7b,cycle_check,0.5,filler,0,0.0,0.0
qwen3-1.7b,cycle_check,0.5,degree,0,-0.16883116883116878,-0.17105263157894735
qwen3-1.7b,cycle_check,0.5,clustering,0,0.0,0.0
qwen3-1.7b,cycle_check,0.5,rwse,0,-0.07070707070707072,-0.07070707070707072
qwen3-1.7b,cycle_check,0.5,components,0,0.0,0.0
qwen3-1.7b,cycle_check,0.5,all,0,-0.010101010101010055,-0.010101010101010055
qwen3-1.7b,edge_existence,0.1,filler,0,0.0,-0.050000000000000044
qwen3-1.7b,edge_existence,0.1,degree,0,-0.010000000000000009,-0.06000000000000005
qwen3-1.7b,edge_existence,0.1,clustering,1,0.0,-0.050000000000000044
qwen3-1.7b,edge_existence,0.1,rwse,0,0.08080808080808088,0.030303030303030387
qwen3-1.7b,edge_existence,0.1,components,0,0.020000000000000018,-0.030000000000000027
qwen3-1.7b,edge_existence,0.1,all,0,0.050000000000000044,0.0
qwen3-1.7b,edge_existence,0.2,filler,0,0.0,-0.19999999999999996
qwen3-1.7b,edge_existence,0.2,degree,0,0.16999999999999993,-0.030000000000000027
qwen3-1.7b,edge_existence,0.2,clustering,1,0.20999999999999996,0.010000000000000009
qwen3-1.7b,edge_existence,0.2,rwse,0,0.15000000000000002,-0.04999999999999993
qwen3-1.7b,edge_existence,0.2,components,0,0.08999999999999997,-0.10999999999999999
qwen3-1.7b,edge_existence,0.2,all,0,0.28,0.08000000000000007
qwen3-1.7b,edge_existence,0.35,filler,0,0.0,-0.32
qwen3-1.7b,edge_existence,0.35,degree,0,0.33,0.010000000000000009
qwen3-1.7b,edge_existence,0.35,clustering,1,0.37999999999999995,0.05999999999999994
qwen3-1.7b,edge_existence,0.35,rwse,0,0.42,0.09999999999999998
qwen3-1.7b,edge_existence,0.35,components,0,0.15999999999999998,-0.16000000000000003
qwen3-1.7b,edge_existence,0.35,all,0,0.44,0.12
qwen3-1.7b,edge_existence,0.5,filler,0,0.0,-0.06000000000000005
qwen3-1.7b,edge_existence,0.5,degree,0,0.30000000000000004,0.24
qwen3-1.7b,edge_existence,0.5,clustering,1,0.19000000000000006,0.13
qwen3-1.7b,edge_existence,0.5,rwse,0,0.19000000000000006,0.13
qwen3-1.7b,edge_existence,0.5,components,0,0.030000000000000027,-0.030000000000000027
qwen3-1.7b,edge_existence,0.5,all,0,0.32000000000000006,0.26
qwen3-1.7b,edge_existence,0.65,filler,0,0.0,-0.020000000000000018
qwen3-1.7b,edge_existence,0.65,degree,0,0.04999999999999993,0.029999999999999916
qwen3-1.7b,edge_existence,0.65,clustering,1,0.010000000000000009,-0.010000000000000009
qwen3-1.7b,edge_existence,0.65,rwse,0,0.039999999999999925,0.019999999999999907
qwen3-1.7b,edge_existence,0.65,components,0,0.0,-0.020000000000000018
qwen3-1.7b,edge_existence,0.65,all,0,0.09999999999999998,0.07999999999999996
qwen3-1.7b,edge_existence,0.75,filler,0,0.0,-0.010000000000000009
qwen3-1.7b,edge_existence,0.75,degree,0,0.0625,0.05208333333333337
qwen3-1.7b,edge_existence,0.75,clustering,1,0.05999999999999994,0.04999999999999993
qwen3-1.7b,edge_existence,0.75,rwse,0,0.010000000000000009,0.0
qwen3-1.7b,edge_existence,0.75,components,0,0.010000000000000009,0.0
qwen3-1.7b,edge_existence,0.75,all,0,0.09999999999999998,0.08999999999999997
qwen3-1.7b,edge_existence,0.85,filler,0,0.0,-0.010000000000000009
qwen3-1.7b,edge_existence,0.85,degree,0,0.030000000000000027,0.020000000000000018
qwen3-1.7b,edge_existence,0.85,clustering,1,0.010000000000000009,0.0
qwen3-1.7b,edge_existence,0.85,rwse,0,0.020000000000000018,0.010000000000000009
qwen3-1.7b,edge_existence,0.85,components,0,0.0,-0.010000000000000009
qwen3-1.7b,edge_existence,0.85,all,0,0.040000000000000036,0.030000000000000027
qwen3-1.7b,node_degree,0.1,filler,0,0.0,0.04999999999999993
qwen3-1.7b,node_degree,0.1,degree,1,-0.020000000000000018,0.029999999999999916
qwen3-1.7b,node_degree,0.1,clustering,0,-0.029999999999999916,0.020000000000000018
qwen3-1.7b,node_degree,0.1,rwse,0,-0.020000000000000018,0.029999999999999916
qwen3-1.7b,node_degree,0.1,components,0,-0.039999999999999925,0.010000000000000009
qwen3-1.7b,node_degree,0.1,all,0,0.010000000000000009,0.05999999999999994
qwen3-1.7b,node_degree,0.2,filler,0,0.0,-0.07000000000000006
qwen3-1.7b,node_degree,0.2,degree,1,0.17000000000000004,0.09999999999999998
qwen3-1.7b,node_degree,0.2,clustering,0,0.08999999999999997,0.019999999999999907
qwen3-1.7b,node_degree,0.2,rwse,0,0.10999999999999999,0.039999999999999925
qwen3-1.7b,node_degree,0.2,components,0,0.08999999999999997,0.019999999999999907
qwen3-1.7b,node_degree,0.2,all,0,0.17000000000000004,0.09999999999999998
qwen3-1.7b,node_degree,0.35,filler,0,0.0,0.0
qwen3-1.7b,node_degree,0.35,degree,1,0.18,0.18
qwen3-1.7b,node_degree,0.35,clustering,0,0.06,0.06
qwen3-1.7b,node_degree,0.35,rwse,0,0.07070707070707072,0.06060606060606061
qwen3-1.7b,node_degree,0.35,components,0,0.030000000000000027,0.030000000000000027
qwen3-1.7b,node_degree,0.35,all,0,0.16999999999999998,0.16999999999999998
qwen3-1.7b,node_degree,0.5,filler,0,0.0,0.0
qwen3-1.7b,node_degree,0.5,degree,1,-0.010000000000000009,-0.010000000000000009
qwen3-1.7b,node_degree,0.5,clustering,0,0.020000000000000018,0.020000000000000018
qwen3-1.7b,node_degree,0.5,rwse,0,0.030000000000000027,0.030000000000000027
qwen3-1.7b,node_degree,0.5,components,0,0.010000000000000009,0.010000000000000009
qwen3-1.7b,node_degree,0.5,all,0,0.08000000000000002,0.08000000000000002
qwen3-1.7b,node_degree,0.65,filler,0,0.0,-0.01010101010101011
qwen3-1.7b,node_degree,0.65,degree,1,0.009999999999999995,0.0
qwen3-1.7b,node_degree,0.65,clustering,0,0.0,-0.01010101010101011
qwen3-1.7b,node_degree,0.65,rwse,0,0.0,-0.01010101010101011
qwen3-1.7b,node_degree,0.65,components,0,0.07,0.060606060606060594
qwen3-1.7b,node_degree,0.65,all,0,0.07999999999999999,0.0707070707070707
qwen3-1.7b,node_degree,0.75,filler,0,0.0,-0.13
qwen3-1.7b,node_degree,0.75,degree,1,0.12,-0.010000000000000009
qwen3-1.7b,node_degree,0.75,clustering,0,0.08,-0.05
qwen3-1.7b,node_degree,0.75,rwse,0,0.020000000000000004,-0.11
qwen3-1.7b,node_degree,0.75,components,0,0.09,-0.04000000000000001
qwen3-1.7b,node_degree,0.75,all,0,0.14,0.010000000000000009
qwen3-1.7b,node_degree,0.85,filler,0,0.0,-0.020000000000000004
qwen3-1.7b,node_degree,0.85,degree,1,0.04000000000000001,0.020000000000000004
qwen3-1.7b,node_degree,0.85,clustering,0,-0.019999999999999997,-0.04
qwen3-1.7b,node_degree,0.85,rwse,0,-0.019999999999999997,-0.04
qwen3-1.7b,node_degree,0.85,components,0,0.010000000000000002,-0.010000000000000002
qwen3-1.7b,node_degree,0.85,all,0,0.020000000000000004,0.0
qwen3-1.7b,connected_nodes,0.1,filler,0,0.0,0.0
qwen3-1.7b,connected_nodes,0.1,degree,0,0.04999999999999993,0.04999999999999993
qwen3-1.7b,connected_nodes,0.1,clustering,0,-0.020000000000000018,-0.020000000000000018
qwen3-1.7b,connected_nodes,0.1,rwse,0,0.05999999999999994,0.05999999999999994
qwen3-1.7b,connected_nodes,0.1,components,1,0.0,0.0
qwen3-1.7b,connected_nodes,0.1,all,0,-0.02020202020202022,-0.02020202020202022
qwen3-1.7b,connected_nodes,0.2,filler,0,0.0,-0.050000000000000044
qwen3-1.7b,connected_nodes,0.2,degree,0,0.06000000000000005,0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,clustering,0,0.040000000000000036,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,rwse,0,0.0,-0.050000000000000044
qwen3-1.7b,connected_nodes,0.2,components,1,0.040000000000000036,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.2,all,0,-0.020000000000000018,-0.07000000000000006
qwen3-1.7b,connected_nodes,0.35,filler,0,0.0,-0.09999999999999998
qwen3-1.7b,connected_nodes,0.35,degree,0,0.15000000000000002,0.050000000000000044
qwen3-1.7b,connected_nodes,0.35,clustering,0,0.14,0.040000000000000036
qwen3-1.7b,connected_nodes,0.35,rwse,0,0.12,0.020000000000000018
qwen3-1.7b,connected_nodes,0.35,components,1,0.15000000000000002,0.050000000000000044
qwen3-1.7b,connected_nodes,0.35,all,0,0.25,0.15000000000000002
qwen3-1.7b,connected_nodes,0.5,filler,0,0.0,-0.09999999999999998
qwen3-1.7b,connected_nodes,0.5,degree,0,0.13,0.030000000000000027
qwen3-1.7b,connected_nodes,0.5,clustering,0,0.14,0.040000000000000036
qwen3-1.7b,connected_nodes,0.5,rwse,0,0.10999999999999999,0.010000000000000009
qwen3-1.7b,connected_nodes,0.5,components,1,0.08999999999999997,-0.010000000000000009
qwen3-1.7b,connected_nodes,0.5,all,0,0.12,0.020000000000000018
qwen3-1.7b,edge_count,0.1,filler,0,0.0,-0.03333333333333333
qwen3-1.7b,edge_count,0.1,degree,1,0.07894736842105263,0.06451612903225806
qwen3-1.7b,edge_count,0.1,clustering,0,0.0,-0.03225806451612903
qwen3-1.7b,edge_count,0.1,rwse,0,0.0,-0.031746031746031744
qwen3-1.7b,edge_count,0.1,components,0,0.0,-0.03571428571428571
qwen3-1.7b,edge_count,0.1,all,0,0.0,-0.019230769230769232
qwen3-1.7b,edge_count,0.2,filler,0,0.0,0.01219512195121951
qwen3-1.7b,edge_count,0.2,degree,1,0.0,0.011627906976744186
qwen3-1.7b,edge_count,0.2,clustering,0,-0.01136363636363636,0.011235955056179775
