arm,task,condition,n,acc_0_9,n_0_9,acc_10_19,n_10_19,acc_20_29,n_20_29,acc_30_39,n_30_39,rho_position,p_position,first10_minus_last10,slope_pts,slope_lo,slope_hi,slope_vs_none,svn_lo,svn_hi
qwen3-1.7b,node_degree,none,699,0.39896373056994816,193,0.38011695906432746,171,0.3218390804597701,174,0.453416149068323,161,0.019578681864396742,0.6053263585921105,-0.054452418498374844,3.699182212707741,-8.53433491994424,15.735058366814373,0.0,-17.669767689448815,17.981050980972988
qwen3-1.7b,node_degree,filler,700,0.41968911917098445,193,0.3313953488372093,172,0.29310344827586204,174,0.39751552795031053,161,-0.0333795056807172,0.3778816654140747,0.022173591220673916,-4.71885114992717,-16.870298375836494,6.932753884630932,-8.418033362634912,-25.024103755652085,8.44971364156032
qwen3-1.7b,node_degree,degree,700,0.49222797927461137,193,0.4011627906976744,172,0.40804597701149425,174,0.4161490683229814,161,-0.06377057582672563,0.09181279804404445,0.07607891095163,-10.083279541687572,-21.994100066629237,1.7816964535896804,-13.782461754395314,-31.49990819646756,5.550835147998073
qwen3-1.7b,node_degree,clustering,700,0.43523316062176165,193,0.36046511627906974,172,0.3505747126436782,174,0.40993788819875776,161,-0.029876105553183447,0.4299887198175271,0.02529527242300389,-4.524736278868289,-17.51380312562705,8.209150438885967,-8.223918491576029,-25.864895473295803,9.362159831589713
qwen3-1.7b,node_degree,rwse,699,0.5025906735751295,193,0.3684210526315789,171,0.3218390804597701,174,0.3416149068322981,161,-0.12120586954936767,0.001324474415531384,0.16097576674283143,-19.286697254483656,-32.022438738727494,-7.408694175591344,-22.985879467191396,-40.249233885199324,-4.815636350287878
qwen3-1.7b,node_degree,components,700,0.43523316062176165,193,0.4011627906976744,172,0.3390804597701149,174,0.4161490683229814,161,-0.028282393812967297,0.4550068579089049,0.019084092298780275,-4.1288349310679235,-16.78388889494613,8.183864896870055,-7.828017143775664,-25.708383321582723,9.558444109650923
qwen3-1.7b,node_degree,all,700,0.5440414507772021,193,0.4476744186046512,172,0.40804597701149425,174,0.4161490683229814,161,-0.11337287127850822,0.0026654850678533046,0.12789238245422074,-18.3746579742466,-30.36753157609513,-6.674920989055513,-22.07384018695434,-40.1493823829262,-4.0910599538890455
qwen3-1.7b,connected_nodes,none,400,0.6896551724137931,116,0.74,100,0.6818181818181818,88,0.7916666666666666,96,0.053818736517317514,0.2829192448508409,-0.10201149425287348,8.550195013825137,-5.121209911447343,21.640073053864395,0.0,-19.630302437786156,19.935381750263694
qwen3-1.7b,connected_nodes,filler,400,0.7586206896551724,116,0.58,100,0.6363636363636364,88,0.65625,96,-0.1112829461741509,0.026040272178076255,0.10237068965517238,-15.917398803672839,-29.87608605109047,-1.9262371463939971,-24.467593817497978,-43.7578364232303,-3.723583749910349
qwen3-1.7b,connected_nodes,degree,400,0.7672413793103449,116,0.73,100,0.7613636363636364,88,0.78125,96,0.005629270307407545,0.910637903857357,-0.014008620689655138,1.3396811041571497,-11.806425794961749,14.587263793676682,-7.210513909667988,-25.512761187809083,12.699532841655946
qwen3-1.7b,connected_nodes,clustering,400,0.7931034482758621,116,0.68,100,0.7613636363636364,88,0.7083333333333334,96,-0.05515790164447074,0.2710953058697554,0.08477011494252873,-7.554814732857563,-20.290573142804767,5.818269934938384,-16.1050097466827,-35.83224524593063,3.4631158822843062
qwen3-1.7b,connected_nodes,rwse,400,0.8275862068965517,116,0.62,100,0.6931818181818182,88,0.78125,96,-0.054278778026906276,0.2788187367090119,0.04633620689655171,-6.473967244519094,-18.19022553073427,6.292220070157257,-15.02416225834423,-35.65844374370926,2.3899378230332
qwen3-1.7b,connected_nodes,components,400,0.7413793103448276,116,0.72,100,0.7272727272727273,88,0.7395833333333334,96,-0.005064262205921274,0.9195751330352497,0.0017959770114942541,-0.25119020702951816,-14.71070159495269,12.66819403655876,-8.801385220854655,-27.90590186595424,9.897009572800233
qwen3-1.7b,connected_nodes,all,399,0.7758620689655172,116,0.72,100,0.7045454545454546,88,0.7789473684210526,95,-0.011164128555859104,0.8240721159416122,-0.003085299455535373,-1.0585453352823186,-14.668895455393137,12.55375146869082,-9.608740349107455,-28.074543552185233,10.64312619055184
qwen3-1.7b-think,node_degree,none,692,0.689119170984456,193,0.6529411764705882,170,0.5764705882352941,170,0.6415094339622641,159,-0.056380344925693285,0.13843805882481208,0.047609737022191845,-8.720751095035522,-19.72931281089975,1.8618235438577546,0.0,-15.636710499824929,15.538488897821633
qwen3-1.7b-think,node_degree,filler,697,0.6424870466321243,193,0.5730994152046783,171,0.5202312138728323,173,0.525,160,-0.10218667504804387,0.006933231806097836,0.11748704663212428,-16.436790487420343,-28.312234111053314,-5.034344296861977,-7.71603939238482,-22.532924930238003,8.157746180167504
qwen3-1.7b-think,node_degree,degree,647,0.9340659340659341,182,0.8404907975460123,163,0.8954248366013072,153,0.7516778523489933,149,-0.16210818064304053,3.429795025737162e-05,0.18238808171694076,-18.727455137442835,-27.492399132045808,-9.941510814888437,-10.006704042407309,-25.161932137933256,4.40358262758194
qwen3-1.7b-think,node_degree,clustering,698,0.694300518134715,193,0.5529411764705883,170,0.5344827586206896,174,0.6335403726708074,161,-0.061274984405459414,0.10577370164045967,0.06076014546390762,-9.120226624011668,-19.514915204694283,2.7569440987462603,-0.39947552897614536,-16.524903005309984,15.443646444381262
qwen3-1.7b-think,node_degree,rwse,696,0.7409326424870466,193,0.5465116279069767,172,0.5406976744186046,172,0.6981132075471698,159,-0.051319583091771426,0.17625978960505237,0.04281943493987683,-7.211999214570854,-18.849484696710483,3.503142313052007,1.5087518804646685,-14.53592276372047,18.452683381086796
qwen3-1.7b-think,node_degree,components,692,0.6455026455026455,189,0.6390532544378699,169,0.5606936416184971,173,0.6708074534161491,161,-0.012453439315801357,0.7436533115748319,-0.025304807913503646,-1.6758396441156886,-13.007761780353233,9.774422281305403,7.044911450919834,-10.15396765268716,23.98017673262236
qwen3-1.7b-think,node_degree,all,694,0.9214659685863874,191,0.7953216374269005,171,0.791907514450867,173,0.7044025157232704,159,-0.18769069281321235,6.361373968853875e-07,0.217063452863117,-24.347256887596043,-34.18350667571574,-15.003438444717489,-15.626505792560524,-29.017965185781378,-1.7283918315336422
qwen3-1.7b-think,connected_nodes,none,395,0.7565217391304347,115,0.83,100,0.7529411764705882,85,0.8526315789473684,95,0.0531669628735367,0.29185115753325075,-0.09610983981693366,7.323436361204438,-4.545438183122448,20.067441293140813,0.0,-17.73815436748066,18.11352697357252
qwen3-1.7b-think,connected_nodes,filler,398,0.8275862068965517,116,0.82,100,0.7471264367816092,87,0.8631578947368421,95,-0.017382872120799888,0.7295511978663323,-0.03557168784029041,-1.6400776643431143,-12.505788704181365,9.6071459290581,-8.963514025547552,-26.383389696542267,8.446051454487824
qwen3-1.7b-think,connected_nodes,degree,394,0.9043478260869565,115,0.8686868686868687,99,0.7906976744186046,86,0.8723404255319149,94,-0.08497082311248629,0.09212154876079554,0.03200740055504159,-9.194297516387104,-19.256283213873377,1.147843846369971,-16.517733877591542,-32.04125920123213,-1.646708043645128
qwen3-1.7b-think,connected_nodes,clustering,399,0.8608695652173913,115,0.78,100,0.7386363636363636,88,0.84375,96,-0.04612154296030941,0.35816054635753775,0.01711956521739133,-5.2199273014173135,-15.765694624107837,5.417542671460701,-12.54336366262175,-28.712338461581048,3.0167478992992187
qwen3-1.7b-think,connected_nodes,rwse,398,0.8695652173913043,115,0.7676767676767676,99,0.6818181818181818,88,0.8333333333333334,96,-0.07997435361744427,0.11115623266064338,0.03623188405797095,-9.731838876893418,-21.754960634906066,1.2437720239527466,-17.055275238097856,-34.009450097204905,0.41030479480338417
qwen3-1.7b-think,connected_nodes,components,396,0.8189655172413793,116,0.84,100,0.7816091954022989,87,0.8387096774193549,93,-0.0017859049624288836,0.9717394597903318,-0.019744160177975534,-0.13226905429268487,-12.069687173832264,12.275651166062271,-7.455705415497123,-25.391260006498676,8.970655932524224
qwen3-1.7b-think,connected_nodes,all,397,0.8782608695652174,115,0.82,100,0.8045977011494253,87,0.9157894736842105,95,-0.005361177435955523,0.9151978389727051,-0.03752860411899306,0.24053097902539916,-9.962114256552734,9.212650766421202,-7.082905382179039,-22.195331832120438,9.15690348531209
qwen3-4b,node_degree,none,700,0.8238341968911918,193,0.8023255813953488,172,0.764367816091954,174,0.8198757763975155,161,-0.01017687446394116,0.7880985675583114,0.003958420493676229,-1.3353243345657777,-11.338843142107782,7.889732204613095,0.0,-13.70169648006298,13.736016805222178
qwen3-4b,node_degree,filler,700,0.7979274611398963,193,0.8081395348837209,172,0.7816091954022989,174,0.8509316770186336,161,0.03995999960303684,0.29107127834304625,-0.05300421587873727,5.261559133744057,-3.8039181493452157,14.221498842531902,6.596883468309835,-6.070209130577851,20.592297459281113
qwen3-4b,node_degree,degree,700,0.8652849740932642,193,0.7790697674418605,172,0.7988505747126436,174,0.7701863354037267,161,-0.09325206502925099,0.013579879206585153,0.0950986386895375,-12.092775284721203,-21.218727026115232,-2.8169145049943944,-10.757450950155425,-24.851229464529634,2.6005355000983257
qwen3-4b,node_degree,clustering,700,0.8290155440414507,193,0.8546511627906976,172,0.8390804597701149,174,0.8757763975155279,161,0.03727755060530124,0.32469728621951904,-0.04676085347407721,4.369793091370311,-4.9429546834473586,13.058994928478404,5.705117425936089,-6.822395871189268,18.49176012415712
qwen3-4b,node_degree,rwse,700,0.8290155440414507,193,0.8313953488372093,172,0.7931034482758621,174,0.8385093167701864,161,0.0005557069108210534,0.9882903891044075,-0.009493772728735639,0.04951672758740286,-8.770672318923724,8.782959165373622,1.3848410621531806,-10.40915548726971,16.079999094155156
qwen3-4b,node_degree,components,700,0.8186528497409327,193,0.7906976744186046,172,0.7816091954022989,174,0.8074534161490683,161,-0.0115098478994019,0.7611371975610277,0.011199433591864372,-1.4808523696350804,-11.588276187437486,8.71571337597227,-0.14552803506930267,-15.276794521810526,14.07589879072142
qwen3-4b,node_degree,all,700,0.7564766839378239,193,0.6046511627906976,172,0.6436781609195402,174,0.6459627329192547,161,-0.07031773618295259,0.0629691030063209,0.1105139510185692,-10.558221675308243,-21.575456278622244,1.065384391748636,-9.222897340742467,-24.330152525398965,5.383410940556784
qwen3-4b,connected_nodes,none,400,0.7586206896551724,116,0.84,100,0.9204545454545454,88,0.9479166666666666,96,0.22212388874831993,7.3008878430312495e-06,-0.18929597701149425,25.020351244031712,14.259667143968823,35.99303101006569,0.0,-16.494113608466094,16.725738285656345
qwen3-4b,connected_nodes,filler,400,0.6293103448275862,116,0.73,100,0.7613636363636364,88,0.84375,96,0.18040577579286388,0.0002871515250587298,-0.2144396551724138,26.323205014931382,12.720792534045065,40.19901094128922,1.3028537708996701,-15.826178391805074,17.957611138045987
qwen3-4b,connected_nodes,degree,400,0.7844827586206896,116,0.79,100,0.8522727272727273,88,0.90625,96,0.11627229932506893,0.020015188461584628,-0.12176724137931039,14.643381529568936,2.93685337432036,26.408622822216326,-10.376969714462776,-26.20664755005928,3.987972950255198
