task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,399,1,5,-0.010025062656641603,0.21875,False,0.06757812500000002,0.06642857142857143,,-0.06796875000000001,-0.0662406015037594,
connected_nodes,clustering,400,1,1,0.0,1.0,False,0.061328125,0.0624125,,-0.062109375,-0.0615875,
connected_nodes,components,400,1,0,0.0025,1.0,False,0.05078125,0.0519375,,-0.05,-0.0504,
connected_nodes,degree,400,1,1,0.0,1.0,False,0.057421875000000004,0.0594875,,-0.059375,-0.0613,
connected_nodes,filler,400,1,1,0.0,1.0,False,0.05625,0.0578,,-0.06171875,-0.0612375,
connected_nodes,rwse,400,1,0,0.0025,1.0,False,0.0578125,0.061075,,-0.062890625,-0.0611125,
cycle_check,all,362,1,5,-0.011049723756906077,0.21875,False,,0.002430939226519337,MDE exceeds 1.0 at this power target,-0.025,-0.025027624309392264,
cycle_check,clustering,362,1,0,0.0027624309392265192,1.0,False,,0.002486187845303867,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.023204419889502764,
cycle_check,components,343,0,2,-0.0058309037900874635,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02227405247813411,
cycle_check,degree,301,0,38,-0.12624584717607973,7.275957614183426e-12,True,,,,,,
cycle_check,filler,341,1,0,0.002932551319648094,1.0,False,,0.0025806451612903226,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02193548387096774,
cycle_check,rwse,358,1,28,-0.07541899441340782,1.1175870895385742e-07,True,,,,,,
edge_count,all,211,8,3,0.023696682464454975,0.2265625,False,0.03906250000000001,0.04066350710900474,,,-0.015639810426540283,MDE exceeds 1.0 at this power target
edge_count,clustering,238,3,4,-0.004201680672268907,1.0,False,0.0328125,0.03336134453781513,,,-0.013781512605042017,MDE exceeds 1.0 at this power target
edge_count,components,211,1,4,-0.014218009478672985,0.375,False,0.03906250000000001,0.040853080568720376,,,-0.02037914691943128,MDE exceeds 1.0 at this power target
edge_count,degree,253,13,3,0.039525691699604744,0.021270751953125,False,0.03125,0.03162055335968379,,,-0.011620553359683794,MDE exceeds 1.0 at this power target
edge_count,filler,224,2,3,-0.004464285714285714,1.0,False,0.035937500000000004,0.03741071428571428,,,-0.015982142857142858,MDE exceeds 1.0 at this power target
edge_count,rwse,239,2,4,-0.008368200836820083,0.6875,False,0.035937500000000004,0.03631799163179916,,,-0.016485355648535566,MDE exceeds 1.0 at this power target
edge_existence,all,400,75,29,0.115,7.366510614966004e-06,True,,,,,,
edge_existence,clustering,400,48,33,0.0375,0.11927366831176445,False,0.0625,0.0185,,-0.026562500000000003,-0.01935,
edge_existence,components,400,11,44,-0.0825,8.699371704778969e-06,True,,,,,,
edge_existence,degree,400,49,33,0.04,0.09703091129729906,False,0.06875,0.0196,,-0.028125,-0.02025,
edge_existence,filler,400,10,73,-0.1575,5.800664942039543e-13,True,,,,,,
edge_existence,rwse,399,55,34,0.05263157894736842,0.0334167216020976,False,0.065625,0.01969924812030075,,-0.0296875,-0.020852130325814535,
node_count,all,400,193,5,0.47,1.2314364929436383e-50,True,,,,,,
node_count,clustering,400,269,0,0.6725,2.1084395886461046e-81,True,,,,,,
node_count,components,400,113,28,0.2125,2.6418869265765717e-13,True,,,,,,
node_count,degree,400,43,16,0.0675,0.0005843646280443461,True,,,,,,
node_count,filler,400,161,2,0.3975,2.2865181363073523e-45,True,,,,,,
node_count,rwse,400,87,79,0.02,0.5870535639169906,False,0.028125,0.0198,,-0.059375,-0.01815,
node_degree,all,400,77,36,0.1025,0.00014401960112955247,True,,,,,,
node_degree,clustering,400,53,41,0.03,0.25644234893296924,False,0.05,0.02085,,-0.03125,-0.01915,
node_degree,components,400,36,29,0.0175,0.4570207854105899,False,0.046875,0.01795,,-0.0328125,-0.0203,
node_degree,degree,400,57,27,0.075,0.001404494631113956,True,,,,,,
node_degree,filler,400,32,34,-0.005,0.9021585000966993,False,0.05625,0.02165,,-0.0328125,-0.0202,
node_degree,rwse,399,53,37,0.040100250626566414,0.11334435404342065,False,0.053125000000000006,0.021854636591478696,,-0.03125,-0.018847117794486216,
