arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,mid_range,contaminated,bh_significant,bh_global
qwen3-1.7b,lo,connected_nodes,components,filler,100,0.92,0.92,0.0,6,6,1.0,0.1,0.9293,False,False,False,False
qwen3-1.7b,lo,connected_nodes,components,filler,100,0.86,0.9,4.0,4,8,0.3876953125,0.2,0.91,False,False,False,False
qwen3-1.7b,lo,connected_nodes,components,filler,100,0.49,0.64,15.0,5,20,0.004077315330505371,0.35,0.59,True,False,True,True
qwen3-1.7b,lo,connected_nodes,components,filler,100,0.38,0.47,9.0,9,18,0.12207812070846558,0.5,0.48,True,False,False,False
qwen3-1.7b,lo,connected_nodes,clustering,filler,100,0.92,0.9,-2.0,6,4,0.75390625,0.1,0.9293,False,False,False,False
qwen3-1.7b,lo,connected_nodes,clustering,filler,100,0.86,0.9,4.0,5,9,0.4239501953125,0.2,0.91,False,False,False,False
qwen3-1.7b,lo,connected_nodes,clustering,filler,100,0.49,0.63,14.0,2,16,0.001312255859375,0.35,0.59,True,False,True,True
qwen3-1.7b,lo,connected_nodes,clustering,filler,100,0.38,0.52,14.0,5,19,0.006610751152038574,0.5,0.48,True,False,True,True
qwen3-1.7b,lo,connected_nodes,rwse,filler,100,0.92,0.98,6.0,0,6,0.03125,0.1,0.9293,False,False,False,False
qwen3-1.7b,lo,connected_nodes,rwse,filler,100,0.86,0.86,0.0,5,5,1.0,0.2,0.91,False,False,False,False
qwen3-1.7b,lo,connected_nodes,rwse,filler,100,0.49,0.61,12.0,6,18,0.022655844688415527,0.35,0.59,True,False,True,False
qwen3-1.7b,lo,connected_nodes,rwse,filler,100,0.38,0.49,11.0,8,19,0.052238985896110535,0.5,0.48,True,False,False,False
qwen3-1.7b,lo,connected_nodes,degree,filler,100,0.92,0.97,5.0,0,5,0.0625,0.1,0.9293,False,True,False,False
qwen3-1.7b,lo,connected_nodes,degree,filler,100,0.86,0.92,6.0,3,9,0.14599609375,0.2,0.91,False,True,False,False
qwen3-1.7b,lo,connected_nodes,degree,filler,100,0.49,0.64,15.0,5,20,0.004077315330505371,0.35,0.59,True,True,True,True
qwen3-1.7b,lo,connected_nodes,degree,filler,100,0.38,0.51,13.0,7,20,0.0191572904586792,0.5,0.48,True,True,True,False
qwen3-1.7b,lo,connected_nodes,all,filler,99,0.9293,0.9091,-2.02,7,5,0.7744140625,0.1,0.9293,False,True,False,False
qwen3-1.7b,lo,connected_nodes,all,filler,100,0.86,0.84,-2.0,11,9,0.8238029479980469,0.2,0.91,False,True,False,False
qwen3-1.7b,lo,connected_nodes,all,filler,100,0.49,0.74,25.0,2,27,1.6242265701293945e-06,0.35,0.59,True,True,True,True
qwen3-1.7b,lo,connected_nodes,all,filler,100,0.38,0.5,12.0,6,18,0.022655844688415527,0.5,0.48,True,True,True,False
qwen3-1.7b,lo,cycle_check,components,filler,85,1.0,0.9765,-2.35,2,0,0.5,0.1,0.9878,False,False,False,False
qwen3-1.7b,lo,cycle_check,components,filler,81,1.0,1.0,0.0,0,0,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,components,filler,86,1.0,0.9884,-1.16,1,0,1.0,0.35,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,components,filler,99,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,clustering,filler,94,1.0,1.0,0.0,0,0,1.0,0.1,0.9878,False,False,False,False
qwen3-1.7b,lo,cycle_check,clustering,filler,89,1.0,1.0,0.0,0,0,1.0,0.2,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,clustering,filler,91,1.0,1.0,0.0,0,0,1.0,0.35,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,clustering,filler,99,1.0,1.0,0.0,0,0,1.0,0.5,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,rwse,filler,88,1.0,0.9545,-4.55,4,0,0.125,0.1,0.9878,False,False,False,False
qwen3-1.7b,lo,cycle_check,rwse,filler,90,1.0,0.9444,-5.56,5,0,0.0625,0.2,1.0,False,False,False,False
qwen3-1.7b,lo,cycle_check,rwse,filler,91,1.0,0.8681,-13.19,12,0,0.00048828125,0.35,1.0,False,False,True,True
qwen3-1.7b,lo,cycle_check,rwse,filler,99,1.0,0.9293,-7.07,7,0,0.015625,0.5,1.0,False,False,True,False
qwen3-1.7b,lo,cycle_check,degree,filler,84,1.0,0.9881,-1.19,1,0,1.0,0.1,0.9878,False,True,False,False
qwen3-1.7b,lo,cycle_check,degree,filler,81,1.0,0.8519,-14.81,12,0,0.00048828125,0.2,1.0,False,True,True,True
qwen3-1.7b,lo,cycle_check,degree,filler,66,1.0,0.8485,-15.15,10,0,0.001953125,0.35,1.0,False,True,True,True
