task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,395,2,4,-0.005063291139240506,0.6875,False,0.0015625,-0.07429254190818382,,-0.0015625,-0.07274741203428592,
connected_nodes,clustering,397,2,0,0.005037783375314861,0.5,False,0.0015625,-0.0775564829429302,,-0.0015625,-0.07528083952289247,
connected_nodes,components,394,2,1,0.0025380710659898475,1.0,False,0.0015625,-0.06283861251730477,,-0.0015625,-0.06450988723741467,
connected_nodes,degree,393,1,3,-0.005089058524173028,0.625,False,0.0015625,-0.07180866158336018,,-0.0015625,-0.07510418602173297,
connected_nodes,none,394,1,0,0.0025380710659898475,1.0,False,0.0015625,-0.07020122632783049,,-0.0015625,-0.07179681663315826,
connected_nodes,rwse,396,1,5,-0.010101010101010102,0.21875,False,0.0015625,-0.07468508738530084,,-0.0015625,-0.08164113208554767,
cycle_check,all,385,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022441558441558443,
cycle_check,clustering,386,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021191709844559585,
cycle_check,components,358,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021229050279329607,
cycle_check,degree,303,0,2,-0.006600660066006601,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.026562500000000003,-0.02528052805280528,
cycle_check,none,388,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.022577319587628868,
cycle_check,rwse,397,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020403022670025188,
edge_count,all,18,3,7,-0.2222222222222222,0.34375,False,,0.22444444444444445,MDE exceeds 1.0 at this power target,-0.42500000000000004,-0.44222222222222224,
edge_count,clustering,24,1,2,-0.041666666666666664,1.0,False,,0.07916666666666666,MDE exceeds 1.0 at this power target,-0.30000000000000004,-0.31,
edge_count,components,37,2,0,0.05405405405405406,0.5,False,0.18125000000000002,0.17945945945945946,,-0.1875,-0.1891891891891892,
edge_count,degree,16,1,4,-0.1875,0.375,False,,0.1925,MDE exceeds 1.0 at this power target,-0.45,-0.44125,
edge_count,none,29,1,2,-0.034482758620689655,1.0,False,,0.09724137931034482,MDE exceeds 1.0 at this power target,-0.2625,-0.2675862068965517,
edge_count,rwse,23,3,0,0.13043478260869565,0.25,False,,0.12695652173913044,MDE exceeds 1.0 at this power target,-0.28750000000000003,-0.31043478260869567,
edge_existence,all,400,5,10,-0.0125,0.3017578125,False,,0.0159,MDE exceeds 1.0 at this power target,-0.028125,-0.02615,
edge_existence,clustering,399,5,6,-0.002506265664160401,1.0,False,,0.016140350877192983,MDE exceeds 1.0 at this power target,-0.0234375,-0.024110275689223058,
edge_existence,components,399,5,5,0.0,1.0,False,,0.015538847117794486,MDE exceeds 1.0 at this power target,-0.0234375,-0.024160401002506264,
edge_existence,degree,398,5,11,-0.01507537688442211,0.210113525390625,False,,0.01527638190954774,MDE exceeds 1.0 at this power target,-0.026562500000000003,-0.027537688442211054,
edge_existence,none,399,6,3,0.007518796992481203,0.5078125,False,,0.015338345864661655,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02175438596491228,
edge_existence,rwse,399,5,7,-0.005012531328320802,0.7744140625,False,,0.015037593984962405,MDE exceeds 1.0 at this power target,-0.0234375,-0.024210526315789474,
node_count,all,400,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.02335,
node_count,clustering,400,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.0199,
node_count,components,371,0,1,-0.0026954177897574125,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.02215633423180593,
node_count,degree,389,0,3,-0.007712082262210797,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02071979434447301,
node_count,none,369,0,5,-0.013550135501355014,0.0625,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.020921409214092142,
node_count,rwse,400,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02225,
node_degree,all,398,73,13,0.1507537688442211,2.718821367078067e-11,True,,,,,,
node_degree,clustering,398,41,23,0.04522613065326633,0.0327657590988232,True,,,,,,
node_degree,components,398,40,31,0.022613065326633167,0.3424709984198679,False,0.0625,0.061507537688442214,,-0.05625,-0.061809045226130656,
node_degree,degree,378,69,14,0.1455026455026455,6.802593482929839e-10,True,,,,,,
node_degree,none,396,38,24,0.03535353535353535,0.09795444051950737,False,0.05,0.06055555555555556,,-0.05625,-0.06166666666666667,
node_degree,rwse,396,44,21,0.05808080808080808,0.005918433252619309,True,,,,,,
