task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
edge_existence,all,300,3,5,-0.006666666666666667,0.7265625,False,,0.009783333333333333,MDE exceeds 1.0 at this power target,-0.0259765625,-0.02635,
edge_existence,clustering,300,3,4,-0.0033333333333333335,1.0,False,,0.01,MDE exceeds 1.0 at this power target,-0.026562500000000003,-0.027483333333333332,
edge_existence,components,300,2,2,0.0,1.0,False,,0.010183333333333334,MDE exceeds 1.0 at this power target,-0.026171875000000004,-0.026366666666666667,
edge_existence,degree,300,3,5,-0.006666666666666667,0.7265625,False,,0.009433333333333334,MDE exceeds 1.0 at this power target,-0.026367187500000003,-0.02585,
edge_existence,filler,300,2,4,-0.006666666666666667,0.6875,False,,0.009833333333333333,MDE exceeds 1.0 at this power target,-0.026367187500000003,-0.026333333333333334,
edge_existence,rwse,300,3,2,0.0033333333333333335,1.0,False,,0.01015,MDE exceeds 1.0 at this power target,-0.026757812500000002,-0.027566666666666666,
node_degree,all,291,103,37,0.2268041237113402,2.1773240965610595e-08,True,,,,,,
node_degree,clustering,295,39,68,-0.09830508474576272,0.006517764631278962,True,,,,,,
node_degree,components,290,26,31,-0.017241379310344827,0.5966417603730826,False,0.07539062500000002,0.07551724137931035,,-0.07304687500000001,-0.07146551724137931,
node_degree,degree,263,97,14,0.3155893536121673,1.8853635158491296e-16,True,,,,,,
node_degree,filler,293,31,68,-0.12627986348122866,0.00025534608649658137,True,,,,,,
node_degree,rwse,294,43,57,-0.047619047619047616,0.19334790449564246,False,0.09140625000000001,0.0942687074829932,,-0.09453125,-0.09090136054421769,
