task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
edge_existence,all,300,26,2,0.08,3.032386302947998e-06,True,,,,,,
edge_existence,clustering,300,10,2,0.02666666666666667,0.03857421875,False,0.0328125,0.0324,,-0.034375,-0.03233333333333333,
edge_existence,components,300,1,0,0.0033333333333333335,1.0,False,0.025,0.026466666666666666,,-0.025,-0.026266666666666667,
edge_existence,degree,296,18,4,0.0472972972972973,0.004343509674072266,True,,,,,,
edge_existence,none,300,4,0,0.013333333333333334,0.125,False,0.028125,0.027733333333333332,,-0.026562500000000003,-0.028333333333333332,
edge_existence,rwse,300,7,0,0.023333333333333334,0.015625,True,,,,,,
node_degree,all,300,33,9,0.08,0.00027153923429068527,True,,,,,,
node_degree,clustering,300,17,11,0.02,0.34492845088243484,False,0.05,0.052,,-0.07812500000000001,-0.0362,
node_degree,components,300,25,8,0.056666666666666664,0.004551384132355452,True,,,,,,
node_degree,degree,300,23,6,0.056666666666666664,0.002315700054168701,True,,,,,,
node_degree,none,299,27,11,0.05351170568561873,0.013852965261321515,True,,,,,,
node_degree,rwse,300,11,11,0.0,1.0,False,0.043750000000000004,0.042333333333333334,,-0.059375,-0.035866666666666665,
