task,condition,n,win,lose,delta,p_value,bh_significant,mde_delta,mde_realized_diff,mde_note,mde_delta_negative,mde_realized_diff_negative,mde_note_negative
connected_nodes,all,376,0,0,0.0,1.0,False,,0.0005588652482269505,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.019073758865248223,
connected_nodes,clustering,376,0,0,0.0,1.0,False,,0.0004780141843971632,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02383617021276595,
connected_nodes,components,377,0,0,0.0,1.0,False,,0.00011671087533156483,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.01993846153846153,
connected_nodes,degree,382,0,0,0.0,1.0,False,,0.00043699825479930196,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01884781849912739,
connected_nodes,none,379,0,0,0.0,1.0,False,,0.00011820580474934015,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02238522427440633,
connected_nodes,rwse,380,0,0,0.0,1.0,False,,0.0005214035087719299,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021536140350877198,
cycle_check,all,394,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.023807106598984773,
cycle_check,clustering,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021262626262626264,
cycle_check,components,383,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.0202088772845953,
cycle_check,degree,377,0,3,-0.007957559681697613,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.023183023872679044,
cycle_check,none,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.021212121212121213,
cycle_check,rwse,397,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020403022670025188,
edge_count,all,66,2,26,-0.36363636363636365,3.032386302947998e-06,True,,,,,,
edge_count,clustering,99,2,2,0.0,1.0,False,,0.020202020202020204,MDE exceeds 1.0 at this power target,-0.08125000000000002,-0.0802020202020202,
edge_count,components,88,4,2,0.022727272727272728,0.6875,False,,0.04409090909090909,MDE exceeds 1.0 at this power target,-0.07500000000000001,-0.08431818181818182,
edge_count,degree,57,0,11,-0.19298245614035087,0.0009765625,True,,,,,,
edge_count,none,50,1,0,0.02,1.0,False,,0.0168,MDE exceeds 1.0 at this power target,-0.16875,-0.1716,
edge_count,rwse,79,3,8,-0.06329113924050633,0.2265625,False,,0.0369620253164557,MDE exceeds 1.0 at this power target,-0.125,-0.12126582278481013,
edge_existence,all,394,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.021725888324873096,
edge_existence,clustering,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.022272727272727274,
edge_existence,components,396,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.02,
edge_existence,degree,398,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.02336683417085427,
edge_existence,none,399,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.020350877192982456,
edge_existence,rwse,393,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02025445292620865,
node_count,all,400,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.0234375,-0.02335,
node_count,clustering,399,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01924812030075188,
node_count,components,400,0,2,-0.005,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.01925,
node_count,degree,399,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02245614035087719,
node_count,none,400,0,2,-0.005,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.0184,
node_count,rwse,399,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02100250626566416,
node_degree,all,390,0,3,-0.007692307692307693,0.25,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.023282051282051283,
node_degree,clustering,393,0,1,-0.002544529262086514,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.018750000000000003,-0.018829516539440202,
node_degree,components,388,0,2,-0.005154639175257732,0.5,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.019742268041237115,
node_degree,degree,395,0,1,-0.002531645569620253,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.021875000000000002,-0.02217721518987342,
node_degree,none,386,0,0,0.0,1.0,False,,0.0,MDE exceeds 1.0 at this power target,-0.020312500000000004,-0.02077720207253886,
node_degree,rwse,388,0,8,-0.020618556701030927,0.0078125,True,,,,,,
